,Address,Name Tag,Balance,Txn Count
0,0x1074f62d7019c3184a2f7ea8c6a8acd6780beb48,Gitcoin Grants: POA Network,0.00073476 ETH,14
1,0x88ad09518695c6c3712ac10a214be5109a655671,Gnosis Chain: Omni Bridge,0 ETH,39645
2,0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,Gnosis Chain: xDai Bridge,0 ETH,37467
3,0x2140ecdc45c89ca112523637824513bae72c8671,POA Network: AMB-ETH-POA,0 ETH,21
4,0x4c36d2919e407f0cc2ee3c993ccf8ac26d9ce64e,POA Network: AMB-ETH-XDAI,0 ETH,54472
5,0xbf3d6f830ce263cae987193982192cd990442b53,POA Network: Deployer,0.41195448 ETH,574
6,0xcdb858ce72a31735bff85579603bbdcf85e5e081,POA Network: Deployer 2,0.15195375 ETH,21
7,0x803ad3f50b9e1ff68615e8b053a186e1be288943,POA Network: Deployer 3,0.00076671 ETH,23
8,0x04c62019ab478bff5874e7b7d9bc84fcf7e30025,POA Network: MultiSig,0 ETH,78
9,0x6758b7d441a9739b98552b373703d8d3d14f9e62,POA Network: POA20 Token,0 ETH,8061
