,Address,Name Tag,Balance,Txn Count
0,0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex,6.35936769 ETH,2777115
1,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Poloniex 2,0 ETH,1814558
2,0xb794f5ea0ba39494ce839613fffba74279579268,Poloniex 3,0.32983685 ETH,485
3,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Poloniex 4,"15,457.31964203 ETH",1296673
4,0xaa9fa73dfe17ecaa2c89b39f0bb2779613c5fc3b,Poloniex: BAT,0 ETH,5363
5,0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,Poloniex: BNT,0 ETH,1960
6,0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Poloniex: CVC,0.0072773 ETH,30208
7,0x6b71834d65c5c4d8ed158d54b47e6ea4ff4e5437,Poloniex: FOAM,8.24330201 ETH,1314
8,0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,Poloniex: GNO,0.0116446 ETH,44196
9,0x0536806df512d6cdde913cf95c9886f65b1d3462,Poloniex: GNT,0.01136652 ETH,164350
10,0x8d451ae5ee8f557a9ce7a9d7be8a8cb40002d5cb,Poloniex: KNC,5.15549089 ETH,2259
11,0xbd2ec7c608a06fe975dbdca729e84dedb34ecc21,Poloniex: LOOM,0 ETH,2441
12,0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,Poloniex: MANA,4.6544304 ETH,2001
13,0x65f9b2e4d7aaeb40ffea8c6f5844d5ad7da257e0,Poloniex: NXC,0.0116446 ETH,26887
14,0x36b01066b7fa4a0fdb2968ea0256c848e9135674,Poloniex: OMG,0 ETH,48958
15,0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,Poloniex: REP,0.0116446 ETH,94609
16,0x6795cf8eb25585eadc356ae32ac6641016c550f2,Poloniex: SNT,0 ETH,1821
17,0xfbf2173154f7625713be22e0504404ebfe021eae,Poloniex: STORJ,2.97042631 ETH,25644
18,0x6f803466bcd17f44fa18975bf7c509ba64bf3825,Poloniex: USDC,22.01990275 ETH,22154
19,0xead6be34ce315940264519f250d8160f369fa5cd,Poloniex: ZRX,2.1565355 ETH,83811
