,Address,Name Tag,Balance,Txn Count
0,0x8a8079c7149b8a1611e5c5d978dca3be16545f83,Aave: Proxy,0 ETH,51
1,0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f,Furucombo: Proxy v0.1,0 ETH,50
2,0x57ab1ec28d129707052df4df418d58a2d46d5f51,Furucombo: Proxy v0.2,0 ETH,58
3,0x2e59005c5c0f0a4d77cca82653d48b46322ee5cd,Furucombo: Proxy v0.4,0 ETH,15
4,0xe36e2d3c7c34281fa3bc737950a68571736880a1,Furucombo: Proxy v0.4.1,0 ETH,4106
5,0x9cc76b94c005d7ce45623ce5707a5f19dc513662,Opyn: Proxy,0 ETH,307
6,0x87887cf0e37d937f989ab76b99e4f4682da044c4,Ren: Darknode Registry Proxy,0 ETH,9004
7,0xcb98f42221b2c251a4e74a1609722ee09f0cc08e,Synthetix: Proxy Fee Pool,0 ETH,136340
8,0xd71ecff9342a5ced620049e616c5035f1db98620,Synthetix: Proxy iADA Token,0 ETH,5
9,0x261efcdd24cea98652b9700800a13dfbca4103ff,Synthetix: Proxy iBCH Token,0 ETH,5
10,0x617aecb6137b5108d1e7d4918e3725c8cebdb848,Synthetix: Proxy iBNB Token,0 ETH,49
11,0x14d10003807ac60d07bb0ba82caeac8d2087c157,Synthetix: Proxy iBTC Token,0 ETH,1190
12,0x757de3ac6b830a931ef178c6634c5c551773155c,Synthetix: Proxy iCEX Token,0 ETH,12
13,0x23348160d7f5aca21195df2b70f28fce2b0be9fc,Synthetix: Proxy iDASH Token,0 ETH,5
14,0x52f9eea36f57d86a0f051419fd11e4a256359c8f,Synthetix: Proxy iDEFI Token,0 ETH,18
15,0x2d7b6c95afeffa50c068d50f89c5c0014e054f0a,Synthetix: Proxy iEOS Token,0 ETH,7
16,0x27269b3e45a4d3e79a3d6bfee0c8fb13d0d711a6,Synthetix: Proxy iETC Token,0 ETH,6
17,0xfe33ae95a9f0da8a845af33516edc240dcd711d6,Synthetix: Proxy iETH Token,0 ETH,3362
18,0x710b80571db3792fbf4df7763efa6548c25a1635,Synthetix: Proxy iLINK Token,0 ETH,18
19,0xafd870f32ce54efdbf677466b612bf8ad164454b,Synthetix: Proxy iLTC Token,0 ETH,13
20,0xd6014ea05bde904448b743833ddf07c3c7837481,Synthetix: Proxy iTRX Token,0 ETH,20
21,0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb,Synthetix: Proxy iXMR Token,0 ETH,4
22,0x5299d6f7472dcc137d7f3c4bcfbbb514babf341a,Synthetix: Proxy iXRP Token,0 ETH,25
23,0xe1afe1fd76fd88f78cbf599ea1846231b8ba3b6b,Synthetix: Proxy iXTZ Token,0 ETH,17
24,0x22602469d704bffb0936c7a7cfcd18f7aa269375,Synthetix: Proxy sADA Token,0 ETH,63
25,0x4adf728e2df4945082cdd6053869f51278fae196,Synthetix: Proxy sAUD Token,0 ETH,344
26,0x336213e1ddfc69f4701fc3f86f4ef4a160c1159d,Synthetix: Proxy sBCH Token,0 ETH,6
27,0xf6e9b246319ea30e8c2fa2d1540aaebf6f9e1b89,Synthetix: Proxy sBNB Token,0 ETH,209
