,Address,Name Tag,Balance,Txn Count
0,0xc351155c80acd043bd5f8fe7ffc8536af1ff9375,Shiba Inu: Deployer,5.85837226 ETH,566
1,0xc7d0445ac2947760b3dd388b8586adf079972bf3,Shiba Inu: Deployer 1,1.45377206 ETH,550
2,0x0e906a0a798429fe5aa81e5052a5898dd0473907,Shiba Inu: Deployer 2,39.90401042 ETH,4191
3,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,Shiba Inu: Donate,4.36663103 ETH,211
4,0xa221af4a429b734abb1cc53fbd0c1d0fa47e1494,Shiba Inu: Fetch,0 ETH,892
5,0x27c70cd1946795b66be9d954418546998b546634,Shiba Inu: LEASH Token,0 ETH,186883
6,0x03f7724180aa6b939894b5ca4314783b0b36b329,Shiba Inu: Migrator,0 ETH,597390
7,0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7,Shiba Inu: SHIB Token,0 ETH,7200866
8,0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08,Shiba Inu: ShibaSwap,0 ETH,1375554
9,0xb4a81261b16b92af0b9f7c4a83f1e885132d81e4,Shiba Inu: xSHIB Token,0 ETH,557671
