,Address,Name Tag,Balance,Txn Count
0,0x2a17c35ff147b32f13f19f2e311446eeb02503f3,0x: Staking,0 ETH,14
1,0xa26e80e7dea86279c6d778d702cc413e6cffa777,0x: Staking Proxy V3,0 ETH,34509
2,0xba7f8b5fb1b19c1211c5d49550fcd149177a5eaf,0x: ZRX Vault V3,0 ETH,25
3,0x5954ab967bc958940b7eb73ee84797dc8a2afbb9,Apecoin: Staking,0 ETH,291375
4,0x18305daae09ea2f4d51faa33318be5978d251abd,Fei Protocol: Staking,0 ETH,22315
5,0x12f208476f64de6e6f933e55069ba9596d818e08,Flexacoin: Staking,0 ETH,989
6,0x3f56dcb73924f3f96be5b98916be80dfe5bdff9b,FlipToken: Staking,0 ETH,190
7,0xc68844cd3ba9d3ad88f2cc278213f64b8c0bcddf,KawaFarm Staking Contract,5 wei,527
8,0xecf0bdb7b3f349abfd68c3563678124c5e8aaea3,Kyber: Staking,0 ETH,24868
9,0xf4662bb1c4831fd411a95b8050b3a5998d8a4a5b,Loopring: Staking Pool,0 ETH,5029
10,0xb67d7a6644d9e191cac4da2b88d6817351c7ff62,LuaSwap: Master Farmer LP Staking Pool,0 ETH,45756
11,0x154bc860a7a4668bca3b801ddb01d606baf7f8f5,Lumos.Finance: Staking Contract,0 ETH,1332
12,0x640747c84736f9c2390613089c66fe418c658cf7,Lyfcoin.Club: Staking Pool,0 ETH,16
13,0x4b2d86cc0609ac8e7bc025957fc95ebffb85be1c,Mandox: Staking,0 ETH,941
14,0x9d9418803f042ccd7647209b0ffd617981d5c619,MITH Cash: Staking Contract,0 ETH,23657
15,0x61048cf69333ac0a7311f60cfd94cafff1da9079,Nacdaq: Staking Pool,0.00799522 ETH,5
16,0xbfcffaa83d6604d2b246e3526b56c8b9bb082a3e,Nacdaq: Staking Pool 2,0.00213863 ETH,6
17,0x8ffa901bf4bd099eddfa16d5d66b7743dda69019,Nacdaq: Staking Pool 3,0.02047297 ETH,7
18,0xd1a6f3fad1d269672f7e740eee820f01f4a64529,Nacdaq: Staking Pool 4,0.01576303 ETH,6
19,0x157833a3e5746633c5efd95a86260abfc41d10c5,Nacdaq: Staking Pool 5,0.01028349 ETH,6
20,0x742c548e103588db659af4ee3bf12b14d068b562,Nacdaq: Staking Pool 6,0.02820209 ETH,3
21,0x84edffa16bb0b9ab1163abb0a13ff0744c11272f,Nexus Mutual: Pooled Staking Proxy,0 ETH,22395
22,0xc626f08cf88972332cfcb48b227409658be67a1c,Origin Story Staking: Fee Vault,38.41736118 ETH,23
23,0xcce8e784c777fb9435f89f4e45f8b7fc49f7669f,Origin Story Staking: Series,0 ETH,1446
24,0x60ab11fe605d2a2c3cf351824816772a131f8782,RenVM: Darknode Staking,0 ETH,5
25,0x2317a661a2206ebe20c9a7002316e2a8944fa198,Shibarium DAO : Staking,0 ETH,157
26,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,SushiSwap: MasterChef LP Staking Pool,0 ETH,456303
27,0x069ae2af79903198a65b63811c2e053eabab1c15,SwapHub: MasterChef LP Staking Pool,0 ETH,664
28,0xe7f3e646b34588764918b0ebb8d9708bf361d35b,The Lacedameon: Staking,0 ETH,439
29,0xba37b002abafdd8e89a1995da52740bbc013d992,Ygov.finance: Governance Staking,0 ETH,31814
