,Address,Name Tag,Balance,Txn Count
0,0xfcdd591498e86876f086524c0b2e9af41a0c9fcd,UNCX Network : Deployer 5,15.38718295 ETH,233
1,0xf29e46887ffae92f1ff87dfe39713875da541373,UNCX Network : UNCX Token,0 ETH,14216
2,0x098ab6bbe708f191648b1f2cb3e702bbb00e3d02,UNCX Network Lockers: V3 Proof of Reserves,0 ETH,6
3,0x60e2e1b2a317edfc870b6fc6886f69083fb2099a,UNCX Network Security : Token Vesting,0 ETH,7695
4,0xc95c5edda5c2b1d415e77d05e71f3132fe19da1a,UNCX Network: Multi signature Reserves,0.2 ETH,4
5,0x1853d3a53fa33ce6c74c44b03455770aa10ca19b,UNCX Network: UNCL Token,0 ETH,7595
6,0x582869e276d50bb0afe5ba39ab041f5da22ec722,Unicrypt: Deployer,0.09532357 ETH,57
7,0xcf16a850ba80ebe4273083e78967a80454796b9c,Unicrypt: Deployer 2,0.09281571 ETH,19
8,0xadb2437e6f65682b85f814fbc12fec0508a7b1d0,Unicrypt: Deployer 3,0 ETH,66
9,0x2f4eb47a1b1f4488c71fc10e39a4aa56af33dd49,Unicrypt: Deployer 4,0 ETH,31
10,0x0eeb86aa7e7b0d846ffef65d93147f22cde44c7c,Unicrypt: Old UNC Token,0 ETH,13421
11,0x231278edd38b00b07fbd52120cef685b9baebcc1,Unicrypt: UNC Community Reserve Vault,0.002 ETH,6
12,0xdba68f07d1b7ca219f78ae8582c213d975c25caf,Unicrypt: UNC Developer Reserve Vault,0 ETH,4
13,0x029e3dd04b567e3c41b92b5456a15b9895d0a229,Unicrypt: UNC Team Reserve Vault,0 ETH,11
