,Address,Name Tag,Balance,Txn Count
0,0x5bb622ba7b2f09bf23f1a9b509cd210a818c53d7,Based.Money: Curve sUSD Pool,0 ETH,9411
1,0x3e63e6f0d6e90e120eb31e005aa149b476a89492,Bee2.Finance: WETH Pool,0 ETH,751
2,0x29acc7d4abb3c13dc25aaf38e61859eefc9d4d43,Bribe Protocol: BRIBE-ETH Farming Pool,0 ETH,550
3,0x81b0aad91f4cc7060d7d20d40d255691c926ffad,Bribe Protocol: BRIBE-FEI Farming Pool,0 ETH,484
4,0x49783c67d6c681a1ff5ff250dc5338051b1d42a1,Bribe Protocol: FEI Farming Pool,0 ETH,252
5,0x1676fc274b65966ed0c6438a26d34c6c92a5981c,Cream.Finance: CREAM/USDC Pool,0 ETH,4379
6,0x43a8ece49718e22d21077000768aff91849bceff,Cream.Finance: CREAM/WETH Pool,0 ETH,4553
7,0x69fb7c45726cfe2badee8317005d3f94be838840,Curve.fi: bUSD Liquidity Gauge,0 ETH,4197
8,0x7ca5b0a2910b33e9759dc7ddb0413949071d7575,Curve.fi: cCRV Liquidity Gauge,0 ETH,8860
9,0x64e3c23bfc40722d3b649844055f1d51c1ac041d,Curve.fi: pPAX Liquidity Gauge,0 ETH,1677
10,0xb1f2cdec61db658f091671f5f199635aef202cac,Curve.fi: renBTC Liquidity Gauge,0 ETH,6669
11,0x705350c4bcd35c9441419ddd5d2f097d7a55410f,Curve.fi: sBTC Liquidity Gauge,0 ETH,8121
12,0xa90996896660decc6e997655e065b23788857849,Curve.fi: sUSDv2 Liquidity Gauge,0 ETH,22022
13,0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1,Curve.fi: yCRV Liquidity Gauge,0 ETH,19637
14,0xb942ca22e0eb0f2524f53f999ae33fd3b2d58e3e,DeFireX: DAI to dDAI Wrapper,0.22999999 ETH,1065
15,0xee776e691ea8f0a1ab93f541c6d1e1d78a7e584b,Grap.Finance: CRV Pool,0 ETH,650
16,0x3e80d57929e177ebc0bbf6a08f98ea20d9b5c3e0,Grap.Finance: WETH Pool,0 ETH,1131
17,0x315f1f88ab9de0becc20399c3154e4415bf4d695,Grap.Finance: YAM Pool,0 ETH,934
18,0xb3b56c7bdc87f9deb7972cd8b5c09329ce421f89,Harvest.Finance: $BASED-sUSD Uniswap Pool,0 ETH,622
19,0x6f8a975758436a5ec38d2f9d2336504430465517,Harvest.Finance: Balancer Pool,0 ETH,2115
20,0xf9e5f9024c2f3f2908a1d0e7272861a767c9484b,Harvest.Finance: fDAI Pool,0 ETH,5482
21,0xe1f9a3ee001a2ecc906e8de637dbf20bb2d44633,Harvest.Finance: fUSDC Pool,0 ETH,8707
22,0x5bd997039fff16f653ef15d1428f2c791519f58d,Harvest.Finance: fUSDT Pool,0 ETH,6702
23,0xa112c2354d27c2fb3370cc5d027b28987117a268,Harvest.Finance: LINK Pool,0 ETH,905
24,0xf71042c88458ff1702c3870f62f4c764712cc9f0,Harvest.Finance: OGN Pool,0 ETH,1134
25,0xc6f39cff6797bac5e29275177b6e8e315cf87d95,Harvest.Finance: PASTA-ETH Uniswap Pool,0 ETH,561
26,0xae024f29c26d6f71ec71658b1980189956b0546d,Harvest.Finance: Profit Sharing Pool,0 ETH,1227
27,0x4938960c507a4d7094c53a8cddcf925835393b8f,Harvest.Finance: SUSHI Pool,0 ETH,2289
28,0x99b0d6641a63ce173e6eb063b3d3aed9a35cf9bf,Harvest.Finance: Uniswap Pool,0 ETH,24470
29,0xe604fd5b1317babd0cf2c72f7f5f2ad8c00adbe1,Harvest.Finance: WETH Pool,0 ETH,1660
30,0x84646f736795a8bc22ab34e05c8982cd058328c7,Harvest.Finance: YFI Pool,0 ETH,1043
31,0xc97ddaa8091abaf79a4910b094830cce5cdd78f4,Harvest.Finance: YFII Pool,0 ETH,729
32,0x3631a32c959c5c52bc90ab5b7d212a8d00321918,Harvest.Finance: YFV Pool,0 ETH,2288
33,0xb4cd1dbf5109210c24d4c77f46ea5fa381adfbf2,HUOGUO.Finance: HuoguoChef LP Staking Pool,0 ETH,621
34,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,Kimchi Finance: Staking Pool,0 ETH,51202
35,0xb67d7a6644d9e191cac4da2b88d6817351c7ff62,LuaSwap: Master Farmer LP Staking Pool,0 ETH,45756
36,0xc2ee3304e1029bb79a6da41113aa0452481ec59a,Noodle.Finance: Staking Pool,0 ETH,8319
37,0xa1c50afac5e0f57368b6993cc76e3897dabaecf2,Pylon.Finance: COMP Pool,0 ETH,2989
38,0x961eca1683e3f30e05dd7c2e2c252d1c6df79804,Pylon.Finance: LEND Pool,0 ETH,2580
39,0xe963989c81ef92cbcaf401c192fd99839af13b6d,Pylon.Finance: SNX Pool,0 ETH,2838
40,0x5d6b1de5537ebf683415f817347e9ca4ddc6b0b0,Pylon.Finance: Solarite $BASED Pool,0 ETH,1181
41,0x0b123a6524121d6cf01800ecd18119325296b6d6,Pylon.Finance: Solarite ETH-PYLON Pool,0 ETH,466
42,0x9cb2d635048372fbd4d5645bb2102d31db9083d0,Pylon.Finance: Solarite EWTB Pool,0 ETH,850
43,0x97110bbf5e26afa90d5a56210f03bed325466b2e,Pylon.Finance: Solarite LEND Pool,0 ETH,704
44,0x3de9f1e3d4490c633c849af15823a8e58571f2f1,Pylon.Finance: Solarite LINK Pool,0 ETH,717
45,0x183194a58da7d538f3730d291a9bbb17bbdd1264,Pylon.Finance: Solarite PYLON Pool,0 ETH,2816
46,0x92a7492a1354dffb9a9865b66e8334736ef49374,Pylon.Finance: Solarite SNX Pool,0 ETH,709
47,0x4df9db04a7212b0dfed2659200dd77812bcbdb1f,Pylon.Finance: Solarite SOL-PYLON Pool,0 ETH,1370
48,0x7a6d7959861ece56f93335cfd6fe0c5c2c961b6e,Pylon.Finance: Solarite SOL-yCRV Pool,0 ETH,1739
49,0x6f5b1ccf98082770c8fb9b70b123b88c7d353b1f,Pylon.Finance: Solarite yCRV-PYLON Pool,0 ETH,615
50,0xee9a4402d1828d7d6fb8aecb0bdd5b804be55a57,Pylon.Finance: Solarite ZOMBIE Pool,0 ETH,3111
51,0x05eef4526b4c333bc1006986bad7e968bddfda93,Pylon.Finance: WBTC Pool,0 ETH,1527
52,0x0fb10bacfcb59fe1c1a725be0e64c1bcf95e5db4,Pylon.Finance: WETH Pool,0 ETH,2864
53,0x41d575e97c50a1f5bd9e20eb82b6086178011c91,Pylon.Finance: yaLINK Pool,0 ETH,1245
54,0x1daed74ed1dd7c9dabbe51361ac90a69d851234d,Sashimi Swap: Staking Pool,0 ETH,43712
55,0x31a5f7a7a12af1a317491b1285c59e63e16654a1,Spaghetti.money: COMP Pool,0 ETH,1600
56,0xc98161569f57be86d4d22b5b3228718f9f7101ad,Spaghetti.money: LEND Pool,0 ETH,1518
57,0x6a3f3e76ad1ee05f5382d79f9047effd8417670c,Spaghetti.money: MKR Pool,0 ETH,749
58,0xf3a68aa38d8f54afaad90cd98e71e88ecc021e23,Spaghetti.money: SNX Pool,0 ETH,1481
59,0xe05809d3465f0bccd142208c7a3bb15bca23e13f,Spaghetti.money: Uniswap Pool,0 ETH,1515
60,0x1e237fb9a94ae18e9007b6661a974962253df0c8,Spaghetti.money: WBTC Pool,0 ETH,627
61,0x4547a86ca6a84b9d60dc57af908472074de7af5f,Spaghetti.money: WETH Pool,0 ETH,1825
62,0xf774584b6d12a3f93bd7b5fc20a44549cc5e2f07,Spaghetti.money: yaLINK Pool,0 ETH,948
63,0x093430541975e7aa0b2d9de2085bf99f33a5e91c,Spaghetti.money: YFI Pool,0 ETH,1292
64,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,SushiSwap: MasterChef LP Staking Pool,0 ETH,456309
65,0x9ebb67687fee2d265d7b824714df13622d90e663,Yam.Finance: AMPL Pool,0 ETH,9299
66,0x8538e5910c6f80419cd3170c26073ff238048c9e,Yam.Finance: COMP Pool,0 ETH,12490
67,0x6009a344c7f993b16eba2c673fefd2e07f9be5fd,Yam.Finance: LEND Pool,0 ETH,10910
68,0xfdc28897a1e32b595f1f4f1d3ae0df93b1eee452,Yam.Finance: LINK Pool,0 ETH,8990
69,0xcfe1e539acb2d489a651ca011a6eb93d32f97e23,Yam.Finance: MKR Pool,0 ETH,4728
70,0x6c3fc1ffdb14d92394f40eec91d9ce8b807f132d,Yam.Finance: SNX Pool,0 ETH,9591
71,0x587a07ce5c265a38dd6d42def1566ba73eeb06f5,Yam.Finance: WETH Pool,0 ETH,15450
72,0xaddbcd6a68bfeb6e312e82b30ce1eb4a54497f4c,Yam.Finance: yCrv Uniswap Pool,0 ETH,17112
73,0xc5b6488c7d5bed173b76bd5dca712f45fb9eaeab,Yam.Finance: YFI Pool,0 ETH,8190
74,0x62a9fe913eb596c8fac0936fd2f51064022ba22e,YFV.Finance: BAL Pool,0 ETH,9423
75,0x1c990fc37f399c935625b815975d0c9fad5c31a1,YFV.Finance: BAT Pool,0 ETH,5070
76,0xfbde07329ffc9ec1b70f639ad388b94532b5e063,YFV.Finance: BTC Pool,0 ETH,6668
77,0x9b74774f55c0351fd064cfdffd35db002c433092,YFV.Finance: KNC Pool,0 ETH,10286
78,0x196cf719251579cbc850ded0e47e972b3d7810cd,YFV.Finance: LINK Pool,0 ETH,13811
79,0x752037bfef024bd2669227bf9068cb22840174b0,YFV.Finance: REN Pool,0 ETH,5708
80,0x0e6ffd4daeca13a8158146516f847d2f44ad4a30,YFV.Finance: Staking Pool,0 ETH,6629
81,0x931da4fe516a1e12fd033f8e33f54637edc47cfd,YFV.Finance: UniV2 Pool,0 ETH,5
82,0x67ffb615eaeb8aa88ff37cca6a32e322286a42bb,YFV.Finance: WETH Pool,0 ETH,13065
83,0x70b83a7f5e83b3698d136887253e0bf426c9a117,YFV.Finance: YFI Pool,0 ETH,3250
84,0x668d052775ca6f11a07fafe7859db777e253eaf9,YieldFarming.insure: Balancer Pool,0 ETH,7828
85,0xe075cecac8f3505f782c6e214e72ec8a1bd8d284,YieldFarming.insure: WNXM Pool,0 ETH,11949
86,0xfa080bfbcffe69ca73672e015382aed5a459098d,YieldFarming.insure: yNFT DAI Pool,0 ETH,1721
87,0xf03abaada6f3069aaf3a923769b8d931154c2dd4,YieldFarming.insure: yNFT ETH Pool,0 ETH,2344
88,0x66c58b0ed9f987c19177aa5949c3100beda982f5,Zombie.Finance: DAI Pool,0 ETH,2428
89,0x88a131b5293ca340b454111314b6c1b5c0dfa9b9,Zombie.Finance: DAI-ZOMBIE Uniswap Pool,0 ETH,3099
90,0xcd3d97a3ebf3910d1572d4446d4303bc77ace335,Zombie.Finance: DICE Pool,0 ETH,637
91,0x934929f34c7b7611abc1aeca15769da3ca47a097,Zombie.Finance: ETH-DICE Uniswap Pool,0 ETH,641
92,0xd82def026ec724ab8b06a117f69aa32a125e0dbd,Zombie.Finance: ETH-SHRIMP Uniswap Pool,0 ETH,1343
93,0x1dd61127758c47ab95a1931e02d3517f8d0dd1a6,Zombie.Finance: SHRIMP Pool,0 ETH,1771
