,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xaf0f6c4859c8e49cb26881a30df5ebeceb820ca0,Wilder  (WILD),"$81,714,322.00",13406,https://www.wilderworld.com/
1,2,0x50a874e9333b8bd0ae30adbc2c91d10ddcc57b17,Paint  (PAINT),"$4,260,339.00",9389,https://murall.art/
2,3,0xc29b9431b07c96166e2ef64455cb699eded4309c,k21.kanon.ar...  (K21),"$3,127,299.00",4219,https://kanon.art/
3,4,0xd70f41dd5875eee7fa9dd8048567bc932124a8d2,MachiX Token  (MCX),"$1,938,289.00",853,https://machix.com/
4,5,0x41afc4220b08d1f336eacf231cd8ce5c7e7fb9c9,Juiice  (JUI),"$160,041.00",51,http://www.juiice.io/
5,6,0xfec0cf7fe078a500abf15f1284958f22049c2c7e,Portion Toke...  (PRT),"$81,277.00",4423,https://portion.io/
6,7,0xdb18eacce41db61e7588b408df8cd90896993f3e,LuxFi  (LXF),"$38,526.00",783,https://luxfi.io/home
7,8,0x981314fc804bcfbc0710c153911a73f3a25c434b,Tacos  (TACO),"$22,417.00",832,https://www.taconomics.io/
8,9,0xbace7e22f06554339911a03b8e0ae28203da9598,FemmeVerse  (VFemme),$0.00,-,https://nonfungiblelady.xyz/
9,10,0xb9d99c33ea2d86ec5ec6b8a4dd816ebba64404af,SupeRare  (SUPR),$0.00,1193,https://superrare.co/
10,11,0x0e043e39E1F9382E4b3cB9B859a1452A93993bE7,Hokago  (HOKAGO),$0.00,-,https://hokago.tokyo/
11,12,0xfc4c87cabfb6bf4d00e0d26d9e64b2343419db42,MurAll  (MURALL),$0.00,-,https://murall.art/
12,13,0x71c314873538403e375643ad4927068b89223b48,Galerii Toke...  (GII),$0.00,1,https://galerii.art/
13,14,0x00D1793D7C3aAE506257Ba985b34C76AaF642557,EXODUS 2  (X2),$0.00,-,https://exodus-ii.folia.app/
14,15,0xb7ec7bbd2d2193b47027247fc666fb342d23c4b5,Board Ape Co...  (BAC),$0.00,-,https://www.boardapecollective.com/home/
15,16,0xfcca30504374f54eddd0b5c43a07f170b75df42a,Maecenas ART...  (ART),$0.00,2410,https://www.maecenas.co/
16,17,0xadf86e75d8f0f57e0288d0970e7407eaa49b3cab,Where My Van...  (WMVG),$0.00,-,http://linktr.ee/Driftershoots
17,18,0xb722cd2bfaa4f62fd43854b1db3342ad120c184c,CosmoMasks L...  (COSMAS...),$0.00,-,https://thecosmomasks.com/
18,19,0x0d1e686af0e86bebce1f2fa428cd33b699319b73,Modifiable A...  (MA1024),$0.00,-,https://modifiable.art/
19,20,0x9d060a74befd28c6431f86171cd5982bcce1bbab,DigitalArtCo...  (Digita...),$0.00,-,http://digitalartcollective.com/
20,21,0x6067e1963fe613609ee61e93588e4736cbfc7800,The Next 100...  (GG),$0.00,-,https://vault.gucci.com/en-US/story/vault-art-gall...
21,22,0x68bf5b45eb1851ed543c757c8dbef352be570cb7,ART Token  (ART),$0.00,5128,https://arttoken.io/
22,23,0x0ADF0BC748296bcBA9F394D783A5F5e9406d6874,SEVEN by Pau...  (SEVENB...),$0.00,-,https://niftygateway.com/collections/paulrevauctio...
