,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xa4FFfc757e8c4F24E7b209C033c123D20983Ad40,Fantom Token  (FTM),"$713,904,086.00",101017,https://fantom.foundation/
1,2,0x64875aaa68d1d5521666c67d692ee0b926b08b2f,Shiden  (SDN),"$11,617,264.00",30,https://shiden.astar.network/
2,3,0x0abcfbfa8e3fda8b7fba18721caf7d5cf55cf5f5,ABITSHADOW T...  (ABST),"$148,406.00",2,https://www.abitshadow.com/
3,4,0x7beb05cf5681f402e762f8569c2fc138a2172978,Swash Token  (anySWA...),$0.00,-,https://multichain.org/
4,5,0x410a7bf502414b2f0caad204de5782077ac6478f,MahaDAO  (anyMAH...),$0.00,1,https://multichain.org/
5,6,0x4b27Cd6E6a5E83d236eAD376D256Fe2F9e9f0d2E,Frax  (anyFRA...),$0.00,3,https://multichain.org/
6,7,0x685b63cfe0179b3efb70a01dcb1d648549aa192d,CelsiusX Wra...  (cxADA),$0.00,1,https://celsiusx.io/
7,8,0x40DF1Ae6074C35047BFF66675488Aa2f9f6384F3,yAxis V2  (anyYAX...),$0.00,-,https://multichain.org/
8,9,0xc0330289b5509269bc312c83e5db42aeb259b687,DeFiner  (anyFIN),$0.00,1,https://multichain.org/
9,10,0x782617249085aa28a367feb49cf811434660cee5,CRUST  (anyCRU),$0.00,1,https://multichain.org/
10,11,0x4f60a160d8c2dddaafe16fcc57566db84d674bd6,Curve DAO To...  (anyCRV),$0.00,4,https://multichain.org/
11,12,0x08111ECEe4eB8D766aBDF6dCBFCa81949c0B0891,NapoleonX  (anyNPX),$0.00,-,https://multichain.org/
12,13,0x527c571300bE23e6F157290dEDf9Ac22F7435801,DeHive.finan...  (anyDHV),$0.00,-,https://multichain.org/
13,14,0x57e8283743B169855248c1DE250B921336096677,Duet Governa...  (anyDUE...),$0.00,-,https://multichain.org/
14,15,0x1608278e54fb9e070cb109234d111ff3a359612b,bitcoinplati...  (anyBCP),$0.00,1,https://multichain.org/
15,16,0xb8930bd2dd53d449f83466705827f3dbf90ea7fc,Kanpeki  (anyKAE),$0.00,-,https://multichain.org/
16,17,0x40D4c6CecA870A0439dC0232D40cF8be8B425bAf,ANY Litecoin  (anyLTC),$0.00,15,https://anyswap.exchange/bridge
17,18,0x95dD59343a893637BE1c3228060EE6afBf6F0730,SOMBRA  (anySMB...),$0.00,7,https://multichain.org/
18,19,0x85009bcA4cd4C8F554c3C9a1c2f778Ec3Ce7fEb1,UNCL  (anyUNC...),$0.00,1,https://multichain.org/
19,20,0xc5C71CD0b734Dae8c6eBa9D79C3Db693d112DDA1,Betero  (anyBTE),$0.00,-,https://multichain.org/
20,21,0x2ad402655243203fcfa7dcb62f8a08cc2ba88ae0,WardenSwap  (anyWAD),$0.00,1,https://multichain.org/
21,22,0x76FBa02e148cab052f86dc1d8f4b10e64EfC7046,Wrapped sOHM  (anywsO...),$0.00,1,https://multichain.org/
22,23,0x7ea2be2df7ba6e54b1a9c70676f668455e329d29,Totem Earth ...  (anyCTZ...),$0.00,1,https://multichain.org/
23,24,0x58c1BBb508e96CfEC1787Acf6Afe1C7008A5B064,NFTY Token  (anyNFT...),$0.00,1,https://multichain.org/
24,25,0x4e15361fd6b4bb609fa63c81a2be19d873717870,ALICE  (anyALI...),$0.00,-,https://multichain.org/
25,26,0x623332A33Ae3a8fC9B121322C72550Decc0eD81C,Hedget  (anyHGE...),$0.00,1,https://multichain.org/
26,27,0x47536f17f4ff30e64a96a7555826b8f9e66ec468,RadioShack T...  (anyRAD...),$0.00,2,https://multichain.org/
27,28,0x00e856ee945a49bb73436e719d96910cd9d116a4,TTX METAVERS...  (anyXME...),$0.00,1,https://multichain.org/
28,29,0xB1d6bc439F5D3bFbD828Da3D0848b0F3658c9Dc6,MetalSwap  (anyXMT),$0.00,-,https://multichain.org/
29,30,0x9833c643f387ecFB76AA8114546AD524703c66Fb,Matic Token  (anyMAT...),$0.00,5,https://multichain.org/
30,31,0xe6D9C0aCF30194E2a5ae9C1c8342aC49e98A4B0A,Shibnobi  (anySHI...),$0.00,1,https://multichain.org/
31,32,0xc5e509bc8438d4f4ee355282eeb4af92ae14e43a,Dai Stableco...  (anyDAI),$0.00,18,https://multichain.org/
32,33,0x790CFDc6aB2e0eE45a433aAC5434F183BE1f6A20,pTokens ORE  (anyORE),$0.00,-,https://multichain.org/
33,34,0xbbc4a8d076f4b1888fec42581b6fc58d242cf2d5,Polars  (anyPOL),$0.00,-,https://multichain.org/
34,35,0x64ee4f41a15d6c431ab6607d4e95462169d50f6c,Alchemix USD  (anyalU...),$0.00,-,https://multichain.org/
35,36,0xA1Ae26219565370fCFEa073249309D117D805c39,Asian Fintec...  (anyAfi...),$0.00,2,https://multichain.org/
36,37,0x1FbBc7dBa1eF75ff43F955a5B9CeeC3Cc1692Cd8,ParaSwap  (anyPSP),$0.00,-,https://multichain.org/
37,38,0xe3ab61371ecc88534c522922a026f2296116c109,Wrapped Ethe...  (anyETH),$0.00,321,https://multichain.org/
