,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x56d811088235F11C8920698a204A5010a788f4b3,bZx Protocol Token,"$14,242,032.00",5193,https://bzx.network/
1,2,0x1cc9567ea2eb740824a45f8026ccf8e46973234d,Fulcrum KNC iToken,$0.00,3,https://bzx.network/
2,3,0x1d496da96caf6b518b133736beca85d5c4f9cbc5,Fulcrum LINK iToken,$0.00,6,https://bzx.network/
3,4,0x77f973fcaf871459aa58cd81881ce453759281bc,Fulcrum ETH iToken,$0.00,287,https://bzx.network/
4,5,0x14094949152eddbfcd073717200da82fed8dc960,Fulcrum SAI iToken,$0.00,1272,https://bzx.network/
5,6,0xbd56e9477fc6997609cf45f84795efbdac642ff1,Fulcrum REP iToken,$0.00,2,https://bzx.network/
6,7,0xba9262578efef8b3aff7f60cd629d6cc8859c8b5,Fulcrum WBTC iToken,$0.00,5,https://bzx.network/
7,8,0x493c57c4763932315a328269e1adad09653b9081,Fulcrum DAI iToken,$0.00,434,https://bzx.network/
8,9,0x1c74cff0376fb4031cd7492cd6db2d66c3f2c6b9,bZx Protocol Token,$0.00,606,https://bzx.network/
9,10,0xa7eb2bc82df18013ecc2a6c533fc29446442edee,Fulcrum ZRX iToken,$0.00,12,https://bzx.network/
10,11,0xf013406a0b1d544238083df0b93ad0d2cbe0f65f,Fulcrum USDC iToken,$0.00,36,https://bzx.network/
11,12,0x49f4592e641820e928f9919ef4abd92a719b4b49,Fulcrum sUSD iToken,$0.00,14,https://bzx.network/
