,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x9E976F211daea0D652912AB99b0Dc21a7fD728e4,WAVES  (WAVES),"$147,422,057.00",1870,https://waves.tech/
1,2,0x01e0e2e61f554ecaaec0cc933e739ad90f24a86d,Biconomy Tok...  (BICO),"$131,997,410.00",13366,https://www.biconomy.io/
2,3,0x4129d3b7a6a2c5c997774077ac02bdafd1af1d6a,Axelar  (AXL),"$121,883,316.00",3509,https://axelar.network/
3,4,0x79b4D12Fa63A8d1202b26c5Ba6d62136A4A09dDa,MAP Protocol  (MAP),"$23,200,453.00",2595,https://www.mapprotocol.io/
4,5,0x12e57f85b847bade37f37cde3442f00dc33b9982,Fusion  (FSN),"$20,147,176.00",9459,https://fusion.org/
5,6,0x47da5456bc2e1ce391b645ce80f2e97192e4976a,HAVAH  (HVH),"$18,753,601.00",651,https://havah.io
6,7,0x17c090F9a17E4e5a8cEb23bbe7E7e28E3C4Ca196,Octopus Netw...  (OCT),"$11,544,203.00",2259,https://oct.network/
7,8,0x33D0568941C0C64ff7e0FB4fbA0B11BD37deEd9f,Across Proto...  (ACX),"$9,349,765.00",2218,https://across.to/
8,9,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,Ferrum Netwo...  (FRM),"$3,938,166.00",5141,https://ferrum.network/
9,10,0x64875aaa68d1d5521666c67d692ee0b926b08b2f,BoringDAO  (BOR),"$3,461,085.00",3000,https://boringdao.com/
10,11,0x62786eeacc9246b4018e0146cb7a3efeacd9459d,Nerve Networ...  (NVT),"$2,386,110.00",57,https://nerve.network/
11,12,0xf9e293d5d793ddc1ae4f778761e0b3e4aa7cf2dd,Nabox Token  (NABOX),"$1,009,558.00",663,https://nabox.io/
12,13,0x14EB60F5f270B059B0c788De0Ddc51Da86f8a06d,Graviton  (GTON),"$616,692.00",553,https://graviton.one/
13,14,0x9F90B457Dea25eF802E38D470ddA7343691D8FE1,Hycon  (HYC),"$17,970.00",233,https://hycon.io/
14,15,0x3c9d6c1C73b31c837832c72E04D3152f051fc1A9,Onto Swap  (OSWAP),$0.00,3,http://www.ontoswap.com/
15,16,0x5316f8106d71362e40d0f01724ee6218007e620d,CelsiusX Wra...  (cxDOGE),$0.00,1,https://celsiusx.io/
16,17,0xdef1fac7bf08f173d286bbbdcbeeade695129840,PAREX  (PRX),$0.00,37,https://parex.market/
17,18,0x7b6f71c8b123b38aa8099e0098bec7fbc35b8a13,Locklet  (LKT),$0.00,218,https://www.locklet.finance/
18,19,0x9ccf191169a613eca433a249d3f40131178caebc,Love  (LOVE),$0.00,3,https://www.loveboat.exchange/#/
19,20,0xd0352a019e9ab9d757776f532377aaebd36fd541,X0swap Token  (X0),$0.00,3,https://x0swap.com/
20,21,0x03D1E72765545729A035e909eDd9371a405f77Fb,Pl^g Token  (PLUG),$0.00,5321,https://www.poweredbyplug.com/
21,22,0xd076C4Ba62c57b3Fa10800bcfD8dA66742110E0E,LessToken  (LESS),$0.00,358,https://less.xyz/
22,23,0xf6832EA221ebFDc2363729721A146E6745354b14,Phantasma En...  (KCAL),$0.00,1374,https://phantasma.io/
23,24,0xe83cE6bfb580583bd6A62B4Be7b34fC25F02910D,CelsiusX Wra...  (cxADA),$0.00,1,https://celsiusx.io/
24,25,0x1d96fd43ee07aa79f8fd003cbdf404fb5ce41ad2,FRMx Token  (FRMX),$0.00,1151,https://ferrum.network/
25,26,0xd9b89eee86b15634c70cab51baf85615a4ab91a1,Wrapped ABBC  (WABBC),$0.00,90,https://abbcswap.com/
26,27,0xadfb28426864c0ff169f5dcead2efdd09e0deec9,IDO Launchpa...  (IDO),$0.00,2,https://idolaunchpad.org/
27,28,0x4DFe67781D8b177f5a8536aD817BB9eB2c052F48,Ladder Netwo...  (LAD),$0.00,14828,http://laddernetwork.io/
28,29,0x195832a377c09074518c1f3aaeb4bc981f79938f,Shifted BTC  (zBTC),$0.00,23,https://renproject.io/
29,30,0x2e93FE8d550a7B7E7b2e561cd45ceBccbAa79358,RAMP DEFI  (RAMP),$0.00,7714,https://rampdefi.com/
30,31,0xf5cfbc74057c610c8ef151a439252680ac68c6dc,BitDNS  (DNS),$0.00,2480,https://www.bitdns.vip/
31,32,0x1cf4592ebffd730c7dc92c1bdffdfc3b9efcf29a,Qawalla Toke...  (QWLA),$0.00,157,https://qwla.io/
32,33,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,Crosschain I...  (CIOTX),$0.00,8,https://iotex.io/
33,34,0x44108f0223A3C3028F5Fe7AEC7f9bb2E66beF82F,MicroChains ...  (MCG),$0.00,486,https://microchains.network/
34,35,0xe5caef4af8780e59df925470b050fb23c43ca68c,GasBack.Tech  (GASB),$0.00,12,https://gasback.tech/
35,36,0x07c9eEFd9059381144265600d3Cbf4974312861b,SymVerse  (SYM),$0.00,4437,https://www.symverse.com/
36,37,0x5967BE3D7B38CEa1f3E5f8d7dEB7860cCfa21CB2,Cerby Token  (CERBY),$0.00,2391,https://cerby.fi/
37,38,0x88c64a7d2ecc882d558dd16abc1537515a78bb7d,GXChain Core...  (GXC),$0.00,71,https://rei.network/
