,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x4A64515E5E1d1073e83f30cB97BEd20400b66E10,Wrapped ZEC (WZEC),"$417,868,046.00",56,https://z.cash/
1,2,0xe452e6ea2ddeb012e20db73bf5d3863a3ac8d77a,Wrapped Celo (wCELO),"$205,506,985.00",243,https://www.wrapped.com/
2,3,0xff20817765cb7f73d4bde2e66e067e58d11095c2,Amp (AMP),"$113,510,172.00",91789,https://amptoken.org/
3,4,0xad3e3fc59dff318beceaab7d00eb4f68b1ecf195,Wrapped Celo USD,"$42,444,313.00",14,https://www.wrapped.com/
4,5,0xCE3f08e664693ca792caCE4af1364D5e220827B2,SAITAMA,"$35,974,101.00",142796,https://saitamatoken.com/
5,6,0x1416946162b1c2c871a73b07e932d2fb6c932069,Energi (NRG),"$2,885,445.00",955,https://www.energi.world/
6,7,0xdc47f2ba852669b178699449e50682d6ceaf8c07,STON (STON),"$418,476.00",4681,https://www.mainston.com/
7,8,0x859a9c0b44cb7066d956a958b0b82e54c9e44b4b,iEthereum (iETH),"$262,333.00",4478,http://iethereum.trade/
8,9,0xa150Db9b1Fa65b44799d4dD949D922c0a33Ee606,Digital Reserve Currency,"$253,746.00",2802,https://drcglobal.org/
9,10,0xa5ef74068d04ba0809b7379dd76af5ce34ab7c57,LunaChow (LUCHOW),"$184,726.00",899,https://lunachow.com
10,11,0xbdeb4b83251fb146687fa19d1c660f99411eefe3,savedroid (SVD),"$132,956.00",22528,https://www.savedroid.com/
11,12,0x41b3F18c6384Dc9A39c33AFEcA60d9b8e61eAa9F,NOAH DECENTRALIZED STATE COIN,"$75,189.00",471,https://www.noahcity.org/en
12,13,0x095797FD4297fb79883cC912a5Ba6313B15c445d,GOLCOIN (GOLC),"$59,918.00",2607,https://golc.io/
13,14,0x6e1A19F235bE7ED8E3369eF73b196C07257494DE,Wrapped Filecoin,"$21,599.00",137,https://www.wrapped.com/
14,15,0x420c5DF39576f8E606cE69edF80AA364C298E8c7,CryptoBossCoin,$0.00,43,https://cbcoin.info/
15,16,0x67C5870b4A41D4Ebef24d2456547A03F1f3e094B,GoodDollar (G$),$0.00,290,https://www.gooddollar.org/
16,17,0x7ba19b7f7d106a9a1e0985397b94f38eee0b555e,Wixlar (WIX),$0.00,388,https://wixlar.com/
17,18,0x0f86b24dA64e16d9B21585a8734B8b0c94a43C18,Fidelity Token,$0.00,87,https://www.fidelitytoken.net/
18,19,0xFeB56edE6810174642abAd5e12aC31f2074EE87f,millither (MLE),$0.00,19,https://millither.com/
19,20,0x94eea9a484f0bae03d19623cfe389e2cba56b72f,ENZO (NZO),$0.00,28,http://www.alfaenzo.org/
20,21,0x115e29615d1c10c8DDF826E4FaEc64ef6c1E3357,Capital Coin (CPTL),$0.00,85751,https://cptlcoin.com/
21,22,0x6361F338Ab8DEf2AF3f2A1Be7BD8A7dB3156F7E7,Probably Nothing,$0.00,436,https://www.probably0.com/
22,23,0xC626e0619aC79AFEa9281c8eB9b1a9f9D3Fab532,Freedom Reserve,$0.00,508,https://freedomreserv.eth.link/
23,24,0x58a4884182d9e835597f405e5f258290e46ae7c2,NOAHCOIN (NOAH),$0.00,73331,https://noahcoin.org/
24,25,0xe1c4c0a4c362c6df8bc2c5ed99d898aa6e606a80,CONCOIN,$0.00,1,http://www.concoin.com/
25,26,0xA3865E64121537b5b59B5e239Db4aCBe6F36aa74,Wrapped Tezos,$0.00,115,https://www.wrapped.com/
26,27,0x55a90f0eb223f3b2c0c0759f375734c48220decb,handleSGD (fxSGD),$0.00,-,https://handle.fi/
27,28,0x36a28c7c9b3dea22f07f4df67833cbe764feeeb4,Cryptonits (CRT),$0.00,3714,https://cryptonits.com/
28,29,0xcbd658da220e4ac1fc4367f30c3c107dbb3b52a1,BKRW Token (BKRW),$0.00,-,https://binance.kr/
29,30,0x3a26746Ddb79B1B8e4450e3F4FFE3285A307387E,Etherbtc (ETHB),$0.00,17217,http://etherbtc.io/
30,31,0xc1D204d77861dEf49b6E769347a883B15EC397Ff,PayperEx (PAX),$0.00,92,https://payperex.com/
