,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x0794d09be5395f69534ff8151d72613077148b29,DGD  (DGD),$0.00,8128,https://digix.global/
1,2,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,Synth sRUB  (sRUB),$0.00,-,
2,3,0x254891fc1d9545c5fd664b60702899e5e4008481,Synth iMKR  (iMKR),$0.00,-,
3,4,0xdf846d3ded30a0590319f8a7ecd4e233b0e9188c,Synth sBRL  (sBRL),$0.00,-,
4,5,0xd1599e478cc818afa42a4839a6c665d9279c3e50,Synth sMKR  (sMKR),$0.00,-,
5,6,0x60feeed05004476518281d43185fb7f52d9722c0,Synth sINR  (sINR),$0.00,-,
6,7,0xe88a4976cb7d8898d39e3f317421d625403ecb8c,Synth sMKR  (sMKR),$0.00,-,
7,8,0x5D609C25adAafd856021F92296C66dB602A0fcE8,Synth iMKR  (iMKR),$0.00,-,
8,9,0xb3f67de9a919476a4c0fe821d67bf5c4637d8429,Synth sMKR  (sMKR),$0.00,-,
9,10,0x60c34eb93afcd1b701ff8c036b128441c68a8a70,Synth sNZD  (sNZD),$0.00,-,
10,11,0x62492f15cf60c5847d3053e482cade8c5c29af88,Fusang Excha...  (FSX),$0.00,-,
11,12,0xa5a4cccccaa26cea096f6e493839423f4d66c63f,Synth sSGD  (sSGD),$0.00,-,
12,13,0x13586160e4f890d0631c3c08d989f5b7afe202b0,Synth sCNY  (sCNY),$0.00,-,
13,14,0x74C80bB51Da1EAc2d40074c647CbD0ab6920063f,Synth sNZD  (sNZD),$0.00,-,
14,15,0x1943dbd2a793c588b5170188ee6fb62e02afdff7,Synth sMKR  (sMKR),$0.00,-,
15,16,0x0Bc209fB72390AF12bD6Fd775355ea0856864B31,Synth sSGD  (sSGD),$0.00,-,
16,17,0x30a46e656cdca6b401ff043e1abb151490a07ab0,Synth XDR  (XDR),$0.00,-,https://www.synthetix.io/
17,18,0x632db1c25c03dcac8d23ff2c9a4cea34cbeffa1b,Synth sCAD  (sCAD),$0.00,-,
18,19,0x9013498ba5b04dc4d888955784eb06c539eb463f,Synth iMKR  (iMKR),$0.00,-,
19,20,0x8f69c9ee79bf9320e1a5c19e559108e1cb3d002b,Synth sMKR  (sMKR),$0.00,-,
20,21,0x2972705af18c66c14cdd27ad412961e01944a9c3,Synth sKRW  (sKRW),$0.00,-,
21,22,0xdce506b196b0df677d07e718f872cac9bc368a33,Chainlife  (CHNLF),$0.00,-,
22,23,0x84965DCa28c4Eb9dE61d80f80e811eA12BE1c819,Synth sMKR  (sMKR),$0.00,-,
23,24,0xdcb5821fcfdab5553307b8f99591fc9daa3c4be3,Synth sPLN  (sPLN),$0.00,-,
24,25,0xeaf60da0199be2f62005225248705de774582328,Synth sBRL  (sBRL),$0.00,-,
25,26,0x54a0326fb698c2cfaca5327550a897fa66d21f07,Synth XDR  (XDR),$0.00,-,
26,27,0xd9553f0fda012224141aecc1eca0e29868ff7fe8,Synth sINR  (sINR),$0.00,-,
27,28,0x1228c7d8bbc5bc53db181bd7b1fce765aa83bf8a,Synth sPLN  (sPLN),$0.00,-,
28,29,0x047fc84504714d526808be07bf17bdd70726ef92,Synth iMKR  (iMKR),$0.00,11,
29,30,0x10a0532de3c86d9ce810f004fabcf5a1ea464390,Synth XDR  (XDR),$0.00,1,
30,31,0xcf401f31c63f58debfc76f441731dfa945cd0bde,Synth XDR  (XDR),$0.00,-,
31,32,0x4140919de11fce58e654cc6038017af97f810de1,Synth sCNY  (sCNY),$0.00,-,
32,33,0x51671b7556ebeb4c43180e983f5569973e15cac9,Synth iMKR  (iMKR),$0.00,-,
33,34,0x99bcc501d04f400ba3f78b5375d00b56ace6ee0d,Synth iMKR  (iMKR),$0.00,-,
34,35,0x26c0cb14470803120321b70ae85405ac298e5a42,wrapped-DGLD  (wDGLD),$0.00,2847,https://dgld.ch/
35,36,0xd95e7f80766580634b2e0e49d9f66af317994fc7,Synth XDR  (),$0.00,-,
36,37,0x123151402076fc819B7564510989e475c9cD93CA,Synth iMKR  (iMKR),$0.00,51,https://www.synthetix.io/
37,38,0x2ae393c18b6aa62d6a2250af7b803fa6973bc981,Synth sRUB  (sRUB),$0.00,-,
38,39,0xfac2b3400df00a348c3118831a45a05255f9004a,Synth sCAD  (sCAD),$0.00,-,
39,40,0x8a8dcbba6038c6fc6d192f5cf5c5dd83b98591bc,Synth sMKR  (sMKR),$0.00,20,
40,41,0x6025f88abb6d99d02c5eed82c151d52bac8e444b,Synth sKRW  (sKRW),$0.00,6,
