,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap (UNI),"$3,430,494,533.00",353636,https://uniswap.org/
1,2,0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,Injective Token,"$508,926,580.00",14507,https://injective.com/
2,3,0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898,PancakeSwap Token,"$295,698,711.00",5587,https://pancakeswap.finance/
3,4,0x111111111117dc0aa78b770fa6a738034120c302,1INCH Token (1INCH),"$259,348,652.00",90883,https://1inch.io/
4,5,0xba100000625a3754423978a60c9317c58a424e3d,Balancer (BAL),"$184,504,756.00",45691,https://balancer.finance/
5,6,0xe41d2489571d322189246dafa5ebde1f4699f498,ZRX (ZRX),"$151,327,983.00",193185,https://0x.org/
6,7,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,OMG Network (OMG),"$79,327,031.00",685193,https://omg.network/
7,8,0x65ef703f5594d2573eb71aaf55bc0cb548492df4,Multichain (MULTI),"$66,151,668.00",1271,https://multichain.org/
8,9,0xb3999f658c0391d94a37f7ff328f3fec942bcadc,Hashflow (HFT),"$63,210,631.00",9639,https://www.hashflow.com/
9,10,0x808507121b80c02388fad14726482e061b8da827,Pendle (PENDLE),"$52,565,413.00",3829,https://pendle.finance/
10,11,0x4e352cF164E64ADCBad318C3a1e222E9EBa4Ce42,MCDEX Token (MCB),"$47,087,459.00",2814,https://mux.network/
11,12,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,IDEX Token (IDEX),"$41,411,976.00",15140,https://idex.market/
12,13,0xcafe001067cdef266afb7eb5a286dcfd277f3de5,ParaSwap (PSP),"$20,124,600.00",4963,https://paraswap.io/
13,14,0xd2ba23de8a19316a638dc1e7a9adda1d74233368,QuickSwap (QUICK),"$19,676,332.00",12,https://quickswap.exchange/
14,15,0x27054b13b1b798b345b591a4d22e6562d47ea75a,AirSwap (AST),"$18,664,411.00",13068,https://www.airswap.io/
15,16,0xdddd0e38d30dd29c683033fa0132f868597763ab,StakedDVF (xDVF),"$17,820,122.00",66,https://www.deversifi.com
16,17,0xdddddd4301a082e62e84e43f474f044423921918,DeversiFi Token,"$17,820,122.00",945,https://www.rhino.fi
17,18,0xc91a71a1ffa3d8b22ba615ba1b9c01b2bbbf55ad,ZigZag (ZZ),"$10,901,713.00",5228,https://info.zigzag.exchange/
18,19,0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab,CoW Protocol Token,"$10,328,526.00",2452,https://cow.fi/
19,20,0x701c244b988a513c945973defa05de933b23fe1d,OpenANX (OAX),"$8,982,009.00",6484,https://www.openanx.org
20,21,0x249ca82617ec3dfb2589c4c17ab7ec9765350a18,Verse (VERSE),"$8,933,495.00",4849,https://verse.bitcoin.com/
21,22,0xe2dc070524a6e305ddb64d8513dc444b6a1ec845,Nash Exchange Token,"$5,995,677.00",1011,https://nash.io/
22,23,0x92DF60c51C710a1b1C20E42D85e221f3A1bFc7f2,ApeSwapFinance Banana,"$4,421,507.00",195,https://apeswap.finance/
23,24,0x777172d858dc1599914a1c4c6c9fc48c99a60990,Solidly (SOLID),"$3,996,898.00",1254,https://solidly.com/
24,25,0x3A8cCCB969a61532d1E6005e2CE12C200caeCe87,TitanSwap (Titan),"$2,876,104.00",5782,https://titanswap.org/
25,26,0x0B6F3c17e1626a7cBfA4302CE4E3c45522d23A83,WardenSwap (WAD),"$2,532,257.00",43,https://www.wardenswap.com/
26,27,0xa6422e3e219ee6d4c1b18895275fe43556fd50ed,Stobox Token v.2,"$2,358,932.00",372,http://www.stobox.io/
27,28,0x4463e6a3ded0dbe3f6e15bc8420dfc55e5fea830,TXA (TXA),"$2,100,536.00",2198,https://www.txa.app/
28,29,0x3af33bef05c2dcb3c7288b77fe1c8d2aeba4d789,Kromatika (KROM),"$2,006,744.00",2787,https://kromatika.finance/
29,30,0x0b342c51d1592c41068d5d4b4da4a68c0a04d5a4,OneSwap (ONES),"$1,750,362.00",594,https://www.oneswap.net/
30,31,0x6cacdb97e3fc8136805a9e7c342d866ab77d0957,Swapr (SWPR),"$1,490,460.00",473,https://swapr.eth.link/
31,32,0xed0439eacf4c4965ae4613d77a5c2efe10e5f183,shroom.finance,"$1,446,556.00",3845,http://www.niftyx.org/
32,33,0x155ff1A85F440EE0A382eA949f24CE4E0b751c65,Behodler.io (EYE),"$722,101.00",1450,https://behodler.io/
33,34,0x1a23a6BfBAdB59fa563008c0fB7cf96dfCF34Ea1,CoFi Token (CoFi),"$629,499.00",1138,https://cofix.io/
34,35,0x89bd2e7e388fab44ae88bef4e1ad12b4f1e0911c,NUX Peanut.trade,"$370,686.00",1985,https://peanut.trade/
35,36,0x9af839687f6c94542ac5ece2e317daae355493a1,Hydro Protocol,"$290,467.00",26364,https://hydroprotocol.io/
36,37,0xc813EA5e3b48BEbeedb796ab42A30C5599b01740,Autonio (NIOX),"$266,841.00",2362,https://www.autonio.foundation/
37,38,0x2e1E15C44Ffe4Df6a0cb7371CD00d5028e571d14,Mettalex (MTLX),"$217,009.00",5188,https://mettalex.com/
38,39,0x7777777777697cfeecf846a76326da79cc606517,xSigma (SIG),"$49,896.00",2668,https://www.xsigma.fi/
39,40,0x286c0936c7eaf6651099ab5dab9ee5a6cb5d229d,Kwikswap (KWIK),"$29,997.00",2577,https://kwikswap.org/
40,41,0x1d37986f252d0e349522ea6c3b98cb935495e63e,ChartEx (CHART),"$23,574.00",4478,https://about.chartex.pro/
41,42,0xf921ae2dac5fa128dc0f6168bf153ea0943d2d43,Fire Protocol,"$4,317.00",1495,https://fireprotocol.io/
42,43,0x6b914246c146ccf693a97b96996ceb54d49feb62,Grumpy Cocky (GCOCK),$0.00,9,https://bitball-btb.com/
