,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x9f7fc686cfd64aa5ae15b351d03071e91533094b,Trace Network,"$688,099.00",342,https://trace.network/
1,2,0x9c78afb1b50170761fa2c842701e66e80e67d438,Silk (SLK),$0.00,2833,https://www.slkrod.com/en/main
2,3,0xBE1fa1303e2979Ab4d4e5dF3D1c6e3656ACAb027,Dripto (DRYP),$0.00,865,https://dripto.com/
3,4,0xe0ba1564a889f0d2ba8ef4978027c1b072b56ebb,VIDTC Luxury goods,$0.00,-,https://vidt-datalink.com/
4,5,0x01bcf03ecfede8e38c18c2b5dc48cd5bd0006237,PUNK (PUNK),$0.00,-,https://www.tribute-brand.com/
5,6,0x35872fea6A4843fACBCDbCe99e3B69596A3680b8,1337 (1337),$0.00,630,https://e1337.pro/
6,7,0x768810937a2D1611f023a1BbFb0BeF3025893802,Asia Model Festival,$0.00,116,https://amfglobal.biz/
7,8,0xc1F32ee1634C4a3d217920122216AeDbd1014F08,Fantasy (FNFT),$0.00,-,http://www.f-nft.us/
8,9,0xe5Db2c3E2CEFf742E5306bCfc12622f5e2d14e98,ClienteleCoin,$0.00,436,https://www.clientelecoin.com/
9,10,0x0e6bb39409257ed634afc58256f129195484681b,BNV (BNV),$0.00,-,https://www.bnv.me/
10,11,0x526dacaaf5f4aafe2fef94b93db92c4fa1c376ba,Fame Global (FAMEG),$0.00,10,https://www.onefame.xyz/
11,12,0x8770b7dd89e5f759ee3b226e0c45e890f87ddc48,Made In Real Life,$0.00,335,https://mirl.club/
12,13,0xb4ba6c2d54c6ab55233c60dcd018d307112ab84a,WrappedFashionCoin,$0.00,4,https://coin.fashion/
13,14,0xd39a2cecba2657e125ba6a5c98ad2f6b6d7e83fd,Luxochain (LUXO),$0.00,186,https://www.luxochain.io/
14,15,0x32afe5c47f43830645a74eecee94a84300fd2ac8,MetaFashion (MTFSN),$0.00,16,https://www.meta-fashion.finance/
15,16,0x59AcBF93Ec24Ad03E679C7C9C12Ce20fFD119C85,Dopamine Honorary Tabs,$0.00,-,https://dopamine.xyz/
