,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,SAND (SAND),"$727,095,374.00",201771,http://www.sandbox.game/
1,2,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,EnjinCoin (ENJ),"$259,737,967.00",165337,https://enjincoin.io/
2,3,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,Illuvium (ILV),"$247,058,572.00",37440,https://illuvium.io/
3,4,0x3a4f40631a4f906c2BaD353Ed06De7A5D3fCb430,PlayDapp Token,"$77,294,477.00",2686,https://playdapp.io/
4,5,0x430EF9263E76DAE63c84292C3409D61c598E9682,PYR Token (PYR),"$73,936,377.00",10453,https://vulcanforged.com/
5,6,0x0c6f5f7d555e7518f6841a79436bd2b1eef03381,CocosToken (COCOS),"$66,744,353.00",14024,http://www.cocosbcx.io/en/
6,7,0xac51066d7bec65dc4589368da368b212745d63e8,ALICE (ALICE),"$66,510,025.00",7783,https://www.myneighboralice.com/
7,8,0x949d48eca67b17269629c7194f4b727d4ef9e5d6,Merit Circle (MC),"$65,971,866.00",11020,https://www.meritcircle.io/
8,9,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,Smooth Love Potion,"$65,303,945.00",56599,https://axieinfinity.com/
9,10,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,Hxro (HXRO),"$59,070,427.00",6824,https://hxro.com/
10,11,0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,Ultra Token (UOS),"$48,330,302.00",23808,https://ultra.io/
11,12,0x7d5121505149065b562c789a0145ed750e6e8cdd,Victoria VR (VR),"$42,629,875.00",9945,https://victoriavr.com/
12,13,0xeA068Fba19CE95f12d252aD8Cb2939225C4Ea02D,Fief (FIEF),"$40,624,229.00",131,https://www.fief.gg/
13,14,0x081131434f93063751813c619ecca9c4dc7862a3,Dalarnia (DAR),"$38,896,267.00",2260,https://www.minesofdalarnia.com
14,15,0xccc8cb5229b0ac8069c51fd58367fd1e622afd97,Gods Unchained,"$27,300,928.00",15996,https://godsunchained.com/
15,16,0x25f8087ead173b73d6e8b84329989a8eea16cf73,Yield Guild Games Token,"$27,114,795.00",19330,https://yieldguild.io/
16,17,0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,THE TRUTH (UFO),"$24,614,632.00",67194,https://www.ufogaming.io/
17,18,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,League of Kingdoms Arena,"$24,340,416.00",5225,http://playersarena.foundation/
18,19,0xbbab3bdb291b0f22bc9881895ff488a5db67bec8,ITAMCUBE,"$22,740,362.00",148,http://cube.store/
19,20,0x9ab7bb7fdc60f4357ecfef43986818a2a3569c62,Guild of Guardians,"$18,770,308.00",6729,https://www.guildofguardians.com/
20,21,0xaaef88cea01475125522e117bfe45cf32044e238,GuildFi Token,"$18,062,480.00",6481,https://guildfi.com/
21,22,0x310c8f00b9de3c31ab95ea68feb6c877538f7947,Undead Blocks,"$13,700,828.00",5377,https://undeadblocks.com/
22,23,0x4b520c812e8430659fc9f12f6d0c39026c83588d,Decentral Games,"$12,531,812.00",3435,https://decentral.games
23,24,0x9fa69536d1cda4a04cfb50688294de75b505a9ae,DeRace Token (DERC),"$11,977,287.00",10467,https://www.derace.com/
24,25,0x5d285f735998f36631f678ff41fb56a10a4d0429,MixMarvel Token,"$8,918,885.00",10155,https://www.mixmarvel.com/
25,26,0x4f81c790581b240a5c948afd173620ecc8c71c8d,Decentral Games Governance,"$8,397,787.00",3071,https://decentral.games
26,27,0x00813E3421E1367353BfE7615c7f7f133C89df74,Splintershards,"$8,220,158.00",452,https://splinterlands.com/
27,28,0x549020a9Cb845220D66d3E9c6D9F9eF61C981102,SIDUS (SIDUS),"$7,314,382.00",22265,https://sidusheroes.com/
28,29,0xcf3c8be2e2c42331da80ef210e9b1b307c03d36a,BetProtocolToken,"$7,279,936.00",9160,https://www.bepro.network/
29,30,0xfc0d6cf33e38bce7ca7d89c0e292274031b7157a,NETVRK (NTVRK),"$6,301,036.00",9015,https://www.netvrk.co/
30,31,0xe0c05ec44775e4ad62cdc2eecdf337aa7a143363,Mancium (MANC),"$6,100,092.00",3320,http://www.mancium.io/
31,32,0x9625ce7753ace1fa1865a47aae2c5c2ce4418569,Kapital DAO Token,"$5,902,648.00",218,https://www.kapital.gg/
32,33,0x1fe24f25b1cf609b9c4e7e12d802e3640dfa5e43,ChainGuardians Governance Token,"$5,733,112.00",9286,https://www.chainguardians.io/
33,34,0x1e0b2992079b620aa13a7c2e7c88d2e1e18e46e9,KOMPETE Token,"$5,669,278.00",4390,https://kompete.game/
34,35,0x37fc4b48ce93469dbea9918468993c735049642a,CropBytes (CBX),"$5,337,681.00",8159,https://www.cropbytes.com/
35,36,0x1e2f15302b90edde696593607b6bd444b64e8f02,Shiryo-Inu,"$4,971,551.00",45580,https://shiryoinu.com/
36,37,0xee573a945b01b788b9287ce062a0cfc15be9fd86,Exeedme (XED),"$4,791,945.00",10347,https://www.exeedme.com/
37,38,0x0c572544a4ee47904d54aaa6a970af96b6f00e1b,Wasder Token (WAS),"$4,128,412.00",5647,https://www.wasder.gg/
38,39,0x9469d013805bffb7d3debe5e7839237e535ec483,Darwinia Network Native Token,"$4,111,331.00",8798,https://darwinia.network/
39,40,0x686f2404e77ab0d9070a46cdfb0b7fecdd2318b0,Lords (LORDS),"$3,969,703.00",1174,https://bibliothecadao.xyz/
40,41,0x0b8057C3Cc676C329c25C1d0Cd27776efA73762d,$WEAPON,"$3,887,699.00",1806,https://www.megaweapon.io/
41,42,0x4da0c48376c277cdbd7fc6fdc6936dee3e4adf75,Epik Prime (EPIK),"$3,635,026.00",4731,https://epikprime.com/
42,43,0xC4C2614E694cF534D407Ee49F8E44D125E4681c4,Chain Games (CHAIN),"$3,557,153.00",18108,https://chaingames.io/
43,44,0xd9016a907dc0ecfa3ca425ab20b6b785b42f2373,GAMEE (GMEE),"$3,314,553.00",2394,https://www.gamee.com/
44,45,0x728f30fa2f100742c7949d1961804fa8e0b1387d,GamerCoin (GHX),"$3,239,195.00",2195,https://gamerhash.io/
45,46,0xdb5c3c46e28b53a39c255aa39a411dd64e5fed9c,Neos Credits (NCR),"$3,174,431.00",4914,https://neos.com/
46,47,0x3Dd98C8A089dBCFF7e8FC8d4f532BD493501Ab7F,TownCoin (TOWN),"$3,011,639.00",19164,https://townstar.com/
47,48,0xe1bda0c3bfa2be7f740f0119b6a34f057bd58eba,Winkies (WNK),"$2,683,400.00",1748,https://www.winkyverse.io/
48,49,0xcfeb09c3c5f0f78ad72166d55f9e6e9a60e96eec,vEmpire Gamer Token,"$2,027,593.00",4270,https://www.vemp.xyz/
49,50,0x34Be5b8C30eE4fDe069DC878989686aBE9884470,SENATE (SENATE),"$2,020,846.00",13752,https://sidusheroes.com/
50,51,0x23894DC9da6c94ECb439911cAF7d337746575A72,Geojam (JAM),"$1,985,502.00",4207,https://geojam.com/
51,52,0x1c9922314ed1415c95b9fd453c3818fd41867d0b,TOWER (TOWER),"$1,684,702.00",4076,https://crazydefenseheroes.com/
52,53,0x2e85ae1C47602f7927bCabc2Ff99C40aA222aE15,Katana Inu (KATA),"$1,581,879.00",3911,https://katanainu.com/
53,54,0x60be1e1fe41c1370adaf5d8e66f07cf1c2df2268,Perion Credits,"$1,565,842.00",622,https://perion.gg/
54,55,0xA67E9F021B9d208F7e3365B2A155E3C55B27de71,KleeKai (KLEE),"$1,506,896.00",5137,https://klee.games/
55,56,0x94E9EB8b5Ab9fd6B9ea3169D55FFAde62a01702e,BreederDAO (BREED),"$1,458,362.00",2263,https://breederdao.io/
56,57,0x60eb57d085c59932d5faa6c6026268a4386927d0,LOCGame (LOCG),"$1,421,117.00",2320,https://locgame.io/
57,58,0xc86817249634ac209bc73fca1712bbd75e37407d,1-UP (1-UP),"$1,408,419.00",828,https://www.1-up.fun/
58,59,0x16CC8367055aE7e9157DBcB9d86Fd6CE82522b31,Voxel X Network,"$1,319,186.00",1734,https://voxelxnetwork.com/
59,60,0x8b3870df408ff4d7c3a26df852d41034eda11d81,IOI Token (IOI),"$1,274,757.00",1794,www.qorpo.co/traderacemanager2/home
60,61,0x60f5672a271c7e39e787427a18353ba59a4a3578,PIKA (PIKA),"$1,175,802.00",5787,https://pikacrypto.com/
61,62,0xac0104cca91d167873b8601d2e71eb3d4d8c33e0,Crowns (CWS),"$1,114,795.00",3799,https://www.seascape.network/
62,63,0x0db8d8b76bc361bacbb72e2c491e06085a97ab31,iQeon (IQN),"$1,076,546.00",7338,https://iqeon.io/
63,64,0x7ae1d57b58fa6411f32948314badd83583ee0e8c,Paper (PAPER),"$1,039,429.00",2707,https://dopewars.gg/
64,65,0x88a9a52f944315d5b4e917b9689e65445c401e83,Fear NFTs (FEAR),"$1,028,985.00",1357,https://www.fear.io/
65,66,0x8e0e57dcb1ce8d9091df38ec1bfc3b224529754a,Moon Tropica (CAH),"$992,511.00",291,https://moontropica.com/
66,67,0x20a8cec5fffea65be7122bcab2ffe32ed4ebf03a,DinoX Coin (DNXC),"$934,037.00",1618,https://dinox.io/
67,68,0xa41f142b6eb2b164f8164cae0716892ce02f311f,Avocado DAO Token,"$867,353.00",2740,https://www.avocadodao.io/
68,69,0x1f36fb2d91d9951cf58ae4c1956c0b77e224f1e9,VCGamers (VCG),"$856,660.00",34,https://token.vcgamers.com/
69,70,0xd567b5f02b9073ad3a982a099a23bf019ff11d1c,Game Coin (GAME),"$803,780.00",1473,https://www.gamestarter.co/
70,71,0x3c8D2FCE49906e11e71cB16Fa0fFeB2B16C29638,Nifty League (NFTL),"$773,110.00",2955,https://nifty-league.com/
71,72,0x46e98FFE40E408bA6412bEb670507e083C8B95ff,PRIMATE,"$685,877.00",1373,https://www.benjibananas.com/
72,73,0x9f284e1337a815fe77d2ff4ae46544645b20c5ff,Darwinia Commitment Token,"$629,020.00",2416,https://darwinia.network/
73,74,0x8bbe1a2961B41340468D0548c2cd5B7DFA9b684c,Handy Token (HANDY),"$621,002.00",4841,https://handypick.io/
74,75,0xb5be7557fe8f69a2B5707D25fA0aeE80DfDA512E,PolysportsToken,"$563,411.00",4,https://www.polysports.org/
75,76,0xd8c1232fcd219286e341271385bd70601503b3d7,Dogira (DOGIRA),"$554,368.00",118,https://dogira.net/
76,77,0x9b110Fda4E20DB18Ad7052f8468a455de7449eb6,Calvaria: Duels of Eternity,"$526,723.00",4886,https://calvaria.io/
77,78,0x7b00ae36c7485b678fe945c2dd9349eb5baf7b6b,Spheroid SPACE,"$515,542.00",-,https://spheroiduniverse.io/
78,79,0x3a1bda28adb5b0a812a7cf10a1950c920f79bcd3,FLIP (FLP),"$487,224.00",3936,https://tokensale.gameflip.com/
79,80,0xfa99a87b14b02e2240c79240c5a20f945ca5ef76,GGToken (GGTK),"$385,713.00",809,https://ggdapp.com/
80,81,0x05aaaa829afa407d83315cded1d45eb16025910c,SP8DE Token (SPX),"$354,732.00",15650,https://sp8de.com/
81,82,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,POLKER (PKR),"$229,320.00",4898,https://pkr.io/
82,83,0x40395044Ac3c0C57051906dA938B54BD6557F212,MobileGo (MGO),"$213,746.00",15030,https://mobilego.io/
83,84,0xf6e06b54855eff198a2d9a8686113665499a6134,Celestial (Celt),"$187,274.00",694,https://celt.game/
84,85,0x7b39917f9562c8bc83c7a6c2950ff571375d505d,LeagueDAO Governance Token,"$182,375.00",396,https://leaguedao.com
85,86,0x2c50ba1ED5e4574C1b613b044Bd1876f0B0B87a9,Kids Cash (KASH),"$118,296.00",52,https://kash.community
86,87,0x02f2d4a04e6e01ace88bd2cd632875543b2ef577,PKG Token (PKG),"$115,067.00",3878,http://pkgtoken.io/
87,88,0xdc349913d53b446485e98b76800b6254f43df695,Bezoge Earth (BEZOGE),"$104,312.00",30332,https://www.bezoge.com/
88,89,0xdef1da03061ddd2a5ef6c59220c135dec623116d,Lepricon (L3P),"$67,209.00",2522,https://lepricon.io/
89,90,0x9b68bfae21df5a510931a262cecf63f41338f264,Decent.Bet (DBET),"$65,858.00",3456,https://www.decent.bet/
90,91,0xe796d6ca1ceb1b022ece5296226bf784110031cd,Blind Boxes Token,"$63,847.00",3576,https://blindboxes.io/
91,92,0xe516d78d784c77d479977be58905b3f2b1111126,BitSpawn Token,"$60,616.00",2123,https://bitspawn.io/
92,93,0x734c90044a0ba31b3f2e640c10dc5d3540499bfd,TradeStars TSX,"$52,515.00",646,https://tradestars.app/
93,94,0x14a32f050facf226ec60882398a9bf36d91dbac2,Kyoko (KYOKO),"$52,417.00",1750,https://www.kyoko.finance/
94,95,0x740623d2c797b7D8D1EcB98e9b4Afcf99Ec31E14,DoYourTip (DYT),"$47,360.00",2586,https://doyourtip.io/
95,96,0x14da7b27b2e0fedefe0a664118b0c9bc68e2e9af,Blockchain Cuties Universe Governance Token,"$45,869.00",2817,https://www.blockchaincuties.finance/
96,97,0x2bdc0d42996017fce214b21607a515da41a9e0c5,SkinCoin (SKIN),"$45,376.00",4071,https://skincoin.org
97,98,0xa8262eb913fccea4c3f77fc95b8b4043b384cfbb,Krypton (KGC),"$43,560.00",1426,https://kexingqiu.net/
98,99,0x882e5b370d595e50c24b2a0e7a94e87cc32adda1,Game (Game),"$40,503.00",671,https://app.xconsoles.tv/
99,100,0x198a87b3114143913d4229fb0f6d4bcb44aa8aff,snowball (SNBL),"$35,325.00",233,https://www.snowball.network/
100,101,0xd26a9c3437f7d121098c8c05c7413f5cc70bb070,Azuma coin (AZUM),"$31,944.00",501,https://www.azumacoin.io/
101,102,0xd3c00772b24d997a812249ca637a921e81357701,WILD Token (WILD),"$28,250.00",2632,https://wildcrypto.com/
102,103,0x48c1b2f3efa85fbafb2ab951bf4ba860a08cdbb7,ShowHand (HAND),"$27,642.00",54584,https://showhand.io/
103,104,0x24692791bc444c5cd0b81e3cbcaba4b04acd1f3b,UnikoinGold (UKG),"$26,000.00",9978,https://unikoingold.com/
104,105,0xcae72a7a0fd9046cf6b165ca54c9e3a3872109e0,AnRKey X ($ANRX),"$24,298.00",5045,https://anrkeyx.io/
105,106,0x20a68f9e34076b2dc15ce726d7eebb83b694702d,Defiville Island Token,"$23,270.00",533,https://defiville.finance/
106,107,0x48ff53777f747cfb694101222a944de070c15d36,Ether Kingdoms Token,"$22,897.00",1651,https://imps.me/
107,108,0xf8e9f10c22840b613cda05a0c5fdb59a4d6cd7ef,Dogs Of Elon (DOE),"$19,447.00",5925,https://kudoe.io/
108,109,0x1951ab088141e69a3713a351b0d55ba3acda192c,Night Life Crypto,"$12,562.00",49,https://nightlifecrypto.com/
109,110,0x878cf148ccbb50426043a9affe54ba408221c7fa,Crypto Kombat Token,"$12,257.00",277,https://cryptokombat.com/
110,111,0x8281ee37f164c0e26e6b6f87e7695baac256df07,DegenArts.com Coin,"$11,275.00",245,https://www.degenarts.com/
111,112,0xa0d440c6da37892dc06ee7930b2eede0634fd681,MasterNet (MASH),"$10,622.00",1528,https://masternet.io/
112,113,0x9b20dabcec77f6289113e61893f7beefaeb1990a,Fair Token (FAIR),"$7,108.00",88120,https://fair.game/
113,114,0x67a9099f0008c35c61c00042cd9fb03684451097,GAMESTARS TOKEN,"$4,538.00",1215,https://gamestars.io/
114,115,0xc50ef449171a51fbeafd7c562b064b6471c36caa,Zombie Inu (ZINU),"$2,890.00",13450,
115,116,0xEeEeeeeEe2aF8D0e1940679860398308e0eF24d6,Ethverse Token,"$2,544.00",2602,https://ethverse.com/
116,117,0x7E43581b19ab509BCF9397a2eFd1ab10233f27dE,BitGuild PLAT,$1.00,8216,https://bitguild.io/
117,118,0x056354F3Ff20743aa4c0DA365603871c7000b081,TriumphX (TRIX),$0.00,3321,https://triumphx.io/
118,119,0xf26a23019b4699068bb54457f32dafcf22a9d371,CryptoDerby-Horse,$0.00,-,https://cryptoder.by/
119,120,0x17d2628d30f8e9e966c9ba831c9b9b01ea8ea75c,ISKRA TOKEN (ISK),$0.00,172,https://iskra.world/
120,121,0x0f6487e2ce1494dfbee2978384db906a403edd36,UndeadsPotions,$0.00,-,https://undeads.com/
121,122,0x3c5610de60b9154410332c5d4614246f9ef129f0,GemeGen (GGEN),$0.00,4,https://gemegen.com/
122,123,0x96c520A79bf62C955Eaa044f600f67e3eCfeff52,LAND Token (LAND),$0.00,21657,https://each.land/
123,124,0xe8ae4bfd7521d26283bc14f2395675144aa65e6d,Atmos - MKIV Datacard,$0.00,-,https://atmos.xyz/
124,125,0x98c36c0e953463bd5146c8783ce081ce1d187acf,Polyient Games Unity,$0.00,545,https://www.polyient.games/
125,126,0x4889F721f80C5E9fadE6Ea9B85835D405D79a4f4,Mafia.Network,$0.00,100,https://www.mafi.network/
126,127,0xaa508daf6bfccb6190dca10afa01774ef0abe34d,Crystal Function Token,$0.00,1,https://suhosin.io/
127,128,0xed9535442796ad645398d29472868e3ffb9c7158,Inugami World,$0.00,57,https://inugami.world/
128,129,0x3085154623f51b00dedfc6ceeb5197277a66b17b,NFTY Token (NFTY),$0.00,317,https://nftytoken.app
129,130,0xb019ae5c952fa5440e3778a3951cc14c3fe34a3f,Battle Credits,$0.00,2,https://www.battle.credit/
130,131,0xcec38306558a31cdbb2a9d6285947c5b44a24f3e,Fantasy Sports,$0.00,295,http://www.digitalfantasysports.com/
131,132,0x1ae15c5c21fe5aa1cc24b1c5cdaff07736cb9c3f,Afflarium (AFF),$0.00,3,https://afflarium.com/
132,133,0xc7d8d51367582900aca9b555b32571a72ebf3c6d,MZW collectible,$0.00,-,https://mesozoowars.com/en
133,134,0xa54ddc7b3cce7fc8b1e3fa0256d0db80d2c10970,NEVERDIE (NDC),$0.00,13455,https://neverdie.com
