,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,yearn.finance,"$190,996,195.00",50302,https://yearn.finance/
1,2,0x9813037ee2218799597d83d4a5b6f3b6778218d9,BONE SHIBASWAP,"$166,654,224.00",82074,https://shibaswap.com/
2,3,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,Tribe (TRIBE),"$148,992,919.00",14529,https://fei.money/
3,4,0xf6a36a5a942dec8bb60e5cbf005d70d89abfb505,SUN (SUN),"$53,809,926.00",2,https://sun.io/#/home
4,5,0xc2544a32872a91f4a553b404c6950e89de901fdb,Frax Price Index Share,"$42,600,067.00",2397,https://app.frax.finance/
5,6,0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81,Dopex Governance Token,"$30,613,438.00",2696,https://www.dopex.io/
6,7,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,Gamium [via ChainPort.io],"$22,155,498.00",837,https://gamium.world/
7,8,0xcafe001067cdef266afb7eb5a286dcfd277f3de5,ParaSwap (PSP),"$20,126,303.00",4963,https://paraswap.io/
8,9,0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,JPEG’d Governance Token,"$16,113,840.00",5041,https://jpegd.io/
9,10,0x75858677e27C930FB622759FeafFeE2b754Af07F,Phantasma Stake,"$12,397,370.00",455,https://phantasma.io/
10,11,0x6f80310ca7f2c654691d1383149fa1a57d8ab1f8,Silo Governance Token,"$10,241,389.00",3213,https://www.silo.finance/
11,12,0x4f81c790581b240a5c948afd173620ecc8c71c8d,Decentral Games Governance,"$8,397,787.00",3071,https://decentral.games
12,13,0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24,StarLink (STARL),"$7,590,641.00",34915,https://www.starlproject.com/
13,14,0xD291E7a03283640FDc51b121aC401383A46cC623,Rari Governance Token,"$4,809,791.00",8658,https://rari.capital/
14,15,0x321c2fe4446c7c963dc41dd58879af648838f98d,Cryptex (CTX),"$4,772,854.00",1727,https://cryptex.finance/
15,16,0xca1207647Ff814039530D7d35df0e1Dd2e91Fa84,dHedge DAO Token,"$4,328,852.00",3563,https://www.dhedge.org/
16,17,0xeeaa40b28a2d1b0b08f6f97bb1dd4b75316c6107,GOVI (GOVI),"$4,145,475.00",3208,https://cvi.finance/
17,18,0x6243d8cea23066d098a15582d81a598b4e8391f4,Flex Ungovernance Token,"$2,700,953.00",3521,https://reflexer.finance/
18,19,0x1321f1f1aa541a56c31682c57b80ecfccd9bb288,ARCx Governance Token,"$2,582,736.00",2900,https://arcx.money/
19,20,0x6100dd79fcaa88420750dcee3f735d168abcb771,NONbeta (NON),"$2,173,287.00",1651,https://nonnation.xyz
20,21,0xab846fb6c81370327e784ae7cbb6d6a6af6ff4bf,Paladin Token,"$1,651,108.00",779,http://paladin.vote
21,22,0x34612903Db071e888a4dADcaA416d3EE263a87b9,ethart (arte),"$858,001.00",1385,https://item.eth.link/
22,23,0xd779eea9936b4e323cddff2529eb6f13d0a4d66e,ENTER Governance Token,"$163,682.00",1144,https://enterdao.xyz/
23,24,0x59e9261255644c411afdd00bd89162d09d862e38,ETHA (ETHA),"$133,176.00",1557,https://ethalend.org/
24,25,0xf56b164efd3cfc02ba739b719b6526a6fa1ca32a,Curio Governance Token,"$130,496.00",676,https://curioinvest.com/curio-stablecoin
25,26,0x24a6a37576377f63f194caa5f518a60f45b42921,Float Bank (BANK),"$123,600.00",2877,https://floatprotocol.com
26,27,0xdC386452F9FFDa7F0d2940e5c60Dc0F9469b1097,xKAWA (xKAWA),"$94,826.00",286,https://kawatoken.io/
27,28,0x28a06c02287e657ec3f8e151a13c36a1d43814b0,BondAppetit Governance,"$58,480.00",470,https://bondappetit.io/
28,29,0x14da7b27b2e0fedefe0a664118b0c9bc68e2e9af,Blockchain Cuties Universe Governance Token,"$45,869.00",2817,https://www.blockchaincuties.finance/
29,30,0xFCf8a5B6c0959CB0d3425Afc3B9B39fF79bf5F12,wPIRL TO ETH (wPIRL),"$36,231.00",46,https://pirl.io/
30,31,0x383518188c0c6d7730d91b2c03a03c837814a899,OHM V1 (OHM),$0.00,7899,https://olympusdao.finance/#/
31,32,0x773258b03c730f84af10dfcb1bfaa7487558b8ac,Secret Finance,$0.00,1248,https://scrt.network
32,33,0xdb6f6c8b940110617cf66e50c271e2278c8a32df,Scam Inu (SINU),$0.00,103,https://scaminutoken.com/
33,34,0xEdDE96c34A8E1972C41cA247053035e7E49687C4,Governance (),$0.00,-,
34,35,0x05fe7535d46481ce9cb1944fc403a74230dfecbf,Wall Street Bets Token,$0.00,119,https://wsb.cx/
35,36,0x341956c0c653d3348f86d6278f10dd52071312ee,CyberBank Ecosystems Token,$0.00,2,https://www.cyberbank.co/
36,37,0x9c354503c38481a7a7a51629142963f98ecc12d0,Origin Dollar Governance,$0.00,2644,https://ousd.com/
37,38,0xbdbf245c690d54b67c6e610a28486a2c6de08be6,Sunder Goverance Token,$0.00,404,https://sunder.finance/
38,39,0xfdb16a6900ce90cb27afec95dc274d27e0d61b87,Vote Escrowed Origin Dollar Governance,$0.00,-,https://ousd.com/
39,40,0x3642c0680329ae3e103e2b5ab29ddfed4d43cbe5,Plenny (PL2),$0.00,12,https://plenny.link/
40,41,0xf79dec839135e4b175eead2aeec7f168f2558577,VIRSACOIN (VIR),$0.00,7,https://virsacoin.com/
41,42,0x46c04976bd3d60e2f4cbf083e705e957b76a666e,Akiverse Governance,$0.00,1,https://akiverse.io/
42,43,0x0ab87046fBb341D058F17CBC4c1133F25a20a52f,Governance OHM,$0.00,42240,https://www.olympusdao.finance/
43,44,0x3166c570935a7d8554c8f4ea792ff965d2efe1f2,Q DAO Governance token v1.0,$0.00,2851,https://qdefi.io/en/
44,45,0x5c761c1a21637362374204000e383204d347064c,SRSC Chiz Token,$0.00,2348,https://www.sewerratsocial.club/
45,46,0xBaa9AF8a83500Ac4137C555b9E58CCB3e1f2269D,ShinChan Token,$0.00,1686,https://shinchantoken.com/
46,47,0x4be40bc9681D0A7C24A99b4c92F85B9053Fc2A45,DiFy.Finance (YFIII),$0.00,5362,https://dify.finance/
47,48,0x90b831fa3bebf58e9744a14d638e25b4ee06f9bc,MIMO Parallel Governance Token,$0.00,5227,https://mimo.capital/
48,49,0xD69F306549e9d96f183B1AecA30B8f4353c2ECC3,MCHCoin (MCHC),$0.00,3779,https://www.mycryptoheroes.net/
49,50,0x30BCd71b8d21FE830e493b30e90befbA29de9114,Penguin Party Fish,$0.00,455,https://penguinparty.eth.link/#
50,51,0x875773784Af8135eA0ef43b5a374AaD105c5D39e,Idle (IDLE),$0.00,3770,https://idle.finance/
51,52,0x7a678ebf122e7fca605e19517072ee335ac148f2,WhiteWoolf.Network,$0.00,302,https://whitewoolf.network/
52,53,0x9fcf4497ed9fbb8d8b46259e4f2bb4749953ab8b,DeFiant Token,$0.00,862,https://defiantplatform.com/
53,54,0xe9b076b476d8865cdf79d1cf7df420ee397a7f75,Unification (FUND),$0.00,1742,https://unification.com/
54,55,0xc8754e609cb35c1d04d50734761bec38b7da9278,RChainDao (RDAO),$0.00,258,http://rchaindao.com/
55,56,0x28d97e75745cf36f045C24aDDB797D3592Fd3320,Decentralized Eye,$0.00,104,https://www.deye.app/
56,57,0x0f1e4c4330bd0c43e5be3e7657412bbd743bbc13,HYPEX (HYPEX),$0.00,3,https://www.supremefinance.io/
57,58,0x0bf43350076f95e0d16120b4d6bdfa1c9d50bdbd,Antfarm Governance Token,$0.00,60,https://antfarm.finance/
58,59,0xfc97c0c12438b6e4cf246cd831b02fef4950dcad,OnX onStable Token,$0.00,347,https://onx.finance
59,60,0x19c9872640ec38c2cf36c0f04d1365ef067869b3,Oath Protocol,$0.00,671,https://www.oathprotocol.com/
60,61,0x8987a07ba83607a66c7351266e771fb865c9ca6c,Cage Governance Token,$0.00,59,https://cag3.io/
61,62,0xbff89386d062c6040ed1955e180c87dd00bb71af,Hedge Tech Governance,$0.00,96,https://www.thecurrent.io/
62,63,0xe6136f2e90eeea7280ae5a0a8e6f48fb222af945,Vote-escrowed DOUGH (veDOUGH),$0.00,373,https://www.piedao.org/
63,64,0x62f8dbdea37a4ed40ff3d2631001e4490c13218f,Wall Street Baby,$0.00,295,https://wallstreetbaby.io/
