,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0xB62132...8d815206,Nexo  (NEXO),"$395,613,555.00",77077,https://nexo.io/,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
1,2,0xc00e94...A7f26888,Compound  (COMP),"$350,080,067.00",208837,https://compound.finance/,0xc00e94cb662c3520282e6f5717214004a7f26888
2,3,0xaaAEBE...7d09D42d,Celsius  (CEL),"$216,356,622.00",31052,https://celsius.network/,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d
3,4,0x4C1959...E6543784,TrueFi  (TRU),"$61,323,796.00",7026,https://truefi.io/,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784
4,5,0x80fB78...931aab03,EthLend  (LEND),"$25,846,252.00",135115,https://aave.com/,0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
5,6,0xfA5047...D7313d4a,ROOK  (ROOK),"$11,594,759.00",17451,https://www.rook.fi/,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
6,7,0xc6DdDB...A807260b,Aurox Token  (URUS),"$9,686,209.00",20529,https://getaurox.com/,0xc6dddb5bc6e61e0841c54f3e723ae1f3a807260b
7,8,0xbbBBBB...1E725f61,B.Protocol  (BPRO),"$4,681,722.00",1369,https://bprotocol.org/,0xbbbbbbb5aa847a2003fbc6b5c16df0bd1e725f61
8,9,0x2791Bf...aAA2BA81,BiFi  (BiFi),"$2,960,120.00",1877,https://bifi.finance/,0x2791bfd60d232150bff86b39b7146c0eaaa2ba81
9,10,0xC9fE6E...0B0b1D15,Fringe  (FRIN),"$2,245,315.00",2451,https://fringe.fi/,0xC9fE6E1C76210bE83DC1B5b20ec7FD010B0b1D15
10,11,0x92E187...Fd2357D5,Unit Protoco...  (DUCK),"$2,052,723.00",3019,https://unit.xyz/,0x92e187a03b6cd19cb6af293ba17f2745fd2357d5
11,12,0x00AbA6...C710a1eb,EASY V2  (EZ),"$703,405.00",4373,https://easyfi.network/,0x00aba6fe5557de1a1d565658cbddddf7c710a1eb
12,13,0x13119E...C375D9e6,MoneyToken  (IMT),"$449,142.00",60251,https://moneytoken.eu/,0x13119e34e140097a507b07a5564bde1bc375d9e6
13,14,0x84d821...E07d7a53,BNPL Pay  (BNPL),"$208,168.00",847,https://bnplpay.io,0x84d821f7fbdd595c4c4a50842913e6b1e07d7a53
14,15,0x054f76...C5dEbE40,DeFiner  (FIN),"$185,668.00",2053,https://definer.org/,0x054f76beED60AB6dBEb23502178C52d6C5dEbE40
15,16,0x59E926...9D862e38,ETHA  (ETHA),"$136,256.00",1556,https://ethalend.org/,0x59e9261255644c411afdd00bd89162d09d862e38
16,17,0x6D7917...6dDf6fc8,SEMI  (SEMI),"$36,301.00",110,http://www.semitokenglobal.com/,0x6D7917864003a9bb13CBbEC8F1CdD4E36dDf6fc8
17,18,0x7b35Ce...29764a00,Impermax  (IMX),"$32,960.00",3117,https://impermax.finance/,0x7b35ce522cb72e4077baeb96cb923a5529764a00
18,19,0x84Bb94...3bb03007,Stater  (STR),"$24,139.00",1832,https://stater.co/,0x84bb947fcedba6b9c7dcead42df07e113bb03007
19,20,0x0784dB...9e5DafaB,IBTC  (IBTC),"$6,953.00",1876,http://ibtc.credit/,0x0784dbabb6c6834bddfb7cfee116ba049e5dafab
20,21,0x2aECCB...7A7001f8,Ruler Protoc...  (RULER),"$1,391.00",1031,https://rulerprotocol.com/,0x2aeccb42482cc64e087b6d2e5da39f5a7a7001f8
21,22,0x0775C8...01F00279,Bulleon  (BUL),$181.00,31279,https://bulleon.io/,0x0775c81a273b355e6a5b76e240bf708701f00279
22,23,0x4F905f...a0696090,ZENTEREST Et...  (zenETH),$0.00,48,http://mantradao.com/,0x4f905f75f5576228ed2d0ea508fb0c32a0696090
23,24,0x2DDFd5...bc1f9572,ZENTEREST 1I...  (zen1IN...),$0.00,22,http://mantradao.com/,0x2ddfd56221568b6d4350b68432569a57bc1f9572
24,25,0xD520dd...Ef6cE280,Holdefi Toke...  (HLD),$0.00,1613,https://holdefi.com/,0xd520ddbdf81323f4b9a0ea0adbb692ebef6ce280
25,26,0x0F4315...A9E6DC83,Getmoder  (GTMR),$0.00,688,https://gtmr.io/,0x0f4315934eb9ebe33c602e2726ffe0cda9e6dc83
26,27,0x0C91F1...0969B5eA,ZENTEREST zH...  (zenzHE...),$0.00,4,https://mantradao.com/,0x0c91f1795e012bcef586c925f747f23b0969b5ea
27,28,0x7A665D...2A9FE400,ZENTEREST re...  (zenREN...),$0.00,7,https://mantradao.com/,0x7a665de4b80835295901dd84ece07e942a9fe400
28,29,0x5B4463...84CDE214,ZENTEREST Wr...  (zenWBT...),$0.00,11,http://mantradao.com/,0x5b4463bbd7b2e870601e91161e0f1f7f84cde214
29,30,0x2Eb486...cC543b9F,Portal IOU  (PRTL),$0.00,70,https://warp.finance/,0x2eb4861d1a049f3ad7284204e788446bcc543b9f
30,31,0xdB63D9...AaD25557,Mintos  (MNTS),$0.00,2,https://mintos.finance/,0xdb63d9638aa65cfc340e826fb234dacaaad25557
31,32,0xEf3275...b2bB83e6,YFA finance  (YFA),$0.00,120,https://yfa.cash/,0xEf327568556310d344c49FB7cE6CBFE7b2bB83e6
32,33,0xFD64Da...4fc4bcdD,Artem Ether  (aETH),$0.00,54,https://artem.finance/,0xfd64dad84bdd0c735dec910936f301c74fc4bcdd
33,34,0xD85AD7...a9B52210,TribeOne  (HAKA),$0.00,3213,https://www.tribeone.io/,0xd85ad783cc94bd04196a13dc042a3054a9b52210
34,35,0x5D1b10...cc579FC4,yfrb.Finance  (YFRB),$0.00,165,https://www.yfrb.finance/,0x5D1b1019d0Afa5E6cc047B9e78081D44cc579FC4
35,36,0xA2A191...9754A693,P2PG  (P2PGO),$0.00,299,https://p2pgo.io/,0xA2A19165C17B36a5C753A246c1e188489754A693
36,37,0x88D59B...fDb71Eb8,Payship.org  (PSHP),$0.00,107,https://payship.org,0x88D59Ba796fDf639dEd3b5E720988D59fDb71Eb8
37,38,0x4de257...E4A34405,Lendroid Sup...  (LST),$0.00,18657,https://lendroid.com/,0x4de2573e27E648607B50e1Cfff921A33E4A34405
38,39,0x4C7801...d93794eA,WePiggy Coin  (WPC),$0.00,2,https://wepiggy.com/,0x4c78015679fabe22f6e02ce8102afbf7d93794ea
39,40,0xDcB01c...96eAfF9f,Yield  (YLD),$0.00,1162,https://yield.credit/,0xdcb01cc464238396e213a6fdd933e36796eaff9f
40,41,0x3F2E9a...85054E1C,ZENTEREST CO...  (zenCOM...),$0.00,13,http://mantradao.com/,0x3f2e9a93428a22d2f4cacc3f184f1aad85054e1c
41,42,0x959F30...a7c238E2,WePiggy RAI  (pRAI),$0.00,6,https://wepiggy.com/,0x959f30f765a44273eccaa0fac094160aa7c238e2
42,43,0x650D62...2a24A367,ZENTEREST FT...  (zenFTT),$0.00,14,http://mantradao.com/,0x650d62fcb1f22a10a2b810bfe305c1312a24a367
43,44,0xf533c7...856Ed4F0,ZENTEREST RF...  (zenRFU...),$0.00,17,http://mantradao.com/,0xf533c78c0790676008d576c5cc2e63e0856ed4f0
44,45,0x3F17cf...F46819dA,Amplify Toke...  (AMPT),$0.00,93,https://ampt.finance/,0x3f17cfad23c2014c5a32722557df87dff46819da
45,46,0x144bdF...5FbdB8E1,ZENTEREST CR...  (zenCRV),$0.00,13,https://mantradao.com/,0x144bdf52690c59b510da5dbc09bb5f145fbdb8e1
46,47,0x1B8E12...7d74c14C,Value USD  (vUSD),$0.00,8116,https://valuedefi.io/,0x1B8E12F839BD4e73A47adDF76cF7F0097d74c14C
47,48,0x57a8CB...03912F57,ZENTEREST AA...  (zenAAV...),$0.00,8,http://mantradao.com/,0x57a8cb15e9575bf9bf80f3531183395703912f57
48,49,0x1b6d73...1cCa0499,ZENTEREST Ba...  (zenBNT),$0.00,12,https://mantradao.com/,0x1b6d730a1dcaeb870ba3b0c6e51f801c1cca0499
49,50,0x6f989c...D40D5Bc0,OpenSky Besp...  (OBBR),$0.00,-,https://opensky.finance/,0x6f989c161c1e6c2780b1c97788f125a3d40d5bc0
50,51,0xa8e31a...A3FfABd9,ZENTEREST FR...  (zenFRA...),$0.00,7,https://mantradao.com/,0xa8e31ad81d609ff616645849987fef30a3ffabd9
51,52,0xC4bdAA...1850Ff2E,ZENTEREST SN...  (zenSNX),$0.00,10,http://mantradao.com/,0xc4bdaa3b4f2c9a78baa4442cd81874881850ff2e
52,53,0x4E5097...3893Cc34,ZENTEREST Co...  (zenCOR...),$0.00,1,https://mantradao.com/,0x4e50972850822f8be8a034e23891b7063893cc34
53,54,0xf8E5b9...7c8D8c1f,WePiggy USDC  (pUSDC),$0.00,17,https://wepiggy.com/,0xf8e5b9738bf63adfff36a849f9b9c9617c8d8c1f
54,55,0x53bAfb...367Ec3bd,ZENTEREST BO...  (zenBON...),$0.00,47,http://mantradao.com/,0x53bafba543f8f1283ed5b21cafe7925c367ec3bd
55,56,0x132E54...BB510419,ZENTEREST BA...  (zenBAO),$0.00,20,https://mantradao.com/,0x132e549262f2b2ad48aa306c3d389e55bb510419
56,57,0x9da165...eC3D7EdE,Pngcoin  (PNG),$0.00,993,https://pngme.com/,0x9da1659a203cefe6e9c6da98c7a669a1ec3d7ede
57,58,0x4dD6D5...817dA687,ZENTEREST MP...  (zenMPH),$0.00,19,https://mantradao.com/,0x4dd6d5d861edcd361455b330fa28c4c9817da687
58,59,0xE3334e...861b25fa,ZENTEREST WH...  (zenWHI...),$0.00,26,https://mantradao.com/,0xe3334e66634acf17b2b97ab560ec92d6861b25fa
59,60,0xF76cc2...4a22aFcd,ZENTEREST US...  (zenUSD...),$0.00,33,http://mantradao.com/,0xf76cc2dc02f56b27761dbdb7a62e2b1c4a22afcd
60,61,0xA0998F...4aF8E873,ZENTEREST RS...  (zenRSR),$0.00,20,http://mantradao.com/,0xa0998fc7dcf51169d97a74f0b0b7d97e4af8e873
61,62,0x1FCdcE...aa5A672F,The Force To...  (FOR),$0.00,22765,https://for.tube/,0x1fcdce58959f536621d76f5b7ffb955baa5a672f
62,63,0xfDcdfA...6ac1aDcB,Curio Stable...  (CSC),$0.00,17,https://stablecoin.curioinvest.com/,0xfdcdfa378818ac358739621ddfa8582e6ac1adcb
63,64,0x5a25FE...3fDd2D72,Artem BaconC...  (aBAK),$0.00,17,https://artem.finance/,0x5a25fe235158327074ddb95e1daa8db53fdd2d72
64,65,0x078DbE...c9DFc1dC,p2pl.finance  (P2PL),$0.00,110,https://p2pl.finance/,0x078DbEab281bEfe80fFF6EA151355ef5c9DFc1dC
65,66,0x7Fc665...3E2DDaE9,Aave Token  (AAVE),$0.00,154666,https://aave.com/,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
66,67,0x72e9D9...3f9aDA13,SMARTCREDIT ...  (SMARTC...),$0.00,1680,https://smartcredit.io/,0x72e9D9038cE484EE986FEa183f8d8Df93f9aDA13
67,68,0xD6e140...F64C6839,HOLD  (HOLD),$0.00,10075,https://hold.co/,0xd6e1401a079922469e9b965cb090ea6ff64c6839
