,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xff340f03e226b669c873516755a6b88a45b0b2ac,AXIS Token  (AXIS),"$3,532,539.00",3413,https://axistoken.io/
1,2,0xf0c5831ec3da15f3696b4dad8b21c7ce2f007f28,OBORTECH  (OBOT),"$1,576,618.00",1119,https://www.obortech.io/
2,3,0x286BDA1413a2Df81731D4930ce2F862a35A609fE,BitNautic To...  (BTNT),"$690,260.00",1608,https://bitnautic.com/
3,4,0x7d9564dab2c58f163d0125892d25cf58d4494de5,WaBi  (WaBi),"$70,938.00",17918,https://wabi.io/
4,5,0x79c5a1ae586322a07bfb60be36e1b31ce8c84a1e,Freight Trus...  (EDI),$0.00,1196,https://freighttrust.com/
5,6,0xedadeb5faa413e6c8623461849dfd0b7c3790c32,Direct  (DRCT),$0.00,2685,https://direct.allynow.com/
6,7,0xa5f8fc0921880cb7342368bd128eb8050442b1a1,Export Motor...  (EMP),$0.00,2225,http://emptrade.io/
7,8,0xc0506ceb264b057182a4c3ab8a0b910a545479f0,Conventment  (CNVT),$0.00,527,https://www.conventment.com/
8,9,0x8c39afdf7b17f12c553208555e51ab86e69c35aa,Block Array  (ARY),$0.00,1970,https://blockarray.com/
9,10,0xe1f4328def6ae4ae2eeac62d58baeaecf05e8d30,Serve  (SERV),$0.00,1895,https://serve.io/
10,11,0x13a0599c493cc502ed8c4dd26f22f5cedc248fc4,New Silk Roa...  (NSRT),$0.00,42,http://newsilkroadbrics.com/
11,12,0xc45dbdf28844fdb1482c502897d433ac08d6ccd0,Fr8 Network  (FR8),$0.00,192,https://fr8.network/
12,13,0x9d561d63375672abd02119b9bc4fb90eb9e307ca,SLOGN  (SLGN),$0.00,26,https://www.slogn.net/
