,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x6982508145454ce325ddbe47a25d4ec3d2311933,Pepe (PEPE),"$389,110,711.00",118749,https://www.pepe.vip/
1,2,0xac57de9c1a09fec648e93eb98875b212db0d460b,Baby Doge Coin,"$225,896,064.00",11446,https://www.babydoge.com/
2,3,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI (FLOKI),"$222,356,202.00",74548,https://floki.com/
3,4,0x12970e6868f88f6557b76120662c1b3e50a646bf,Milady (LADYS),"$50,675,304.00",15956,https://milady.gg/
4,5,0xc5fb36dd2fb59d3b98deff88425a3f425ee469ed,Dejitaru Tsuka,"$36,190,672.00",12841,https://www.dejitarutsuka.io/
5,6,0x27C70Cd1946795B66be9d954418546998b546634,DOGE KILLER (LEASH),"$28,690,491.00",30057,https://www.shibatoken.com/
6,7,0xca75c43f8c9afd356c585ce7aa4490b48a95c466,Inari (Inari),"$25,984,026.00",1759,https://inaritoken.io/
7,8,0xa2b4c0af19cc16a6cfacce81f192b024d625817d,Kishu Inu (KISHU),"$25,811,219.00",260667,https://kishu.com/
8,9,0xba386a4ca26b85fd057ab1ef86e3dc7bdeb5ce70,Jesus Coin (JESUS),"$18,923,405.00",4867,https://www.jesus.toys/
9,10,0xa71d0588eaf47f12b13cf8ec750430d21df04974,Shiba Predator,"$15,514,993.00",11775,http://qompredator.finance/
10,11,0x6bc40d4099f9057b23af309c08d935b890d7adc0,SnailBrook (SNAIL),"$14,560,963.00",2384,https://www.snailbrook.ai/
11,12,0x1151cb3d861920e07a38e03eead12c32178567f6,Bonk (Bonk),"$14,248,443.00",260,https://www.bonkcoin.com/
12,13,0x243cacb4d5ff6814ad668c3e225246efa886ad5a,Shina Inu (SHI),"$14,204,424.00",7125,https://shinatoken.com/
13,14,0x955d5c14C8D4944dA1Ea7836bd44D54a8eC35Ba1,REFUND (RFD),"$13,849,217.00",8981,https://refundcoin.org/
14,15,0xafcdd4f666c84fed1d8bd825aa762e3714f652c9,Vita Inu (VINU),"$11,870,734.00",2121,https://vitainu.org/
15,16,0x5026F006B85729a8b14553FAE6af249aD16c9aaB,Wojak Coin (WOJAK),"$11,446,543.00",11059,https://www.wojak.finance/
16,17,0xf05897CfE3CE9BBBfE0751CBE6B1B2c686848DCb,Catecoin (CATE),"$9,613,625.00",140,https://catecoin.club/
17,18,0x49642110b712c1fd7261bc074105e9e44676c68f,DinoLFG (DINO),"$9,383,050.00",6194,https://dinolfg.com/
18,19,0xeb953eda0dc65e3246f43dc8fa13f35623bdd5ed,Rainicorn (RAINI),"$6,619,851.00",3210,https://rainicoin.io/
19,20,0xfad45e47083e4607302aa43c65fb3106f1cd7607,hoge.finance (HOGE),"$6,181,822.00",67792,https://hogefinance.com/
20,21,0xF3A3023e6Dede84AD88a656A3269F2A36e83c9a9,$SHARBI,"$4,403,536.00",959,https://sharbi.net/
21,22,0xdc63269ea166b70d4780b3a11f5c825c2b761b01,PAWSWAP (PAW),"$4,034,464.00",9280,https://pawecosystem.com/
22,23,0xd8e2d95c8614f28169757cd6445a71c291dec5bf,GrumpyCat,"$3,737,877.00",3033,https://gccoin.fyi/
23,24,0xb794ad95317f75c44090f64955954c3849315ffe,Ribbit (RIBBIT),"$3,161,578.00",6398,http://ribbitcoin.xyz/
24,25,0x7be48633d86aa9821284b01030b8a3f9b06ea876,Chihuahua (HUAHUA),"$3,022,049.00",12,https://chihuahua.wtf/
25,26,0x2de509bf0014ddf697b220be628213034d320ece,Dont Buy Inu (DBI),"$2,708,452.00",3286,https://www.dbinu.com/
26,27,0xfb130d93e49dca13264344966a611dc79a456bc5,DogeGF (DOGEGF),"$2,444,642.00",6978,https://www.dogegf.com/
27,28,0x4521c9ad6a3d4230803ab752ed238be11f8b342f,Sanin Inu (SANI),"$2,431,348.00",7403,https://sanininu.com/
28,29,0x7c3ff33c76c919b3f5fddaf7bdddbb20a826dc61,FROGGIES,"$1,883,752.00",527,https://froggiestoken.com
29,30,0x005d1123878fc55fbd56b54c73963b234a64af3c,Kiba Inu (KIBA),"$1,748,166.00",5303,http://www.kibainu.org/
30,31,0xE28027c99C7746fFb56B0113e5d9708aC86fAE8f,KING (KING),"$1,236,591.00",233,https://www.kingcoinsol.com
31,32,0xa64d5d1eb67748226d84812b45711453f1118c32,CheemsInu (CINU),"$746,017.00",645,https://www.cheemsinu.io/
32,33,0xcd7492db29e2ab436e819b249452ee1bbdf52214,SafeMoon Inu (SMI),"$719,419.00",16565,https://safemooninu.com/
33,34,0x8a001303158670e284950565164933372807cd48,WaifuAI (WFAI),"$712,973.00",1761,https://waifuai.ai/
34,35,0x48c276e8d03813224bb1e55f953adb6d02fd3e02,Kuma Inu (KUMA),"$611,780.00",24328,https://www.kuma-inu.com/
35,36,0x9196e18bc349b1f64bc08784eae259525329a1ad,PUSSY token (PUSSY),"$602,324.00",6041,https://pussy.financial/
36,37,0x58f7345b5295e43aa454911571f13be186655be9,Wrapped GRLC (WGRLC),"$593,492.00",74,https://garlicoin.io/
37,38,0x3267c5b73cc15e253b1a90c01366b17d560bc6fb,President Ron DeSantis,"$474,326.00",1588,https://presidentrondesantis.xyz/
38,39,0xbb1ee07d6c7baeb702949904080eb61f5d5e7732,Dogey-Inu (DINU),"$429,405.00",6213,https://dogeyinu.com/
39,40,0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,SHIKOKU INU (SHIK),"$420,587.00",5639,https://shikoku.io/
40,41,0x5552e5a89a70cb2ef5adbbc45a6be442fe7160ec,Kawakami (KAWA),"$301,812.00",2308,https://kawakami.io/
41,42,0xa52bffad02b1fe3f86a543a4e81962d3b3bb01a7,Duckereum (DUCKER),"$246,234.00",883,https://www.duckereum.com/
42,43,0x78132543d8e20d2417d8a07d9ae199d458a0d581,Luna Inu (LINU),"$211,633.00",3709,https://luna-inu.com/
43,44,0xb076BDa1ABc154DdB4CCd9Be45542A823aEE290E,FlexMeme (FLEX),"$112,509.00",1160,https://flexmeme.ai/
44,45,0xdc349913d53b446485e98b76800b6254f43df695,Bezoge Earth (BEZOGE),"$104,314.00",30332,https://www.bezoge.com/
45,46,0xe49cb97091b5bde1e8b7043e3d5717e64fde825e,KuramaInu (KUNU),"$104,224.00",4953,https://kuramainueth.io/
46,47,0xfe60fba03048effb4acf3f0088ec2f53d779d3bb,3d3d (3d3d),"$76,890.00",447,https://3d3d.vip/
47,48,0x5abaff0b83f81dc061c590aadcba013c69237fd7,Jade Token (JADE),"$62,993.00",443,https://www.jadecurrency.com/
48,49,0x1e8e29ca51363d923725ab9dac73bd7e9c440f71,MEME TAO (MTAO),"$45,672.00",274,https://www.memetao.io/
49,50,0x1ca02dd95f3f1e33da7f5afe15ea866dab07af04,King Arthur (BKING),"$44,642.00",1087,https://www.kingarthurdefi.com/
50,51,0x5dbb9f64cd96e2dbbca58d14863d615b67b42f2e,ok.lets.go. (OKLG),"$30,144.00",1278,https://oklg.io/
51,52,0x0c17398EbBCB15078F2aD2C67A26d10623957b21,SONTOKEN (SON),$0.00,1688,https://whoisgrandson.com/
52,53,0x51d3e4c0b2c83e62f5d517d250b3e856897d2052,SpaceMonkey (SPMK),$0.00,1227,https://spacemonkey.fun/
53,54,0x604281b101e289e06e22f0a878192c6de76e0b00,Corgi Token (CORGI),$0.00,34,https://corgitoken.com/
54,55,0x20de4476fF4F181d6Ae07D016cC9bc84cF46af2c,RIDDLER,$0.00,404,https://riddlerinu.com/
55,56,0x471518EFAF6103599C51c05F56503a9c3F170273,lilFloki,$0.00,87,https://lilfloki.com/
56,57,0xffd822149fa6749176c7a1424e71a417f26189c8,nothing (thing),$0.00,1106,https://nothing.gg/
57,58,0x6c059413686565d5ad6cce6eed7742c42dbc44ca,LAELAPS,$0.00,368,http://www.laelaps.wtf/
58,59,0x7631a91268a0eeD16b93aAe8E16C8bd90A902dDa,Dogetti ($DETI),$0.00,1,https://dogetti.io/
59,60,0xE0151763455A8a021e64880C238ba1cff3787fF0,Aped (APED),$0.00,2122,https://www.apederc.com/
60,61,0x05c22093f8c64cc68d4d2fa2882395ee63ae8bbe,MEMEIRA,$0.00,128,https://memeira.xyz/
61,62,0x248f2fd8a34303d8f1b7ba65a1848ef90ae4f72f,BeeCoin (BCO),$0.00,2,https://beecoin.in/
62,63,0x24f4fe50f396ce359c493b4a80735622cedcccdc,spraytoken.net,$0.00,147,https://www.spraytoken.net/
63,64,0x16756ec1deb89a2106c35e0b586a799d0a61837d,Chedda Token (CHEDDA),$0.00,7821,https://cheddatoken.com/
