,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xc7c04f066f4eb89a40f9d259d0e1d2cd2536131a,Victoria VR  (VR),"$42,142,784.00",9951,https://victoriavr.com/
1,2,0x60177e2985b04911dffe1387265ec33a0c11895f,Radio Caca V...  (RACA),"$39,176,033.00",5557,https://www.raca3.com/
2,3,0x3178176441ddf503d91a6513b0547c4253d27252,Gamium [via ...  (GMM),"$20,025,944.00",838,https://gamium.world/
3,4,0x198C654590F6f864a0054E2A213224fc9CC775De,OVR  (OVR),"$18,978,143.00",17715,https://www.ovr.ai/
4,5,0x913ae503153d9a335398d0785ba60a2d63ddb4e2,Somnium Spac...  (CUBE),"$15,828,802.00",4582,https://www.somniumspace.com
5,6,0x08d7338aa61b542a63c9149fea7dd628c9e96947,Decentral Ga...  (DG),"$14,068,596.00",3445,https://decentral.games
6,7,0x34748fedad669c788aabe4fb325a4587941f7b48,Decentral Ga...  (xDG),"$9,110,016.00",3074,https://decentral.games
7,8,0x39Ea10E507720783C27eDd5F96Bf2D6e199579B8,BCP Coin  (BCP),"$5,004,547.00",8710,https://bcprotocol.io/
8,9,0x5b649c07e7ba0a1c529deaabed0b47699919b4a2,Torum  (XTM),"$3,964,237.00",2026,https://intro.torum.com/
9,10,0xbba6c7c7d673c48d90069ad2e9d2fe587fcb6bc3,Neos Credits  (NCR),"$1,871,093.00",4916,https://neos.com/
10,11,0x6E6e269b18434d1D988d94b25cDa1cEe60DE4DcE,Skeb Coin  (SKEB),"$1,111,151.00",1476,https://skebcoin.com/
11,12,0x9BDfdad02753190C367B425339C65566B4a0BD5B,BlockchainSp...  (GUILD),"$882,390.00",3650,https://www.blockchainspace.asia/
12,13,0xcf9b27399447f92462dad69491edba304a063591,MetaFabric  (FABRIC),"$670,311.00",2384,https://metafabric.io
13,14,0xeff3f1b9400D6D0f1E8805BddE592F61535F5EcD,PolysportsTo...  (PS1),"$589,194.00",4,https://www.polysports.org/
14,15,0xdc349913d53b446485e98b76800b6254f43df695,Trace Networ...  (TRACE),"$535,357.00",344,https://trace.network/
15,16,0xe5ef42d0e5e4aa6b36c613d00db8dad303d505f3,MetaBrands  (MAGE),"$468,988.00",1207,http://metabrands.io/
16,17,0xdf801468a808a32656d2ed2d2d80b72a129739f4,Goons of Bal...  (GOB),"$448,429.00",1547,https://goonsofbalatroon.com/
