,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0x2F141C...Ca49e4Fd,Free Coin  (FREE),"$1,282,415.00",47254,http://www.freecoin.technology/,0x2f141ce366a2462f02cea3d12cf93e4dca49e4fd
1,2,0x7e9e43...a48D4fBa,eosDAC Commu...  (eosDAC),"$245,290.00",97092,https://www.eosdac.io/,0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba
2,3,0xba2184...085615B6,HelloGold  (HGT),"$57,759.00",10327,https://www.hellogold.org/,0xba2184520a1cc49a6159c57e61e1844e085615b6
3,4,0xdC0c22...cD328da7,KARMATOKEN  (KTN),$0.00,81,https://www.karmatoken.net/,0xdc0c22285b61405aae01cba2530b6dd5cd328da7
4,5,0x8fC01E...b22e47b2,ObitanChain  (OBTC),$0.00,1350,https://www.obitanchain.org/,0x8fc01e6cbdffaf09b54f423f9bb1f856b22e47b2
5,6,0x7848ae...08BDfAbD,Wednesday Co...  (WED),$0.00,8725,https://wednesdaycoin.io/,0x7848ae8f19671dc05966dafbefbbbb0308bdfabd
6,7,0x96c480...Ee7C8EeD,RealBoostCoi...  (RBC),$0.00,163,https://realboost.jp/,0x96c480758f58454d50cf15d13a29de76ee7c8eed
7,8,0x77761e...51AF9bCd,PASS Token  (PASS),$0.00,273,http://www.wisepass.co/,0x77761e63c05aee6648fdaeaa9b94248351af9bcd
8,9,0x5D64D8...EFf3CF38,MINDOL  (MIN),$0.00,20122,http://mindol.net/,0x5d64d850c8368008afb39224e92ad0dceff3cf38
9,10,0x47F383...fed27C61,EthHodler  (EHDL),$0.00,5,https://www.ethhodler.org/,0x47f383f5acbacc18a3d9ff6f7af8b49bfed27c61
10,11,0x9EeAb5...0e3C35CB,Miguel Piedr...  (MIGUEL),$0.00,198,https://miguelpiedrafita.com/,0x9eeab5dacad364017c400bfbf717543a0e3c35cb
11,12,0x567287...aDEc6760,Latino Token  (LATINO),$0.00,633,https://latinotoken.com/,0x567287d4f42086beab4b36de9af21c70adec6760
12,13,0xaE616e...bF56af79,Good Karma  (∞),$0.00,285,http://goodomy.com/,0xaE616e72D3d89e847f74E8ace41Ca68bbF56af79
13,14,0x4E260e...A7c1Ec99,YoshiCoin  (YC),$0.00,70,https://yoshicoineth.wixsite.com/yoshicoin,0x4e260e3ca268e40133c84b142de73108a7c1ec99
14,15,0x5AB793...c5365119,YUKI  (YUKI),$0.00,2411,https://www.yukicoin.jp/,0x5ab793e36070f0fac928ea15826b0c1bc5365119
15,16,0x801e6a...a28E26Bf,CBDoken  (CBDF),$0.00,1,http://www.cbdoken.com/,0x801e6ae435fed2032f35fb08d870a43ca28e26bf
16,17,0xe11609...D90e66F1,CMITCOIN  (CMIT),$0.00,9872,https://cmitcoin.com/,0xe11609b9a51caf7d32a55896386ac52ed90e66f1
17,18,0xDb3B80...4E029F1c,YOLOToken  (YOLO),$0.00,1,https://yolotoken.com/,0xdb3b807715dbc6e58c14d24bf18d60874e029f1c
18,19,0x8b9C35...822ED64E,DogeToken  (DGT),$0.00,27,http://dogetoken.com/,0x8b9c35c79af5319c70dd9a3e3850f368822ed64e
19,20,0xa3Efef...84C2c08B,Online.io  (OIO),$0.00,15011,https://online.io/,0xa3efef1a1e3d1ad72b9d0f4253e7c9c084c2c08b
20,21,0x73dD06...8C1D8734,Bitcoineum  (BTE),$0.00,709,http://www.bitcoineum.com/,0x73dd069c299a5d691e9836243bcaec9c8c1d8734
21,22,0xB20BB2...45F7a0DB,TrekMiles  (TMC),$0.00,6,http://www.trekmiles.com,0xB20BB2780A6Ae9e399e805CE4F60321245F7a0DB
22,23,0xdb455c...32054001,Jury.Online  (JOT),$0.00,82636,https://jury.online/,0xdb455c71c1bc2de4e80ca451184041ef32054001
23,24,0x0BE5E8...b45E443D,POMDA  (POMDA),$0.00,67,https://pomda.io/,0x0be5e8f107279cc2d9c3a537ed4ea669b45e443d
24,25,0x223651...E3ad72E2,GU Tournamen...  (PASS),$0.00,1285,https://godsunchained.com/,0x22365168c8705e95b2d08876c23a8c13e3ad72e2
25,26,0xf17E9E...d77777EE,ONE ARMY COI...  (OAC),$0.00,6,https://www.onearmy.earth/,0xf17e9e4e32d842e4ddfbed5750a26f7bd77777ee
26,27,0xaEc98A...Ed4a4557,300 Token  (300),$0.00,69,http://300tokensparta.com/,0xaec98a708810414878c3bcdf46aad31ded4a4557
27,28,0xE2E6D4...74281639,Link Platfor...  (LNK),$0.00,308,https://ethereum.link/,0xe2e6d4be086c6938b53b22144855eef674281639
