,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xe3c408BD53c31C085a1746AF401A4042954ff740,GreenMetaverseToken,"$190,472,415.00",10694,https://www.stepn.com/
1,2,0x949d48eca67b17269629c7194f4b727d4ef9e5d6,Merit Circle (MC),"$66,115,757.00",11020,https://www.meritcircle.io/
2,3,0x9d71ce49ab8a0e6d2a1e7bfb89374c9392fd6804,NvirWorld (Nvir),"$30,952,879.00",18463,https://nvirworld.com/
3,4,0xccc8cb5229b0ac8069c51fd58367fd1e622afd97,Gods Unchained,"$27,307,473.00",15996,https://godsunchained.com/
4,5,0x9ab7bb7fdc60f4357ecfef43986818a2a3569c62,Guild of Guardians,"$18,718,038.00",6729,https://www.guildofguardians.com/
5,6,0x4b520c812e8430659fc9f12f6d0c39026c83588d,Decentral Games,"$12,541,304.00",3435,https://decentral.games
6,7,0x1ed81e03d7ddb67a21755d02ed2f24da71c27c55,Meta Apes Peel,"$8,712,782.00",1013,https://metaapesgame.com/
7,8,0x4f81c790581b240a5c948afd173620ecc8c71c8d,Decentral Games Governance,"$8,403,142.00",3071,https://decentral.games
8,9,0x375abb85c329753b1ba849a601438ae77eec9893,Paragons DAO Token,"$7,875,425.00",1343,https://paragonsdao.com/
9,10,0x1e0b2992079b620aa13a7c2e7c88d2e1e18e46e9,KOMPETE Token,"$5,668,329.00",4390,https://kompete.game/
10,11,0x5ba19d656b65f1684cfea4af428c23b9f3628f97,AAG (AAG),"$1,832,390.00",1394,https://aag.ventures/
11,12,0xA67E9F021B9d208F7e3365B2A155E3C55B27de71,KleeKai (KLEE),"$1,506,709.00",5137,https://klee.games/
12,13,0x88a9a52f944315d5b4e917b9689e65445c401e83,Fear NFTs (FEAR),"$1,030,707.00",1357,https://www.fear.io/
13,14,0x2BA8349123de45E931a8C8264c332E6e9CF593F9,Blockchain Monster Coin,"$875,797.00",2155,https://bcmhunt.com/
14,15,0x5eeaa2dcb23056f4e8654a349e57ebe5e76b5e6e,Virtue Player Points,"$682,035.00",12191,https://virtue.poker/
15,16,0x0335a7610d817aeca1bebbefbd392ecc2ed587b8,Nitro (NITRO),"$493,266.00",360,https://nitroleague.com/
16,17,0xd6929179d752d5d25c5efe2d9729eb77d7138a80,Goons of Balatroon,"$407,176.00",1547,https://goonsofbalatroon.com/
17,18,0x00281dFCe4cfD72c0b6FDA2AAaF077258743f9E8,NuriFootball (NRFB),"$257,719.00",10752,https://www.nurifootball.io/
18,19,0xdc349913d53b446485e98b76800b6254f43df695,Bezoge Earth (BEZOGE),"$104,295.00",30332,https://www.bezoge.com/
19,20,0x97308e05adaf022a33fa6f6f2ce2ec20872d8f69,Gramps (GRAMPS),$0.00,2323,https://grandpaape.com/
