,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0x69af81...CE623074,Mask Network  (MASK),"$287,473,697.00",11954,https://mask.io/,0x69af81e73a73b40adf4f3d4223cd9b1ece623074
1,2,0x6c5bA9...C9d52f4E,Phala  (PHA),"$61,140,632.00",18492,https://phala.network/,0x6c5bA91642F10282b576d91922Ae6448C9d52f4E
2,3,0xA2120b...2F141225,Automata  (ATA),"$35,002,803.00",968,https://www.ata.network/,0xa2120b9e674d3fc3875f415a7df52e382f141225
3,4,0x5a3e6A...c0811AD5,0x0.ai: AI S...  (0x0),"$30,598,472.00",6098,https://0x0.ai/,0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5
4,5,0x4575f4...4Da13Deb,Orchid  (OXT),"$28,635,375.00",42926,https://orchid.com/,0x4575f41308EC1483f3d399aa9a2826d74Da13Deb
5,6,0xFD957F...8Ffb3794,Ethereum Met...  (ETHM),"$25,127,390.00",10412,https://ethermeta.com/,0xfd957f21bd95e723645c07c48a2d8acb8ffb3794
6,7,0x0F7B3F...B2D479ce,AirTor Proto...  (ATOR),"$19,258,450.00",3588,https://ator.io/,0x0f7b3f5a8fed821c5eb60049538a548db2d479ce
7,8,0xF5581d...f8c781dA,HOPR Token  (HOPR),"$17,847,789.00",6114,https://hoprnet.org/,0xf5581dfefd8fb0e4aec526be659cfab1f8c781da
8,9,0xF4d861...f0b50EB3,Fractal Prot...  (FCL),"$4,201,134.00",10493,https://protocol.fractal.id/,0xf4d861575ecc9493420a3f5a14f85b13f0b50eb3
9,10,0x758B46...1eA303Ec,Phonon DAO  (PHONON),"$2,160,294.00",886,https://phonon.network/,0x758b4684be769e92eefea93f60dda0181ea303ec
10,11,0x4c3274...2e4f662C,GHOST  (GHOST),"$1,817,255.00",3179,https://www.ghostbymcafee.com/,0x4c327471C44B2dacD6E90525f9D629bd2e4f662C
11,12,0xAA2ce7...0c315DB4,Suterusu  (Suter),"$1,336,377.00",5840,https://www.suterusu.io/,0xAA2ce7Ae64066175E0B90497CE7d9c190c315DB4
12,13,0x5Eaa69...4Ab38EaC,Raze Network  (RAZE),"$435,494.00",4333,https://raze.network/,0x5eaa69b29f99c84fe5de8200340b4e9b4ab38eac
