,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xae78736cd615f374d3085123a210448e74fc6393,Rocket Pool ETH,"$831,998,643.00",14330,https://www.rocketpool.net/
1,2,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,LoopringCoin V2,"$270,394,282.00",167033,https://loopring.org/
2,3,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,BandToken (BAND),"$136,384,300.00",34108,https://bandprotocol.com/
3,4,0x57b946008913b82e4df85f501cbaed910e58d26c,Marlin POND (POND),"$58,428,003.00",9436,https://www.marlin.pro/
4,5,0x0c7D5ae016f806603CB1782bEa29AC69471CAb9c,Bifrost (BFC),"$57,377,842.00",3560,https://thebifrost.io/
5,6,0x8D6CeBD76f18E1558D4DB88138e2DeFB3909fAD6,Mai Stablecoin,"$41,519,757.00",174,http://mai.finance/
6,7,0xe6fd75ff38Adca4B97FBCD938c86b98772431867,ELA on Ethereum,"$28,313,817.00",810,https://www.elastos.org/
7,8,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,Onyxcoin (XCN),"$24,025,619.00",11235,https://onyx.org/
8,9,0xe884cc2795b9c45beeac0607da9539fd571ccf85,Ultiledger (ULT),"$16,894,394.00",10227,https://www.ultiledger.io/
9,10,0x06450dEe7FD2Fb8E39061434BAbCFC05599a6Fb8,XEN Crypto (XEN),"$16,438,677.00",88717,https://xen.network
10,11,0x3496b523e5c00a4b4150d6721320cddb234c3079,NUM Token (NUM),"$14,507,033.00",970,https://www.numbersprotocol.io/
11,12,0xe5dada80aa6477e85d09747f2842f7993d0df71c,Dock (DOCK),"$12,456,803.00",28168,https://dock.io/
12,13,0x9e3319636e2126e3c0bc9e3134aec5e1508a46c7,UTN-P: Universa Token,"$11,749,146.00",12242,https://universablockchain.com/
13,14,0xb4a3b0faf0ab53df58001804dda5bfc6a3d59008,Sperax (SPA),"$9,640,940.00",10267,https://sperax.io/
14,15,0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe,DSLA (DSLA),"$7,482,005.00",9430,https://stacktical.com/
15,16,0xc28e931814725bbeb9e670676fabbcb694fe7df2,QuadrantProtocol,"$6,622,503.00",3829,https://www.quadrantprotocol.com/
16,17,0x31429d1856ad1377a8a0079410b297e1a9e214c2,ANGLE (ANGLE),"$6,336,746.00",3029,https://app.angle.money/#/
17,18,0xba3335588d9403515223f109edc4eb7269a9ab5d,Gearbox (GEAR),"$5,034,026.00",5223,https://gearbox.fi/
18,19,0xd528cf2e081f72908e086f8800977df826b5a483,Paribus (PBX),"$4,489,900.00",3766,https://paribus.io/
19,20,0x295b42684f90c77da7ea46336001010f2791ec8c,Xi Token (XI),"$4,400,530.00",3642,https://www.xiprotocol.io/
20,21,0x954b890704693af242613edef1b603825afcd708,Cardstack (CARD),"$4,328,002.00",6449,https://cardstack.com/overview
21,22,0x4946fcea7c692606e8908002e55a582af44ac121,FOAM Token (FOAM),"$3,809,439.00",3479,https://foam.space/
22,23,0x6100dd79fcaa88420750dcee3f735d168abcb771,NONbeta (NON),"$2,173,161.00",1651,https://nonnation.xyz
23,24,0x0cec1a9154ff802e7934fc916ed7ca50bde6844e,PoolTogether (POOL),"$1,990,001.00",8598,https://pooltogether.com/
24,25,0x0ec9f76202a7061eb9b3a7d6b59d36215a7e37da,BlackPool Token,"$1,877,561.00",3568,https://blackpool.finance/
25,26,0x56a86d648c435dc707c8405b78e2ae8eb4e60ba4,StackOS (STACK),"$1,707,128.00",1725,https://www.stackos.io/
26,27,0x0b498ff89709d3838a063f1dfa463091f9801c2b,BTC 2x Flexible Leverage Index,"$1,573,446.00",780,https://www.tokensets.com/portfolio/btcfli
27,28,0x9b99cca871be05119b2012fd4474731dd653febe,Antimatter.Finance Governance Token,"$1,231,234.00",5351,https://antimatter.finance/
28,29,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,Enigma (ENG),"$902,446.00",10930,https://enigma.co/
29,30,0x57b59f981730c6257dF57cF6F0D98283749A9Eeb,Build Token (BUILD),"$647,454.00",42,radioshack.org
30,31,0xf5cb350b40726b5bcf170d12e162b6193b291b41,Wrapped BIS (wBIS),"$585,564.00",58,https://bismuth.finance/
31,32,0x94236591125e935f5ac128bb3d5062944c24958c,VegaWallet (VGW),"$552,984.00",395,https://vegawallet.com/
32,33,0x69fa0fee221ad11012bab0fdb45d444d3d2ce71c,XRUNE Token (XRUNE),"$506,554.00",8667,https://www.thorstarter.org/
33,34,0x30f271C9E86D2B7d00a6376Cd96A1cFBD5F0b9b3,Decentr (DEC),"$499,512.00",7300,https://decentr.net/
34,35,0x7815bda662050d84718b988735218cffd32f75ea,YEL Token (YEL),"$466,561.00",1453,https://yel.finance/
35,36,0x196f4727526eA7FB1e17b2071B3d8eAA38486988,Reserve (RSV),"$428,733.00",462,https://reserve.org/
36,37,0x10010078a54396F62c96dF8532dc2B4847d47ED3,Hundred Finance,"$419,423.00",759,https://hundred.finance
37,38,0x9af839687f6c94542ac5ece2e317daae355493a1,Hydro Protocol,"$290,467.00",26364,https://hydroprotocol.io/
38,39,0xCcDb064a41AFcD432BCEa6F6d0D1E7c371d0B002,Qrolli (QR),"$265,002.00",616,https://qrolli.com/
39,40,0x2D80f5F5328FdcB6ECeb7Cacf5DD8AEDaEC94e20,AGA Token (AGA),"$201,456.00",818,https://agatoken.com/
40,41,0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db,AppCoins (APPC),"$188,964.00",11115,https://appcoins.io/
41,42,0xbd100d061e120b2c67a24453cf6368e63f1be056,iDeFiYieldProtocol,"$158,994.00",186,https://dypius.com/
42,43,0x2602278ee1882889b946eb11dc0e810075650983,Vader (VADER),"$138,206.00",5905,https://www.vaderprotocol.org/
43,44,0xee1edd77f16b7867e026a4d32ef45dac852da61f,LunaFi (LFI),"$117,401.00",3,https://lunafi.io/
44,45,0x5f018e73C185aB23647c82bD039e762813877f0e,Shack Token (SHACK),"$109,321.00",21,https://radioshack.org/
45,46,0x469eDA64aEd3A3Ad6f868c44564291aA415cB1d9,FLUX (FLUX),"$102,206.00",818,https://datamine.network/
46,47,0x83984d6142934bb535793a82adb0a46ef0f66b6d,REMME (REM),"$70,959.00",5118,https://www.remme.io/
