,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x44a118d3bf6ce19699c2a4013c668357d9c71ab1,ENEGRA  (EGX),$0.00,16,https://www.enegragroup.com/
1,2,0xe818704540b7ee03027e364096947fe703e6fa35,Sonata Asia ...  (SAGF),$0.00,5,https://www.sonata.capital/
2,3,0x1f41e42d0a9e3c0dd3ba15b527342783b43200a9,Bookya  (BKYA),$0.00,1,https://www.bookya.com/
3,4,0x929c232066398d1103993fc7bb70d1bd6b8e4709,ArCoin  (RCOIN),$0.00,15,https://arcoin.arcalabs.com/
4,5,0x1bf2b7d4f859cd82b86226b1eae88ef47cfc5678,99East  (99EAST),$0.00,1,https://www.99east.com/
5,6,0xca7a287c4e65e61c5a599e4e6947dbcb5cce33c1,Canamex Silv...  (CXSLV),$0.00,1,https://www.canamexgold.com/
6,7,0xe156bac00c399296b5eb2f52fe439227e24cbfce,PROTOS  (PRTS),$0.00,120,http://protosmanagement.com/
7,8,0x20c187414fa2e2212aad227223fe323499ed70ff,Hydrocarbon8  (HC8),$0.00,24,http://hc8.io/
8,9,0x27785351924abff1895cbfd6622b93692e5d7537,22x Fund  (22X),$0.00,64,https://22xfund.com/
9,10,0x0073e5e52e2b4fe218d75d994ee2b3c82f9c87ea,FAT Brands 2...  (FAT202...),$0.00,1,https://www.fatbrands.com/
10,11,0x252739487c1fa66eaeae7ced41d6358ab2a6bca9,Pivent  (PI),$0.00,2,https://www.pivent.com/
11,12,0x6dbb5378961c6bb18f0e9bf503ec00ee5ca6c4f2,bloxRoute To...  (BLXR),$0.00,-,https://bloxroute.com/
12,13,0xf9f3458db4e753bb511834275ecf60817234e77e,Blockchain L...  (BLABS),$0.00,6,https://www.blabs.asia/
13,14,0x5bd5b4e1a2c9b12812795e7217201b78c8c10b78,SD26  (SD26),$0.00,8,https://dreamfanshares.com/
14,15,0x0Bd148b3c06416e83Ddf6662381eE32C4A0bD714,RobotInfra  (ROBOT),$0.00,1,https://www.robotinfra.com/
15,16,0x5e17f6f450dcb0bc69b232ea554e224d7e88067a,Myntcoin  (Mynt),$0.00,1,https://www.myntcoin.io/
16,17,0x81083074be2a2002ba596280f21ce08c41f31853,Canamex Gold  (CXGLD),$0.00,1,https://www.canamexgold.com/
17,18,0xed9dec5497fa2feb653acd4a3862740ae705c382,Current CRNC  (CRNC),$0.00,499,https://crnctoken.org/
18,19,0xcb32569cac906e4ee13ca413e058a7178fa1fc27,SPiCE VC Tok...  (SPICE),$0.00,285,https://www.spicevc.com/
19,20,0xDc6276D9E354f0024Bc3b39E9790695e91aE0Ec3,SCIENCE BLOC...  (SCI2),$0.00,412,https://www.science-inc.com/blockchain.html
20,21,0xd421eaad1f82beccd3d3ef64128241d30edcbb0e,MetalStream  (MTLSTR),$0.00,13,https://www.metalstream.io/
21,22,0x0AB2851Cf7bDd6309C8507ea5CC52E2ec3ECE8DC,MinedBlock T...  (MBTX),$0.00,136,https://www.minedblock.io/
22,23,0x682ef9cc637ef56577092b29ae9275a629aae7db,Tokensoft Eq...  (TSFT),$0.00,10,https://www.tokensoft.io/
23,24,0x4472ac418051bfbd5f6605477dd6b9f11ddbc121,CryptoNode  (CNODE),$0.00,21,https://www.cryptonode.me/
24,25,0x2455941847d9b655d2c71d9c9c8cd377cff80983,Fusang Corp  (FSC),$0.00,627,https://www.fusang.co/subscribe/fsc
25,26,0xb162dcc0cf90d1893d59eeb0337ffc9ef2e8c25e,BRIX Interna...  (BRIXCO...),$0.00,1,https://www.brix.international/
26,27,0x0324dd195d0cd53f9f07bee6a48ee7a20bad738f,Curzio Equit...  (CEO),$0.00,29,http://www.curzioequityowners.com/
27,28,0xf1dd65acebf57d31eabc61ec9f2d2829e7d986d0,BCAP  (BCAP),$0.00,543,http://blockchain.capital/
28,29,0x370147b4e82b545523fB5f8100b308a91e14ff36,FAT Brands 2...  (FAT202...),$0.00,1,https://www.fatbrands.com/
29,30,0xcc6360f2185c39b315474e74359f6c2a1d5ddddd,TZERO PREFER...  (TZROP),$0.00,241,https://www.tzero.com/
30,31,0x285e6b192928a1ba5ab2ced5cc34ad1cf774238a,Sonata Capit...  (SONATA),$0.00,5,https://www.sonata.capital/
