,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x8ddc86dba7ad728012efc460b8a168aba60b403b,ETHDaiRebala...  (ETHDai),$0.00,62,https://www.tokensets.com/set/ethhivol
1,2,0xc06aec5191be16b94ffc97b6fc01393527367365,BullBearEthe...  (BBE),$0.00,28,https://legacy.tokensets.com/set/bbe-1
2,3,0xf1e5f03086e1c0ce55e54cd8146bc9c28435346f,ETH 12 EMA C...  (ETH12E...),$0.00,202,https://www.tokensets.com/set/eth12emaco
3,4,0xb9ffe0b8ee2d1af94202ffed366520300748a4d8,Intelligent ...  (INTETH),$0.00,16,https://legacy.tokensets.com/set/inteth-1
4,5,0x9f49ed43c90a540d1cf12f6170ace8d0b88a14e6,Inverse ETH ...  (iETH50...),$0.00,15,https://www.tokensets.com/set/ieth50smaco
5,6,0x6123a0cbc95cb157995a0795187a60995b85e0a9,LINK/ETH Gro...  (LEGA),$0.00,89,https://legacy.tokensets.com/set/lega
6,7,0x585c2cf94c41b528ec7329cbc3cde3c4f8d268db,ETH 20 MA Cr...  (ETHMAC...),$0.00,37,https://www.tokensets.com/set/ethmacoapy-1
7,8,0xbf70a33a13fbe8d0106df321da0cf654d2e9ab50,LINK/ETH RSI...  (LINKET...),$0.00,105,https://www.tokensets.com/set/linkethrsi
8,9,0x20649d97b1393105cf92a5083fd2aff7c99ebe56,BTC ETH Equa...  (BTCETH...),$0.00,98,https://legacy.tokensets.com/set/btceth5050
9,10,0x7e4d1cd8927ce41bcbfa4f32cada1a6998cb5a51,BitEth2575Re...  (BTCETH...),$0.00,87,https://legacy.tokensets.com/set/ethbtc7525
10,11,0xac1565e473f69fada09661a6b4103fbbf801ceee,ETH 26 EMA C...  (ETHEMA...),$0.00,13,https://www.tokensets.com/set/ethemaapy-1
11,12,0x8abf3a95862619a55fa00cb3e4eedbe113ff468c,STETHDaiReba...  (STETHD...),$0.00,68,https://www.tokensets.com/set/ethlovol
12,13,0x856c4388c56c2a613c60507a4701af627157fed6,ETH WBTC Yie...  (WBTCAP...),$0.00,70,https://www.tokensets.com/portfolio/wbtcapy
13,14,0xa360f2af3f957906468c0fd7526391aed08ae3db,BTCDaiRebala...  (BTCDai),$0.00,63,https://www.tokensets.com/set/btchivol
14,15,0xf059afa5239ed6463a00fc06a447c14fe26406e1,BullBearBitc...  (BBB),$0.00,21,https://legacy.tokensets.com/set/bbb-2
15,16,0x5cd487ce4db7091292f2e914f7b31445bd4a5e1b,ETH 26 EMA C...  (ETH26E...),$0.00,175,https://www.tokensets.com/set/eth26emaco
16,17,0xa6c040045d962e4b8efa00954c7d23ccd0a2b8ad,Money Printe...  (BRRR),$0.00,41,https://legacy.tokensets.com/set/brrr
17,18,0x19f4a2f8e21915376f1429c26a3a9b9b1db5ff5a,ETH/BTC Rati...  (ETHBTC...),$0.00,73,https://www.tokensets.com/set/ethbtc26emaco
18,19,0xb647a1d7633c6c4d434e22ee9756b36f2b219525,LINK RSI Cro...  (LINKRS...),$0.00,92,https://www.tokensets.com/set/linkrsico
19,20,0x89c0b027bd7cc2d17854b06f8322e29451192ce3,ETH 20 SMA C...  (ETH20S...),$0.00,737,https://www.tokensets.com/set/eth20smaco
20,21,0xa35fc5019c4dc509394bd4d74591a0bf8852c195,ETH Min Vola...  (ETHMIN...),$0.00,101,https://www.tokensets.com/set/ethminvol
21,22,0x0329d23fc7b1b1e6cca57afa3f0090f1189069e8,ETH AI Limit...  (ELL),$0.00,4,https://www.tokensets.com/set/ell-1
22,23,0x8933ea1ce67b946bdf2436ce860ffbb53ce814d2,STBTCDaiReba...  (STBTCD...),$0.00,51,https://www.tokensets.com/set/btclovol
23,24,0x15822a64c8cb27d7828c45e0aafc3e6c5decd172,Chad Link Se...  (CHADLI...),$0.00,34,https://www.tokensets.com/set/chadlink
24,25,0xf43b2f981efc5a611a97951ce4fd7d3bd87f4902,ETH 50 SMA C...  (ETH50S...),$0.00,92,https://legacy.tokensets.com/set/eth50smaco
25,26,0x614857c755739354d68ae0abd53849cf45d6a41d,Fear & G...  (GREED2),$0.00,30,https://legacy.tokensets.com/set/greed2
26,27,0x54e8371c1ec43e58fb53d4ef4ed463c17ba8a6be,Inverse ETH ...  (iETH20...),$0.00,34,https://www.tokensets.com/set/ieth20smaco
27,28,0x2c5a9980b41861d91d30d0e0271d1c093452dca5,ETH Trending...  (ETAS),$0.00,43,https://legacy.tokensets.com/set/etas-1
28,29,0x81c55017f7ce6e72451ced49ff7bab1e3df64d0c,ETH/BTC RSI ...  (ETHBTC...),$0.00,197,https://www.tokensets.com/set/ethbtcrsi7030
29,30,0x23687d9d40f9ecc86e7666dddb820e700f954526,BitEth7525Re...  (BTCETH...),$0.00,110,https://legacy.tokensets.com/set/btceth7525
30,31,0x9ea463ec4ce9e9e5bc9cfd0187c4ac3a70dd951d,ETH RSI 60/4...  (ETHRSI...),$0.00,247,https://legacy.tokensets.com/set/ethrsiapy-1
31,32,0xc166f976ce9926a3205b145af104eb0e4b38b5c0,BTC Min Vola...  (BTCMIN...),$0.00,89,https://www.tokensets.com/set/btcminvol
32,33,0x58723c7afcd33a2db6ae06c37521725d65f0cc15,ETH USD Yiel...  (USDAPY),$0.00,152,https://www.tokensets.com/portfolio/usdapy
