,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x2fb12bccf6f5dd338b76be784a93ade072425690,chiliZ  (CHZ),"$394,139,090.00",113574,https://www.chiliz.com/
1,2,0x32ea3dc70e2962334864a9665254d2433e4ddbfd,Lympo tokens  (LYM),"$1,467,368.00",75542,https://lympo.io/
2,3,0x87ea1f06d7293161b9ff080662c1b0df775122d3,GBT  (GBT),"$346,362.00",8316,https://globatalent.com/
3,4,0x6cf9464b2c628db187f2bc1ddc0c43fda72efdd5,MMAON  (MMAON),"$128,449.00",149,https://www.mmaon.com/
4,5,0x8315472bae77f9a2b856a67eb0796480aafcd51c,Blocksport T...  (BSPT),"$80,897.00",4063,https://blocksport.io/
5,6,0xc690f7c7fcffa6a82b79fab7508c466fefdfc8c5,TradeStars T...  (TSX),"$50,720.00",646,https://tradestars.app/
6,7,0x72f3af8AB6700aef7DF86bC2fbC31E0c712Bf968,Fantasy Spor...  (DFS),$0.00,295,http://www.digitalfantasysports.com/
7,8,0x0eBd6485d800Fe1cEbD6001B9cbfdA17EEcaDb8A,Taekwondo Ac...  (TAC),$0.00,89,https://www.tkd-coop.com/
8,9,0x0AAbCC65Ef352AD84b1326dF188c95b6Ab856c1C,LaLiga Token  (LIGA),$0.00,85,https://laliga.io/
9,10,0xC5ad64B44C36654aa410e799f276448dEE03579B,LED token  (LED),$0.00,16,https://ledtoken.net/
10,11,0x705ad6e3115607759a076cf1f67b30fc07460863,Myteamcoin  (MYC),$0.00,20,https://www.myteamcoin.com/
11,12,0xa9f2c8ef5eeb27dc7819cd1712f02e816db02056,The Associat...  (ASSOC),$0.00,-,http://theassociationnft.com/
12,13,0x2c644c3bbea053ed95a6bc04a94c9ce928ff9881,CR7 Token  (CR7),$0.00,7,https://www.cr7.cash/
13,14,0x3506424f91fd33084466f402d5d97f05f8e3b4af,Actina Coin  (ACTI),$0.00,14,https://actina.io/
14,15,0xa350da05405cc204e551c4eed19c3039646528d5,KiXX  (KiXX),$0.00,1,http://www.boxxunited.com/
15,16,0x03fdcadc09559262f40f5ea61c720278264eb1da,Sportzchain  (SPN),$0.00,2,https://sportzchain.com/
16,17,0x24ec2ca132abf8f6f8a6e24a1b97943e31f256a7,Super Athlet...  (SAT),$0.00,330,https://sac-nft.com/
17,18,0x5f4c148D17Effd165C2e2d46b46d2BD6e3eBDC3e,IQONIQ  (IQQ),$0.00,6026,https://iqoniq.io/
18,19,0x8c9b261faef3b3c2e64ab5e58e04615f8c788099,Fantasy Spor...  (FNTC),$0.00,558,https://www.fntcsports.com/
19,20,0x9b8b9c7C02be0bD0AA4D669bF6a1f6003424c6Dc,BEAT  (BEAT),$0.00,6174,https://beat.org/
20,21,0xa9f3065fea7d1ddc95df3dec97e5651c1745ac0d,Lance Coin  (LCE),$0.00,6,https://lcecoin.com/
21,22,0x7331355e2dad3b55f9ce0fd460d082558952099e,Nifty Footba...  (NFTFC),$0.00,-,https://niftyfootball.cards/
22,23,0x345972d4FeB4bEAe93999C8A4573F8DFf4d95da9,GoldenGoal  (GDG),$0.00,324,https://gdgcoin.io/
23,24,0xcec38306558a31cdbb2a9d6285947c5b44a24f3e,SportGift To...  (SPORTG),$0.00,233,https://www.sportgift.io/
24,25,0xaeaf14ce56b052dfc2a2eb0654136ecf87821fbf,KySportsTV  (KSPTV),$0.00,6,http://kysports.tv/
25,26,0x9d9c250311b65803c895cc77f878b8092019dedc,Futbol Coin  (FUCO),$0.00,299,http://futbolcoin.org/
26,27,0xdeeb6091a5adc78fa0332bee5a38a8908b6b566e,Scorefam  (SFT),$0.00,7,https://scorefam.org/
27,28,0xfb19075d77a0f111796fb259819830f4780f1429,Fenerbahce T...  (FB),$0.00,151,https://www.paribu.com/#/fenerbahce-token
28,29,0x6C43751FeF27C956f7E75D5c345a65df1465f7E0,XFC Fan Toke...  (XFC),$0.00,76,https://www.xfcmma.net/
29,30,0x4dcc6558865f6ae3c7b8b1fe46edfb6842438f40,BitAstir Tok...  (BITA),$0.00,890,https://www.bitastir.io/
30,31,0x476aee47f14e281bc217728aaada7dd4ea097036,Sivasspor To...  (SIV),$0.00,1,https://bitexenclub.com/demir-grup-sivasspor-SIV
31,32,0x0c5dd639b1e987ef6d10c135c6eea944f55a5de4,URZ Token  (URZ),$0.00,3,https://www.readingfc.co.uk/
32,33,0x284b19a5fa65f706422c0c86566e407b0e70e537,blocsport1  (BS1),$0.00,220,https://blocsport.one/
33,34,0xfd020998a1bb316dfe7b136fe59ae4b365d79978,MIND Token  (MIND),$0.00,327,https://www.mindsports.io/
34,35,0xb8323CfAFb0E6CC60ce332f1181D56e91BA0D8BA,Player Token...  (PTI),$0.00,298,https://playertokens.co/
35,36,0xD1F728211658B90CB5eA0614F0bd1Fb3aD391f02,dotmoovs  (MOOV),$0.00,2266,https://www.dotmoovs.com/
36,37,0x3ff283f4b333f0c046dea47938a413a2bae56bf5,RankingBall ...  (RBG),$0.00,1909,http://www.rankingball.io/
37,38,0xf5881f43add09f3bbc080ef4df0b7f755153bc8e,Ex-Sports  (EXS),$0.00,1,https://www.ex-sports.io/
38,39,0x68a9d92fe19399feebed6a9a0980a7ea7638074c,Jackbit  (JAC),$0.00,27,https://www.jackbit.org/
39,40,0x734c90044a0ba31b3f2e640c10dc5d3540499bfd,Minato  (Minato),$0.00,64,https://minato-eth.com/
40,41,0x0d325b398288ccb6363cfdfc2f05ab1afff9c3fb,Starpunks  (STP),$0.00,-,https://nftsclub.io/
41,42,0xfec82a1b2638826bfe53ae2f87cfd94329cde60d,Virtual Real...  (VRG),$0.00,6,https://vrg.bet/
42,43,0x222728c202e7164dfbd127181d46409338c4328e,Adana Demirs...  (DEMIR),$0.00,1,https://bitexenclub.com/adana-demirspor-as-DEMIR
43,44,0x39ccedf32d0849dfd0a0405a1bbac65285685924,Fight For Fi...  (FIT),$0.00,200,https://fightforfit.net/
44,45,0x0794ce7d4459105926da230f318c1e34bc790517,TSUKUYOMI DR...  (TSUK),$0.00,-,https://www.tsukuyomidragon.io/
45,46,0x113981fc4770e7042c8899785C236DE2AD12fAea,Laeeb Inu  (LAEEB),$0.00,839,https://laeebinu.app
46,47,0xbc5370374fe08d699cf7fcd2e625a93bf393ccc4,FiveKM RUN  (RUN),$0.00,510,https://5km.app/
47,48,0xd8bd3958725f216eb236e9dc65b169de48101c6a,LucidSight-M...  (MLBCB),$0.00,-,https://www.mlbcryptobaseball.com/
48,49,0x3b1a3c5d9d5c60651d4841c7814aa0fbb45a863d,Ludus  (LUDUS),$0.00,182,https://www.playludus.io/
49,50,0x5abf88cf3444611d13f6d1b39f3f3ee8575c91a2,EURO 2021  (EU21),$0.00,114,https://eu21.football/
