,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xa4bdb11dc0a2bec88d24a3aa1e6bb17201112ebe,Tether USD  (USDT),"$83,278,058,820.00",4362543,https://tether.to/
1,2,0xa4335da338ec4C07C391Fc1A9bF75F306adadc08,USD Coin  (USDC),"$28,223,908,312.00",1645448,https://www.centre.io/
2,3,0x4389710ba2d358cc984bb70cdb5c0e9d48727874,Dai Stableco...  (DAI),"$4,388,156,978.00",507423,https://makerdao.com/
3,4,0x164cd8bc19402c7bd49c2a97d5248310d7e1ec02,Binance USD  (BUSD),"$4,289,045,170.00",168473,http://www.paxos.com/busd
4,5,0x320623b8e4ff03373931769a31fc52a4e78b5d70,TrueUSD  (TUSD),"$3,111,342,730.00",52102,https://trueusd.com/
5,6,0x44086035439E676c02D411880FcCb9837CE37c57,Pax Dollar  (USDP),"$1,012,733,040.00",109806,https://www.paxos.com/usdp/
6,7,0x6c103d85c15107dce19f5a75fc746227e610aabd,Frax  (FRAX),"$1,002,272,357.00",7823,https://frax.finance
7,8,0x2a8e1e676ec238d8a992307b495b45b3feaa5e86,Decentralize...  (USDD),"$731,225,945.00",940,https://usdd.io/
8,9,0xbc6da0fe9ad5f3b0d58160288917aa56653660e9,Gemini dolla...  (GUSD),"$566,331,206.00",9345,https://gemini.com/dollar/
9,10,0x2c537e5624e4af88a7ae4060c022609376c8d0eb,Tether Gold  (XAUt),"$482,358,766.00",980,https://tether.to/
10,11,0xee586e7eaad39207f0549bc65f19e336942c992f,Frax Share  (FXS),"$365,953,466.00",14600,https://frax.finance
11,12,0x663cBf0F8ac632ff6eEa2A249e2f6e147e65a04B,LUSD Stablec...  (LUSD),"$279,525,145.00",7877,https://liquity.org/
12,13,0x7806a1b2b6056cda57d3e889a9513615733e2b66,Euro Tether  (EURT),"$224,851,370.00",819,https://tether.to/
13,14,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,Alchemix USD  (alUSD),"$171,184,245.00",1650,https://alchemix.fi/
14,15,0x6a4b6316D1d03d2f2B3A0294502F8fAF0F38cA14,STASIS EURS ...  (EURS),"$134,993,822.00",4977,https://stasis.net/
15,16,0xc8c97d9b0af219c2329a0179f6ab8c7a55b39fc1,Reserve Righ...  (RSR),"$98,431,204.00",14390,https://reserve.org/
16,17,0x9baf5147505b980b2674aab556a51e03b3082efe,XSGD  (XSGD),"$66,134,713.00",2263,https://straitsx.com
17,18,0xC22956c3CFeC3Ee9A9925abeE044F05Bc47f6632,Euro Coin  (EUROC),"$52,252,687.00",1484,https://www.circle.com/en/
18,19,0x4fabb145d64652a948d72533023f6e7a623c7c53,Celo Dollar ...  (cUSD),"$42,775,816.00",10,https://www.mento.org/
19,20,0xb3b209bb213a5da5b947c56f2c770b3e1015f1fe,Synth sUSD  (sUSD),"$42,654,909.00",14875,https://www.synthetix.io/
20,21,0xb4272071ecadd69d933adcd19ca99fe80664fc08,QUICKCASH  (QC),"$37,328,631.00",460,https://quickcash.com/
21,22,0xd7C9F0e536dC865Ae858b0C0453Fe76D13c3bEAc,Fei USD  (FEI),"$34,154,827.00",3836,https://fei.money/
22,23,0x2f085edec7113e54a1747bd9572b213e662c6165,Bean  (BEAN),"$31,666,983.00",142,https://bean.money/
23,24,0x6b175474e89094c44da98b954eedeac495271d0f,Sai Stableco...  (SAI),"$26,233,726.00",179012,https://makerdao.com/
24,25,0xC285B7E09A4584D027E5BC36571785B515898246,Origin Dolla...  (OUSD),"$24,486,219.00",3120,https://www.ousd.com/
25,26,0x3c7b464376db7c9927930cf50eefdea2eff3a66a,agEUR  (agEUR),"$19,896,832.00",1676,https://angle.money/
26,27,0x713b30c4ea50830b1c3b5198ee3626dee2203342,GMO JPY  (GYEN),"$19,390,172.00",9459,https://stablecoin.z.com/
27,28,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,Iron Bank EU...  (ibEUR),"$16,826,415.00",437,https://yearn.fi/lend
28,29,0x0902077c90a7ab86d729d74124873b527cd9085b,Z.com USD  (ZUSD),"$16,072,389.00",77,https://stablecoin.z.com/
29,30,0xf9a2d7e60a3297e513317ad1d7ce101cc4c6c8f6,Celo Euro (W...  (cEUR),"$15,443,982.00",36,https://www.mento.org/
30,31,0xc56c2b7e71B54d38Aab6d52E94a04Cbfa8F604fA,HUSD  (HUSD),"$9,731,797.00",9482,https://www.stcoins.com/
