,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x3449fc1cd036255ba1eb19d65ff4ba2b8903a69a,stETH  (stETH),"$13,699,927,335.00",215428,https://stake.lido.fi/
1,2,0x9aF7c46A4ebdfB1e11B5F94196C288c885F37bCD,Frax  (FRAX),"$1,003,036,750.00",7840,https://frax.finance
2,3,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,Rocket Pool ...  (rETH),"$916,242,934.00",14570,https://www.rocketpool.net/
3,4,0xC0E47007e084EEF3EE58eb33D777b3B4Ca98622f,Frax Ether  (frxETH),"$427,907,379.00",1044,https://app.frax.finance/
4,5,0x86772b1409b61c639eaac9ba0acfbb6e238e5f83,Staked Frax ...  (sfrxET...),"$272,231,393.00",2241,https://app.frax.finance/
5,6,0xd8c1232fcd219286e341271385bd70601503b3d7,CoinDash Tok...  (CDT),"$149,048,979.00",13458,http://bloxstaking.com/
6,7,0x18a1ea69a50a85752b7bc204a2c45a95ce6e429d,StakeWise St...  (sETH2),"$148,245,745.00",4685,https://stakewise.io/app/pool/
7,8,0x220b71671b649c03714da9c621285943f3cbcdc6,SSV Token  (SSV),"$134,098,829.00",3070,https://ssv.network/
8,9,0xae78736cd615f374d3085123a210448e74fc6393,SKALE  (SKL),"$122,183,581.00",22281,https://skale.space/
9,10,0xa1faa113cbe53436df28ff0aee54275c13b40975,AlphaToken  (ALPHA),"$93,329,963.00",9603,https://stellaxyz.io/
10,11,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,Ankr Staked ...  (ankrET...),"$86,529,291.00",2177,https://www.ankr.com/about-staking/
11,12,0x30d20208d987713f46dfd34ef128bb16c404d10f,Liquid Staki...  (MaticX),"$48,614,881.00",239,https://staderlabs.com/
12,13,0x30dcba0405004cf124045793e1933c798af9e66a,Axion  (AXN),"$43,431,003.00",12648,https://axion.network/
13,14,0xFe2e637202056d30016725477c5da089Ab0A043A,Bolide  (BLID),"$41,557,419.00",127,https://bolide.fi/
14,15,0xC17c30e98541188614dF99239cABD40280810cA3,BitMEX Token  (BMEX),"$38,657,444.00",262,https://www.bitmex.com/
15,16,0xB6eE603933E024d8d53dDE3faa0bf98fE2a3d6f1,Route  (ROUTE),"$30,290,758.00",3861,https://www.routerprotocol.com/
16,17,0x8a6f3bf52a26a21531514e23016eeae8ba7e7018,UNFI  (UNFI),"$22,998,093.00",2571,https://unifiprotocol.com/
17,18,0xd04785c4d8195e4a54d9dec3a9043872875ae9e2,Stake DAO To...  (SDT),"$20,923,950.00",4094,https://stakedao.org/
18,19,0x853d955acef822db058eb8505911ed77f175b99e,StakeWise  (SWISE),"$19,840,000.00",2884,https://stakewise.io/
19,20,0x8A7aDc1B690E81c758F1BD0F72DFe27Ae6eC56A5,Oraichain To...  (ORAI),"$16,196,618.00",9726,https://orai.io/
20,21,0x35e78b3982E87ecfD5b3f3265B601c046cDBe232,Wise Token  (WISE),"$15,074,334.00",7045,https://wisetoken.net/
21,22,0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,SideShift To...  (XAI),"$14,650,399.00",292,https://sideshift.ai/
22,23,0xa487bf43cf3b10dffc97a9a744cbb7036965d3b9,StakeWise Re...  (rETH2),"$11,894,164.00",500,https://stakewise.io/app/pool/
23,24,0xF063fE1aB7a291c5d06a86e14730b00BF24cB589,Ooki Token  (OOKI),"$10,982,412.00",2406,https://hello.ooki.com/
24,25,0x0de05f6447ab4d22c8827449ee4ba2d5c288379b,pSTAKE Finan...  (PSTAKE),"$10,183,726.00",15509,https://pstake.finance/
25,26,0xD23367155B55d67492DFDC0FC7f8bB1dF7114fD9,unshETHing_T...  (USH),"$9,066,297.00",1196,https://unsheth.xyz/
26,27,0x71f85b2e46976bd21302b64329868fd15eb0d127,Stader  (SD),"$8,232,657.00",15706,https://staderlabs.com/
27,28,0x5e8422345238f34275888049021821e8e08caa1f,EverRise  (RISE),"$8,220,077.00",2014,http://www.everrise.com/
28,29,0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4,dego.finance  (DEGOV2),"$7,982,800.00",279,https://dego.finance/
29,30,0x4Ec1B881F4b75C903b256d5afC4C49D9fE59aC24,Nash Exchang...  (NEX),"$6,384,983.00",1011,https://nash.io/
30,31,0x66a0f676479Cee1d7373f3DC2e2952778BfF5bd6,DEUS  (DEUS),"$6,349,945.00",743,https://deus.finance/home/
31,32,0x10be9a8dae441d276a5027936c3aaded2d82bc15,Flashstake  (FLASH),"$5,519,294.00",1647,https://flashstake.io/
32,33,0x9248c485b0B80f76DA451f167A8db30F33C70907,Glitch  (GLCH),"$3,831,482.00",5685,https://glitch.finance/
33,34,0xbcd4b7de6fde81025f74426d43165a5b0d790fdd,Yieldificati...  (YDF),"$3,581,638.00",2326,https://yieldification.com/
34,35,0xd90e69f67203ebe02c917b5128629e77b4cd92dc,BoringDAO  (BOR),"$3,461,085.00",3000,https://boringdao.com/
35,36,0xe7c9c188138f7d70945d420d75f8ca7d8ab9c700,DeFiYieldPro...  (DYP),"$2,750,424.00",4764,https://dypius.com/
36,37,0xb1dc9124c395c1e97773ab855d66e879f053a289,BaoToken  (BAO),"$2,276,060.00",13551,https://www.bao.finance/
37,38,0xb1f1f47061a7be15c69f378cb3f69423bd58f2f8,stakedETH  (stETH),"$2,232,361.00",238,https://stakehound.com/
38,39,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,Bondly Token  (BONDLY),"$1,977,117.00",23608,https://www.bondly.finance/
39,40,0x3c9d6c1C73b31c837832c72E04D3152f051fc1A9,Deri  (DERI),"$1,726,230.00",957,https://deri.io/
40,41,0x1cBb83EbcD552D5EBf8131eF8c9CD9d9BAB342bC,LGCY Network  (LGCY),"$1,693,652.00",5249,https://lgcy.network/
41,42,0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2,Diversified ...  (dsETH),"$1,509,526.00",82,https://indexcoop.com/
42,43,0x2e1E15C44Ffe4Df6a0cb7371CD00d5028e571d14,Armor  (ARMOR),"$1,280,861.00",15347,https://armor.fi/
43,44,0xfb5c6815ca3ac72ce9f5006869ae67f18bf77006,Must  (MUST),"$1,090,898.00",583,https://www.cometh.io/
44,45,0xeFF66B4A84C8a6b69b99EB1C5e39aF8fc35d13db,UNCL  (UNCL),"$930,393.00",1411,https://unicrypt.network/
45,46,0xdfe66b14d37c77f4e9b180ceb433d1b164f0281d,ARTH Valueco...  (ARTH),"$860,674.00",85,https://arthcoin.com/
46,47,0x40986a85b4cfcdb054a6cbfb1210194fee51af88,UnFederalRes...  (eRSDL),"$833,278.00",12131,https://www.unfederalreserve.com/
47,48,0x4c11249814f11b9346808179cf06e71ac328c1b5,DxSale.Netwo...  (SALE),"$786,693.00",914,https://dxsale.network
48,49,0x26a604DFFE3ddaB3BEE816097F81d3C4a2A4CF97,Staking GTON  (sGTON),"$616,692.00",132,https://gton.capital/
49,50,0x1337def16f9b486faed0293eb623dc8395dfe46a,Dogira  (DOGIRA),"$601,095.00",118,https://dogira.net/
50,51,0x8ed46e9647002f4406ac406a0a454ecf64c8162d,Unistake  (UNISTA...),"$569,635.00",5042,https://unistake.finance/
51,52,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,yAxis  (YAX),"$524,976.00",966,https://yaxis.io/
52,53,0x44564d0bd94343f72e3c8a0d22308b7fa71db0bb,yAxis V2  (YAXIS),"$524,976.00",1648,https://www.yaxis.io/
53,54,0xC005204856ee7035a13D8D7CdBbdc13027AFff90,https://unim...  (UMX),"$472,906.00",5630,https://unimex.network/
54,55,0x9c78ee466d6cb57a4d01fd887d2b5dfb2d46288f,Falcon  (FNT),"$392,594.00",3930,http://falconofficial.com/
55,56,0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,Amplifi  (AMPLIF...),"$296,396.00",659,https://perpetualyield.io/
56,57,0x9d9200aF83AD0Cc3c95ce553a135602AC1aA5919,Bent Token  (BENT),"$282,889.00",320,https://www.bentfinance.com/
57,58,0xacd8f2523a4613eee78904354187c81bb05ae2b8,Mettalex  (MTLX),"$277,806.00",5191,https://mettalex.com/
58,59,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,MoneySwap  (MSWAP),"$241,672.00",2759,http://www.moneyswap.io/
59,60,0x341c05c0e9b33c0e38d64de76516b2ce970bb3be,YFSCIENCE  (YFSI),"$226,202.00",382,http://yfscience.org/
60,61,0x441761326490cACF7aF299725B6292597EE822c2,BAC  (BAC),"$203,784.00",2904,https://basis.cash/
61,62,0x066798d9ef0833ccc719076Dab77199eCbd178b0,Dynamic Set ...  (DSD),"$189,747.00",2695,https://dsd.finance/app/#/
62,63,0x003e0af2916e598fa5ea5cb2da4edfda9aed9fde,UNIFARM Toke...  (UFARM),"$187,068.00",2139,https://unifarm.co/
63,64,0x20bc832ca081b91433ff6c17f85701b6e92486c5,TosDis  (DIS),"$174,593.00",1543,https://www.tosdis.finance/
64,65,0xbF4a9A37EcFc21825011285222c36aB35De51F14,Power Index ...  (PIPT),"$168,619.00",752,https://powerindex.io/#/
65,66,0x26607ac599266b21d13c7acf7942c7701a8b699c,TornadoCORE  (TCORE),"$165,574.00",370,https://tornado.finance/
66,67,0xBD2F0Cd039E0BFcf88901C98c0bFAc5ab27566e3,MilkyWay Tok...  (MILK2),"$159,774.00",2894,https://spaceswap.app/
67,68,0xbf494f02ee3fde1f20bee6242bce2d1ed0c15e47,Nyan V2  (NYAN-2),"$141,152.00",359,https://nyan.finance/
68,69,0x97f160c220E121EC5496db17965cD63e4a9202C9,Debase  (DEBASE),"$120,208.00",717,https://debaseonomics.io/
69,70,0xe60779cc1b2c1d0580611c526a8df0e3f870ec48,SakeToken  (SAKE),"$113,187.00",3996,https://sakeswap.finance/#/
70,71,0x01597e397605bf280674bf292623460b4204c375,ONC  (ONC),"$108,553.00",617,https://onecash.finance/
71,72,0x79256db1bdb6259315a1a3d7dd237f69cadfd8fc,Dracula Toke...  (DRC),"$107,844.00",2452,https://dracula.sucks/
72,73,0x1df6f1bb7454e5e4ba3bca882d3148fbf9b5697a,World Token  (WORLD),"$91,701.00",3563,http://worldtoken.network/
73,74,0xe2dc070524a6e305ddb64d8513dc444b6a1ec845,MarsToken  (Mars),"$85,303.00",2218,https://mars.poolin.fi/#/
74,75,0x2f4eb47A1b1F4488C71fc10e39a4aa56AF33Dd49,zLOT  (zLOT),"$63,471.00",530,https://zlot.finance/
75,76,0xA866F0198208Eb07c83081d5136BE7f775c2399e,Non-Fungible...  (NFY),"$60,452.00",3889,https://nfy.finance/
76,77,0x675658a95d0b1e2ff04bc4952af53b847067545a,DokiDokiFina...  (DOKI),"$55,202.00",1102,https://dokidoki.finance
77,78,0xd2dda223b2617cb616c1580db421e4cfae6a8a85,NodeRunners  (NDR),"$49,884.00",622,https://noderunners.io/
78,79,0x038a68ff68c393373ec894015816e33ad41bd564,SHAKE token ...  (SHAKE),"$37,508.00",979,https://spaceswap.app/
79,80,0xA8e7AD77C60eE6f30BaC54E2E7c0617Bd7B5A03E,BasketDAO Go...  (BASK),"$36,938.00",978,https://basketdao.org/
80,81,0x739763a258640919981F9bA610AE65492455bE53,StarCurve  (XSTAR),"$36,906.00",100,https://starcurve.io/
81,82,0x80c8c3dcfb854f9542567c8dac3f44d709ebc1de,DeFiat  (DFT),"$35,941.00",1456,https://defiat.net/
82,83,0xaE697F994Fc5eBC000F8e22EbFfeE04612f98A0d,Basis Dollar  (BSD),"$26,030.00",862,https://basisdollar.fi/
83,84,0x7A3D5d49D64E57DBd6FBB21dF7202bD3EE7A2253,Basis Dollar...  (BSDS),"$20,786.00",495,https://basisdollar.fi/
84,85,0x6006FC2a849fEdABa8330ce36F5133DE01F96189,CorionX util...  (CORX),"$15,142.00",1148,https://corion.io/
85,86,0x9ceb84f92a0561fa3cc4132ab9c0b76a59787544,SpiderDAO To...  (SPDR),"$15,025.00",2950,https://spiderdao.io
86,87,0x961C8c0B1aaD0c0b10a51FeF6a867E3091BCef17,Indexed  (NDX),"$14,154.00",5397,https://indexed.finance/
87,88,0xdc5864ede28bd4405aa04d93e05a0531797d9d59,Multiplier  (MXX),"$9,376.00",2338,https://multiplier.finance/
88,89,0x3da932456d082cba208feb0b096d49b202bf89c8,RottenToken  (ROT),"$8,880.00",1658,https://rottenswap.org/#/
89,90,0x66c0dded8433c9ea86c8cf91237b14e10b4d70b7,SAC  (SAC),"$6,417.00",1002,https://stand.cash/
90,91,0x9Ed8e7C9604790F7Ec589F99b94361d8AAB64E5E,Spice  (SPICE),$400.00,15,https://spicetrade.ai/
91,92,0xf03A7Eb46d01d9EcAA104558C732Cf82f6B6B645,Binereum  (BIETH),$0.00,43,https://www.binereum.com/
92,93,0x8CC0F052fff7eaD7f2EdCCcaC895502E884a8a71,MTAO STAKE  (SMTAO),$0.00,7,https://www.memetao.io/
93,94,0xb78B3320493a4EFaa1028130C5Ba26f0B6085Ef8,ass.finance  (ASS),$0.00,7,https://ass.finance/
94,95,0x595643D83B35df38E29058976C04000AcFA31570,OBR  (OBR),$0.00,254,https://nftobr.com
95,96,0xB113c6CF239F60D380359b762E95C13817275277,YUYICOIN  (YUYI),$0.00,26,http://yuyi.finance/
96,97,0xac3e018457b222d93114458476f3e3416abbe38f,Wish Finance  (Wish),$0.00,47,https://wish.finance/
97,98,0x0ada190c81b814548ddc2f6adc4a689ce7c1fe73,Typhoon  (PHOON),$0.00,472,https://typhoon.cash/
98,99,0xE95A203B1a91a908F9B9CE46459d101078c2c3cb,ERC-20 TOKEN*,$0.00,1028,https://kvault.finance/
99,100,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54,BakerKingSwa...  (BAKER),$0.00,7174,https://bakerkingswap.com/
100,201,0x94f31ac896c9823d81cf9c2c93feceed4923218f,CoffeSwap  (COFE),$0.00,1,https://coffeeswap.finance/
101,202,0xb944B46Bbd4ccca90c962EF225e2804E46691cCF,KimchiSwap  (KSWAP),$0.00,386,https://kimchiswap.io/
102,203,0xdF6efd9fDe2D30a0E750519bedD2698F264C669E,GemToken  (GEM),$0.00,768,https://gemswap.org/
103,204,0x97D4F49eEb0E2c96d5EbAA71AB8418e563ecd9fd,MADRID.citys...  (MADRID),$0.00,9,https://cityswap.io/
104,205,0x93b5f52cbe50be12ce6b89ca6e28525ca579cbf9,LONDON.citys...  (LONDON),$0.00,9,https://cityswap.io/home
105,206,0xB9782532FA7062A6F73df1CE71d75c0E16046ebC,ONS  (ONS),$0.00,599,https://onecash.finance/
106,207,0x9d695e811beb55c98b1b3668295e390d33de5930,Ankr Avalanc...  (aAVAXb),$0.00,19,https://stakefi.ankr.com/
107,208,0x0Ae38f7E10A43B5b2fB064B42a2f4514cbA909ef,Yield Farmin...  (YFKA),$0.00,449,https://www.burnthestate.com/
108,209,0x14Be9Bde94102E13971E8f98ACEcaC823CB7fD30,HubToken  (HUB),$0.00,578,https://swaphub.finance/
109,210,0x24403Ff1066a3840Aa0c98DF6F4F4f89Ba10ABfe,Deflect Prot...  (DEFLCT),$0.00,865,https://deflectprotocol.io
110,211,0xB24f135C954b71B75dD413b288835b5a8d4AFa74,Staked LINK  (stLINK),$0.00,319,https://stake.link/
111,212,0x68763e696bdee1726e5a2d100fceaa5bd6c2fb3e,bees.finance  (BZZZZ),$0.00,108,https://www.bees.finance/index.html
112,213,0xc798cF0F52207bE1d63D81677eF2Feb27486249b,YfTether.io  (YFTE),$0.00,424,https://yftether.io/#/
113,214,0xB2D74b7a454EDa300c6E633f5b593d128C0C0Dcf,Wrapped Vers...  (WVRH),$0.00,27,https://wvrh-stake.com/
