,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x142ac3bd1c94898be6e311b020b547a11dc03990,Storj  (STORJ),"$32,118,463.00",92408,https://storj.io/
1,2,0x81c9151de0c8bafcd325a57e3db5a5df1cebf79c,Lambda  (LAMB),"$3,373,085.00",17857,https://www.lambda.im/
2,3,0xA8580F3363684d76055bdC6660CaeFe8709744e1,Knoxstertoke...  (FKX),"$1,838,202.00",15490,https://fortknoxster.com/
3,4,0x2F058E79674ac8491A6794823575b9B005A7e793,EpiK Protoco...  (ERC20-...),"$1,486,220.00",9360,https://epik-protocol.io/
4,5,0x32a7C02e79c4ea1008dD6564b35F131428673c41,Crust Storag...  (CSM),"$636,073.00",605,https://crust.network/
5,6,0xbbff862d906e348e9946bfb2132ecb157da3d4b4,ArGo Token  (ARGO),"$101,235.00",1547,https://argoapp.live/
6,7,0x675bbc7514013e2073db7a919f6e4cbef576de37,Datum  (DAT),"$96,365.00",11543,https://datum.org/
7,8,0x411f3e09C66B30E7FACFec45Cd823B2E19dFAD2D,Coldstack  (CLS),"$70,290.00",3309,https://coldstack.io/
8,9,0xe83cccfabd4ed148903bf36d4283ee7c8b3494d1,Sharder  (SS),"$36,323.00",4753,https://sharder.org/
9,10,0x16484d73Ac08d2355F466d448D2b79D2039F6EBB,CRUST  (CRU),$0.00,6846,https://crust.network/
10,11,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,Cryptyk Toke...  (CTK),$0.00,3238,https://www.cryptyk.io/
11,12,0x2620638eda99f9e7e902ea24a285456ee9438861,UPLOADEA  (UPL),$0.00,34,https://uploadea.com/
12,13,0x8971f9fd7196e5cee2c1032b50f656855af7dd26,Folder Coin  (FOL),$0.00,23108,https://www.folderlabs.io/
13,14,0x6aca6De211eE17d38D05C7aF583E43F9B1EC4c07,Lambda Space...  (LAMBS),$0.00,330,https://www.lambdastorage.com/
14,15,0x32fb2b0f1453c91a4c01e504b1e6339f9d7914ba,ZETASPACE  (ZTSE),$0.00,1,https://www.zetaspace.io/
15,16,0xfd56a3dcfc0690881a466ae432d71bb2db588083,Wrapped Shif...  (wSHIFT),$0.00,430,https://shiftnrg.org/
16,17,0x4b4571925e94ccd8c546b39462a270cc9b3ed1e4,BitTorrent  (BTT),$0.00,151,https://www.bittorrent.com/
17,18,0x42a501903afaa1086b5975773375c80e363f4063,DifuseToken  (DFUSE),$0.00,7,https://difuse.finance/
18,19,0xdaf88906ac1de12ba2b1d2f7bfc94e9638ac40c4,Onino  (ONI),$0.00,1,https://www.onino.io/
19,20,0x28cca76f6e8ec81e4550ecd761f899110b060e97,Fleet Token  (FLEET),$0.00,3924,https://storagefleet.com/
