,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,Synthetix Network Token,"$597,537,272.00",92614,https://www.synthetix.io/
1,2,0x57ab1ec28d129707052df4df418d58a2d46d5f51,Synth sUSD (sUSD),"$42,817,468.00",14872,https://www.synthetix.io/
2,3,0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb,Synth sETH (sETH),"$35,023,362.00",2628,https://www.synthetix.io/
3,4,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,Synth sBTC (sBTC),"$12,520,118.00",1522,https://www.synthetix.io/
4,5,0xd71ecff9342a5ced620049e616c5035f1db98620,Synth sEUR (sEUR),"$4,580,832.00",553,https://www.synthetix.io/
5,6,0xbbc455cb4f1b9e4bfc4b73970d360c8f032efee6,Synth sLINK (sLINK),"$1,574,672.00",457,https://www.synthetix.io/
6,7,0xe1afe1fd76fd88f78cbf599ea1846231b8ba3b6b,Synth sDEFI (sDEFI),"$1,141,597.00",482,https://www.synthetix.io/
7,8,0xa9859874e1743a32409f75bb11549892138bba1e,Synth iETH (iETH),"$371,096.00",43,https://www.synthetix.io/
8,9,0x6a22e5e94388464181578aa7a6b869e00fe27846,Synth sXAG (sXAG),"$335,727.00",205,https://www.synthetix.io/
9,10,0x261efcdd24cea98652b9700800a13dfbca4103ff,Synth sXAU (sXAU),"$285,788.00",275,https://www.synthetix.io/
10,11,0xeabacd844a196d7faf3ce596edebf9900341b420,Synth sCEX (sCEX),"$199,268.00",27,https://www.synthetix.io/
11,12,0x617aecb6137b5108d1e7d4918e3725c8cebdb848,Synth sBNB (sBNB),"$162,630.00",284,https://www.synthetix.io/
12,13,0x5299d6f7472dcc137d7f3c4bcfbbb514babf341a,Synth sXMR (sXMR),"$137,939.00",26,https://www.synthetix.io/
13,14,0x2e59005c5c0f0a4d77cca82653d48b46322ee5cd,Synth sXTZ (sXTZ),"$117,903.00",73,https://www.synthetix.io/
14,15,0xe36e2d3c7c34281fa3bc737950a68571736880a1,Synth sADA (sADA),"$72,278.00",88,https://www.synthetix.io/
15,16,0xd6014ea05bde904448b743833ddf07c3c7837481,Synth iBTC (iBTC),"$30,116.00",14,https://www.synthetix.io/
16,17,0xd2df355c19471c8bd7d8a3aa27ff4e26a21b4076,Synth sAAVE (sAAVE),$0.00,51,https://www.synthetix.io/
17,18,0xa2B0fDe6D710e201d0d608e924A484d1A5fEd57c,Synth sXRP (sXRP),$0.00,103,https://www.synthetix.io/
18,19,0xafd870f32ce54efdbf677466b612bf8ad164454b,Synth iBNB (iBNB),$0.00,1,https://www.synthetix.io/
19,20,0x36A00FF9072570eF4B9292117850B8FE08d96cce,Synth iUNI (iUNI),$0.00,-,https://www.synthetix.io/
20,21,0xf2e08356588ec5cd9e437552da87c0076b4970b0,Synth sTRX (sTRX),$0.00,40,https://www.synthetix.io/
21,22,0x14d10003807ac60d07bb0ba82caeac8d2087c157,Synth iDEFI (iDEFI),$0.00,1,https://www.synthetix.io/
22,23,0x1715AC0743102BF5Cd58EfBB6Cf2dC2685d967b6,Synth sDOT (sDOT),$0.00,65,https://www.synthetix.io/
