,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xfacece87e14b50eafc85c44c01702f5f485ca460,UnFederalRes...  (eRSDL),"$832,038.00",12131,https://www.unfederalreserve.com/
1,2,0x5d446fc8dbd10ebacfe9a427ab5402586af98cd4,UnFederalRes...  (uneRSD...),$0.00,2331,https://unfederalreserve.com/
2,3,0x6e2aa5bb90ac37d9006685afc651ef067e1c7b44,unFederal LI...  (unLINK),$0.00,196,https://unfederalreserve.com/
3,4,0xe4cc5a22b39ffb0a56d67f94f9300db20d786a5f,unFederal WB...  (unWBTC),$0.00,112,https://unfederalreserve.com/
4,5,0xd837eca6c91c67d98461a411ba2f00bda9960a9d,unFederal YF...  (unYFI),$0.00,3,https://unfederalreserve.com/
5,6,0x6b576972de33bebde3a703bff52a091e79f8c87a,unFederal ET...  (unETH),$0.00,320,https://unfederalreserve.com/
6,7,0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,unFederal DA...  (unDAI),$0.00,281,https://unfederalreserve.com/
7,8,0x9e29ce9cd25f4141df6bb85b27ef6933a16a5824,unFederal US...  (unUSDC),$0.00,196,https://unfederalreserve.com/
8,9,0x2dba05b51ef5a7de3e7c3327201ca2f8a25c2414,unFederal AA...  (unAAVE),$0.00,3,https://unfederalreserve.com/
9,10,0x031002d15b0d0cd7c9129d6f644446368deae391,unFederal US...  (unUSDT),$0.00,268,https://unfederalreserve.com/
