,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xba3D9687Cf50fE253cd2e1cFeEdE1d6787344Ed5,Aave Interest bearing Aave Token,"$740,256,184.00",143,https://aave.com/atokens
1,2,0x6ee0f7bb50a54ab5253da0667b0dc2ee526c30a8,Aave Interest bearing Binance USD,$0.00,249,https://aave.com/atokens
2,3,0xA64BD6C70Cb9051F6A9ba1F163Fdc07E0DfB5F84,Aave Interest bearing LINK,$0.00,1203,https://aave.com/atokens
3,4,0x328C4c80BC7aCa0834Db37e6600A6c49E12Da4DE,Aave Interest bearing SNX,$0.00,860,https://aave.com/atokens
4,5,0x12e51E77DAAA58aA0E9247db7510Ea4B46F9bEAd,Aave Interest bearing YFI,$0.00,325,https://aave.com/atokens
5,6,0xfC1E690f61EFd961294b3e1Ce3313fBD8aa4f85d,Aave Interest bearing DAI,$0.00,6117,https://aave.com/atokens
6,7,0x4DA9b813057D04BAef4e5800E36083717b4a0341,Aave Interest bearing TUSD,$0.00,282,https://aave.com/atokens
7,8,0xE1BA0FB44CCb0D11b80F92f4f8Ed94CA3fF51D00,Aave Interest bearing BAT,$0.00,625,https://aave.com/atokens
8,9,0x6FCE4A401B6B80ACe52baAefE4421Bd188e76F6f,Aave Interest bearing MANA,$0.00,211,https://aave.com/atokens
9,10,0xB124541127A0A657f056D9Dd06188c4F1b0e5aab,Aave Interest bearing Uniswap,$0.00,67,https://aave.com/atokens
10,11,0x6Fb0855c404E09c47C3fBCA25f08d4E41f9F062f,Aave Interest bearing ZRX,$0.00,289,https://aave.com/atokens
11,12,0x9bA00D6856a4eDF4665BcA2C2309936572473B7E,Aave Interest bearing USDC,$0.00,1796,https://aave.com/atokens
12,13,0x71fc860F7D3A592A4a98740e39dB31d25db65ae8,Aave Interest bearing USDT,$0.00,1144,https://aave.com/atokens
13,14,0x9D91BE44C06d373a8a226E1f3b146956083803eB,Aave Interest bearing KNC,$0.00,576,https://aave.com/atokens
14,15,0x7deB5e830be29F91E298ba5FF1356BB7f8146998,Aave Interest bearing MKR,$0.00,222,https://aave.com/atokens
15,16,0xFC4B8ED459e00e5400be803A9BB3954234FD50e3,Aave Interest bearing WBTC,$0.00,255,https://aave.com/atokens
16,17,0x625aE63000f46200499120B906716420bd059240,Aave Interest bearing SUSD,$0.00,552,https://aave.com/atokens
