,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0xdc8aF0...fc8596D2,Rocket Vault  (RVF),"$6,616,643.00",2163,https://www.RocketX.exchange,0xdc8af07a7861bedd104b8093ae3e9376fc8596d2
1,2,0x986b4A...E29D353F,Curve sETH P...  (yvCurv...),$0.00,128,https://docs.yearn.finance/,0x986b4aff588a109c09b50a03f42e4110e29d353f
2,3,0xBacB69...7D31FBc1,yearn Curve....  (yvsaCR...),$0.00,3,https://docs.yearn.finance/,0xbacb69571323575c6a5a3b4f9eede1dc7d31fbc1
3,4,0xE14d13...E6097Db1,YFI yVault  (yvYFI),$0.00,590,https://docs.yearn.finance/,0xe14d13d8b3b85af791b2aadd661cdbd5e6097db1
4,5,0xACd43E...31a6F952,yearn Dai St...  (yDAI),$0.00,1323,https://docs.yearn.finance/,0xacd43e627e64355f1861cec6d3a6688b31a6f952
5,6,0x9d409a...6966Ab9a,Yearn Compou...  (yvBOOS...),$0.00,682,https://docs.yearn.finance/,0x9d409a0a012cfba9b15f6d4b36ac57a46966ab9a
6,7,0x5f18C7...75b973a9,USDC yVault  (yvUSDC),$0.00,1269,https://docs.yearn.finance/,0x5f18c75abdae578b483e5f43f12a39cf75b973a9
7,8,0xb4D1Be...3f8672eC,Curve sAave ...  (yvCurv...),$0.00,39,https://docs.yearn.finance/,0xb4d1be44bff40ad6e506edf43156577a3f8672ec
8,9,0xFe39Ce...f6f17fE3,yearn Curve....  (yvusdn...),$0.00,33,https://docs.yearn.finance/,0xfe39ce91437c76178665d64d7a2694b0f6f17fe3
9,10,0x123964...c9Ff4675,yearn Curve....  (yvpBTC...),$0.00,1,https://docs.yearn.finance/,0x123964ebe096a920dae00fb795ffbfa0c9ff4675
10,11,0x8e6741...F7E965dF,yearn Curve....  (yvdusd...),$0.00,14,https://docs.yearn.finance/,0x8e6741b456a074f0bc45b8b82a755d4af7e965df
11,12,0xa9fE46...F02f5b28,WETH yVault  (yvWETH),$0.00,340,https://docs.yearn.finance/,0xa9fe4601811213c340e850ea305481aff02f5b28
12,13,0x96Ea6A...9a31ced6,yearn Curve....  (yvlink...),$0.00,43,https://docs.yearn.finance/,0x96ea6af74af09522fcb4c28c269c26f59a31ced6
13,14,0x37d19d...87eDa74a,yearn TrueUS...  (yTUSD),$0.00,211,https://docs.yearn.finance/,0x37d19d1c4e1fa9dc47bd1ea12f742a0887eda74a
14,15,0x27b7b1...0A6F07d7,Curve Iron B...  (yvCurv...),$0.00,183,https://docs.yearn.finance/,0x27b7b1ad7288079a66d12350c828d3c00a6f07d7
15,16,0x2f0811...789FAf18,yearn Tether...  (yUSDT),$0.00,330,https://docs.yearn.finance/,0x2f08119c6f07c006695e079aafc638b8789faf18
16,17,0x8414Db...E0d2E45e,Curve sBTC P...  (yvCurv...),$0.00,25,https://docs.yearn.finance/,0x8414db07a7f743debafb402070ab01a4e0d2e45e
17,18,0xA8B1Cb...321AE52D,yearn Curve....  (yvbBTC...),$0.00,3,https://docs.yearn.finance/,0xa8b1cb4ed612ee179bdea16cca6ba596321ae52d
18,19,0x07FB47...880fb2CC,yearn Curve....  (yvtbtc...),$0.00,-,https://docs.yearn.finance/,0x07FB4756f67bD46B748b16119E802F1f880fb2CC
19,20,0x5334e1...0cED3765,yearn Curve....  (yvcrvR...),$0.00,4,https://docs.yearn.finance/,0x5334e150B938dd2b6bd040D9c4a03Cff0cED3765
20,21,0x5533ed...D4713E44,yearn Curve....  (yvcrvP...),$0.00,19,https://docs.yearn.finance/,0x5533ed0a3b83f70c3c4a1f69ef5546d3d4713e44
21,22,0x034031...5f86b9ab,yearn Curve....  (yva3CR...),$0.00,9,https://docs.yearn.finance/,0x03403154afc09ce8e44c3b185c82c6ad5f86b9ab
22,23,0xE625F5...f30DbcA4,yearn Curve....  (yvankr...),$0.00,6,https://docs.yearn.finance/,0xe625f5923303f1ce7a43acfefd11fd12f30dbca4
23,24,0xB8C3B7...756Bab67,1INCH yVault  (yv1INC...),$0.00,265,https://docs.yearn.finance/,0xb8c3b7a2a618c552c23b1e4701109a9e756bab67
24,25,0x1B5eb1...a8eB6e75,yearn Curve....  (yvusdp...),$0.00,48,https://docs.yearn.finance/,0x1b5eb1173d2bf770e50f10410c9a96f7a8eb6e75
25,26,0x881b06...C5025298,yearn ChainL...  (yLINK),$0.00,57,https://docs.yearn.finance/,0x881b06da56bb5675c54e4ed311c21e54c5025298
26,27,0x625b7D...523aeD1E,Curve HBTC P...  (yvCurv...),$0.00,27,https://docs.yearn.finance/,0x625b7df2fa8abe21b0a976736cda4775523aed1e
27,28,0x19D336...E4e85001,DAI yVault  (yvDAI),$0.00,399,https://docs.yearn.finance/,0x19d3364a399d251e894ac732651be8b0e4e85001
28,29,0xF6C9E9...95C5A6fC,yearn Curve....  (yvust3...),$0.00,12,https://docs.yearn.finance/,0xf6c9e9af314982a4b38366f4abfaa00595c5a6fc
29,30,0x7047F9...Fb6c9E1A,Curve renBTC...  (yvCurv...),$0.00,13,https://docs.yearn.finance/,0x7047f90229a057c13bf847c0744d646cfb6c9e1a
30,31,0xdb25cA...E12Be5F0,YFI yVault  (yvYFI),$0.00,460,https://docs.yearn.finance/,0xdb25ca703181e7484a155dd612b06f57e12be5f0
31,32,0x7F8393...88409797,yearn Curve....  (yvoBTC...),$0.00,1,https://docs.yearn.finance/,0x7f83935ecfe4729c4ea592ab2bc1a32588409797
32,33,0x395469...2f551f55,yearn Curve....  (yvhusd...),$0.00,1,https://docs.yearn.finance/,0x39546945695dcb1c037c836925b355262f551f55
33,34,0xcB550A...b7cF56B5,WBTC yVault  (yvWBTC),$0.00,17,https://docs.yearn.finance/,0xcb550a6d4c8e3517a939bc79d0c7093eb7cf56b5
