,#,Contract Address,Token Name,Market Cap,Holders,Website,Address
0,1,0xe0955F...c73c3a0a,Stacker Vent...  (STACK),"$118,671.00",426,https://stacker.vc/,0xe0955f26515d22e347b17669993fcefcc73c3a0a
1,2,0xD91E9a...949A2a9b,MCN.VENTURES  (MCN),$0.00,80,https://mcn.ventures/,0xd91e9a0fef7c0fa4ebdaf4d0acf55888949a2a9b
2,3,0x2f6d74...3a7B2A85,Rush Digital...  (RDT),$0.00,6,https://rdtether.com/,0x2f6d747528654e489cb0282a51dc08fd3a7b2a85
3,4,0x4a6AB9...186Be9A7,POLVEN  (POLVEN),$0.00,573,https://polka.ventures/,0x4a6ab9792e9f046c3ab22d8602450de5186be9a7
4,5,0xC0c61c...647042E7,Cosimo X  (COSX),$0.00,2,https://cosimox.com/,0xc0c61c29ef8beabc694987c93e5fe4af647042e7
5,6,0x4690c7...5Fc223f8,FABA CAPITAL  (FABA),$0.00,462,http://www.fabacapital.com/,0x4690c74d610e41064475a6fe8cbccf085fc223f8
6,7,0x8Ffb89...4Edb4202,LAO  (LAO),$0.00,5,https://www.thelao.io/,0x8Ffb89D50eB0b9788f40123Cb3B8b8a84Edb4202
7,8,0xC55366...3eb3dCc6,DCAP  (DCAP),$0.00,8,https://www.davoa.capital/,0xC553664B555E23034B9E06f34028BA4B3eb3dCc6
8,9,0x4805E4...491B579e,FinShi Capit...  (FINS),$0.00,457,http://finshi.capital/,0x4805e471dd86dc0e3cbe44305391e37e491b579e
9,10,0xaF1833...A3258DAC,Defi Firefly  (DFF),$0.00,162,https://www.defifirefly.io/,0xaF183350bDF8082B486CEE23fBfcCa6eA3258DAC
