,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x29e240cfd7946ba20895a7a02edb25c210f9f324,yearn.financ...  (YFI),"$208,772,946.00",50379,https://yearn.finance/
1,2,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,yearn Curve....  (yyDAI+...),$0.00,5352,https://docs.yearn.finance/
2,3,0x16de59092dae5ccf4a1e6439d611fd0653f0bd01,iearn DAI  (yDAI),$0.00,3411,https://docs.yearn.finance/
3,4,0xba2e7fed597fd0e3e70f5130bcdbbfe06bb94fe1,iearn USDT  (yUSDT),$0.00,1004,https://docs.yearn.finance/
4,5,0x83f798e925bcd4017eb265844fddabb448f1707d,yearn Aave I...  (yaLINK),$0.00,335,https://yearn.finance/
5,6,0xd6ad7a6750a7593e092a9b218d66c0a814a3436e,iearn TUSD  (yTUSD),$0.00,768,https://docs.yearn.finance/
6,7,0xf61718057901f84c4eec4339ef8f0d86d2b45600,iearn SUSD  (ySUSD),$0.00,814,https://docs.yearn.finance/
7,8,0x5dbcf33d8c2e976c6b560249878e6f1491bca25c,yearn USD//C  (yUSDC),$0.00,2233,https://docs.yearn.finance/
8,9,0x597ad1e0c13bfe8025993d9e79c69e1c0233522e,yearn yearn....  (yYFI),$0.00,484,https://yearn.finance/
9,10,0x04bc0ab673d88ae9dbc9da2380cb6b79c4bca9ae,iearn USDC  (yUSDC),$0.00,1761,https://docs.yearn.finance/
10,11,0x73a052500105205d34daf004eab301916da8190f,iearn BUSD  (yBUSD),$0.00,75,https://docs.yearn.finance/
