,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xFcF8eda095e37A41e002E266DaAD7efC1579bc0A,FLEX Coin (FLEX),"$263,333,434.00",1774,https://coinflex.com/home
1,2,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SushiToken (SUSHI),"$116,578,402.00",115204,https://sushi.com/
2,3,0xa1faa113cbe53436df28ff0aee54275c13b40975,AlphaToken (ALPHA),"$89,858,380.00",9583,https://stellaxyz.io/
3,4,0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6,Dexe (DEXE),"$75,318,378.00",2163,https://dexe.network/
4,5,0x090185f2135308bad17527004364ebcc2d37e5f6,Spell Token (SPELL),"$52,929,038.00",30222,https://abracadabra.money/
5,6,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a,ROOK (ROOK),"$48,071,630.00",16403,https://www.rook.fi/
6,7,0x43Dfc4159D86F3A37A5A4B3D4580b888ad7d4DDd,DODO bird (DODO),"$38,337,866.00",13531,https://dodoex.io/
7,8,0xB113c6CF239F60D380359b762E95C13817275277,BitMEX Token (BMEX),"$37,078,872.00",261,https://www.bitmex.com/
8,9,0x2a8e1e676ec238d8a992307b495b45b3feaa5e86,Origin Dollar,"$24,492,998.00",3120,https://www.ousd.com/
9,10,0x4c11249814f11b9346808179cf06e71ac328c1b5,Oraichain Token,"$15,486,460.00",9671,https://orai.io/
10,11,0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272,SushiBar (xSUSHI),"$15,425,144.00",16383,https://sushiswap.org/
11,12,0x3da932456d082cba208feb0b096d49b202bf89c8,dego.finance (DEGOV2),"$7,570,832.00",277,https://dego.finance/
12,13,0x3541a5c1b04adaba0b83f161747815cd7b1516bc,CitaDAO (KNIGHT),"$6,595,441.00",820,https://citadao.io/
13,14,0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,DEUS (DEUS),"$6,388,112.00",747,https://deus.finance/home/
14,15,0x961C8c0B1aaD0c0b10a51FeF6a867E3091BCef17,DeFiYieldProtocol,"$3,347,216.00",4762,https://dypius.com/
15,16,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,BaoToken (BAO),"$2,131,724.00",13554,https://www.bao.finance/
16,17,0x73374Ea518De7adDD4c2B624C0e8B113955ee041,Juggernaut DeFi,"$2,064,482.00",1385,https://www.jgndefi.com/
17,18,0xb753428af26e81097e7fd17f40c88aaa3e04902c,Spice (SFI),"$2,055,275.00",13827,http://saffron.finance/
18,19,0x6ff2241756549b5816a177659e766eaf14b34429,AQTIS Token (AQTIS),"$1,409,580.00",358,https://aqtis.io/
