,Address,Name Tag,Balance,Txn Count
0,0x1bffb3a232e06e06a5d9e93c8df3321f768197c2,Fantom: Foundation Wallet 1,"808,274.12905527 FTM",1197
1,0x93194b30fa85d1927852769bab1822dd2b6818e1,Fantom: Foundation Wallet 10,366.04947333 FTM,123
2,0xc73b84eac512a04f139d4a200aae0ff24c4a5cbc,Fantom: Foundation Wallet 11,443.30589541 FTM,117
3,0xd160d9b59508e4636eec3e0a7f734268d1ce1047,Fantom: Foundation Wallet 12,506.23998779 FTM,91
4,0x03894d86cc6e1e41e8bba17469204d304c4e92b8,Fantom: Foundation Wallet 13,526.30679686 FTM,143
5,0x51af0532e6bd89695266e714a1b09fd1ac297dc7,Fantom: Foundation Wallet 14,0.63293903 FTM,154
6,0x009c921e9b8be47c055fdb6a50c0f604a4c9c9b4,Fantom: Foundation Wallet 15,0 FTM,0
7,0x48f7572cfbc4f246600cf816c668271034d81f8f,Fantom: Foundation Wallet 16,"3,977.63760015 FTM",941
8,0x9fb0935d1f6e2bce2b5fd78e8cd28c8c420f7998,Fantom: Foundation Wallet 17,0.73885998 FTM,39
9,0x0b2e90c831626a65a26f75153be54aeaaeeb8363,Fantom: Foundation Wallet 18,"919,736.04259528 FTM",67
10,0x386aa44439e9c7181b1f0f1cac0efa478b623b27,Fantom: Foundation Wallet 19,"713,495.15736135 FTM",42
11,0xca81dbbbb9389a5387f0acad4d018756a04d7f2c,Fantom: Foundation Wallet 2,0 FTM,0
12,0x596288a9090c9eedf87bb5f2da5d8e1bbc7bb935,Fantom: Foundation Wallet 20,"500,049.99297922 FTM",13
13,0xf72f6fba7d55b00c25f2e5205e6bca9aaa470434,Fantom: Foundation Wallet 21,0 FTM,0
14,0xeb8a4eadd643ea3873dfecfba18bd709d3206919,Fantom: Foundation Wallet 3,32.25498384 FTM,8
15,0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,Fantom: Foundation Wallet 4,"141,986,129.92993835 FTM",2550
16,0x541e408443a592c38e01bed0cb31f9de8c1322d0,Fantom: Foundation Wallet 5,448.9203937 FTM,148
17,0x35701189d211215cb38393f407b4767886deb03a,Fantom: Foundation Wallet 6,215.32207906 FTM,136
18,0xefc9200cd50ae935da5d79d122660ddb53620e74,Fantom: Foundation Wallet 7,350.39327471 FTM,127
19,0x7f9d1dbaf84d827b0840e38f555a490969978d20,Fantom: Foundation Wallet 8,518.73998797 FTM,122
20,0xfd09f0296af88ac777c137ecd92d85583a9b9e4a,Fantom: Foundation Wallet 9,619.44904212 FTM,123
21,,Sum of 21 Accounts,"144,935,691.2432435 FTM",6141
