,Address,Name Tag,Balance,Txn Count
0,0x765277eebeca2e31912c9946eae1021199b39c61,,0 FTM,9
1,0xc165d941481e68696f43ee6e99bfb2b23e0e3114,,0 FTM,88601
2,0xa5365f2e77bce1cb2d42f5c808012c01b1548d3c,,0 FTM,451
3,0xc5a9848b9d145965d821aaec8fa32aaee026492d,0xDAO: OXD Token,0 FTM,13894
4,0xda0053f0befcbcac208a3f867bb243716734d809,0xDAO: oxSOLID Token,0 FTM,10482
5,0xab41861399eb56896b24fbaabaa8bce45e4a626b,0xMonero: 0xMR Token,0 FTM,51
6,0x75e0eb8e6d92ab832bb11e46c041d06a89ac5f0d,0xNodes: BIOS Token,0 FTM,24
7,0x7a6e4e3cc2ac9924605dca4ba31d1831c84b44ae,2omb Finance: 2OMB Token,0 FTM,47542
8,0xc54a1684fd1bef1f077a336e6be4bd9a3096a6ca,2omb Finance: 2SHARES Token,0 FTM,60697
9,0x14def7584a6c52f470ca4f4b9671056b22f4ffde,3OMB: 3OMB Token,0 FTM,28710
10,0x6437adac543583c4b31bf0323a0870430f5cc2e7,3Share: 3SHARES Token,0 FTM,37434
11,0x511a986e427ffa281acfcf07aad70d03040dbec0,88mph: MPH Token,0 FTM,298
12,0x9767203e89dcd34851240b3919d4900d3e5069f1,A4 Finance: A4 Token,0 FTM,5
13,0x6a07a792ab2965c72a5b8088d3a069a7ac3a993b,Aave: AAVE Token,0 FTM,6909
14,0xe83ce6bfb580583bd6a62b4be7b34fc25f02910d,ABBC: FABBC Token,0 FTM,2287
15,0x666a3776b3e82f171cb1dff7428b6808d2cd7d02,AladdinDAO: aCRV Token,0 FTM,15
16,0xb67fa6defce4042070eb1ae1511dcd6dcc6a532e,Alchemix Finance: alUSD Token,0 FTM,1109
17,0x70f9fd19f857411b089977e7916c05a0fc477ac9,Alchemix Finance: gALCX Token,0 FTM,2367
18,0x38540b4613d2e57ecf190d3486ae6f74591eb8a9,Alium Finance: ALM Token,0 FTM,16
19,0x543acd673960041eee1305500893260f1887b679,Allbridge: ABR Token,0 FTM,8345
20,0xad996a45fd2373ed0b10efa4a8ecb9de445a4302,Alpaca Finance: ALPACA Token,0 FTM,6077
21,0x11eb3aa66fe1f2b75cb353d3e874e96968182bda,Alpha Venture DAO: ALPHA Token,0 FTM,4
22,0x3d41cf7df8cb8ff3ce51254f59b0cf41849ca69d,Amicable Koala: NFT5 Token,0 FTM,181
23,0x0615dbba33fe61a31c7ed131bda6655ed76748b1,Ankr Network: ANKR Token,0 FTM,371
24,0xb42bf10ab9df82f9a47b86dd76eee4ba848d0fa2,Ankr: aFTMb Token,0 FTM,689
25,0xcfc785741dc0e98ad4c9f6394bb9d43cd1ef5179,Ankr: ankrFTM Token,0 FTM,184
26,0xddcb3ffd12750b45d32e084887fdf1aabab34239,Anyswap: ANY Token,0 FTM,32559
27,0xb688e18f34e6e424c44b247318f22367ed7df3e2,Anyswap: anyETH Token,0 FTM,4662
28,0x50eb82cc284e3d35936827023b048106aaecfc5f,Anyswap: anyFSN Token,0 FTM,819
29,0xbcacf1c62202a07e6107f250b788b10677045833,Anyswap: anyLTC Token,0 FTM,64
30,0xa57e7fd8e678d9f728a789343cd85d4c5685ba87,Anyswap: AnyWBNB Token,0 FTM,2
31,0xf7d3ac82f6732dc5ee64acdb77d98a41b5d6536d,Anyswap: AnyWETH Token,0 FTM,1
32,0xad870b277b3f74f42965ed9bb9e737ca5ffac709,Anyswap: AnyWFTM Token,0 FTM,1
33,0xc396b190f251d7f79c583fd06347a09781f085c9,Anyswap: anyYFI Token,0 FTM,98
34,0x753fbc5800a8c8e3fb6dc6415810d627a387dfc9,Anyswap: BADGER Token,0 FTM,2499
35,0x1f7216fdb338247512ec99715587bb97bbf96eae,Anyswap: bBADGER Token,0 FTM,166
36,0x9611579c926294b0e29e5371a81a3e463650be17,Anyswap: BCP Token,0 FTM,8
37,0x84c882a4d8eb448ce086ea19418ca0f32f106117,Anyswap: BFC Token,0 FTM,4
