,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xb688e18f34e6e424c44b247318f22367ed7df3e2,ANY Ethereum (anyETH),"$212,267,090,282",415,
1,2,0xbcacf1c62202a07e6107f250b788b10677045833,ANY Litecoin (anyLTC),"$6,734,052,533",18,
2,3,0xaf319E5789945197e365E7f7fbFc56B130523B33,Frax (FRAX),"$1,044,511,202",1055,
3,4,0xc396b190f251d7f79c583fd06347a09781f085c9,YFI-ERC20 (anyYFI),"$274,322,946",21,
4,5,0x84c882a4d8eb448ce086ea19418ca0f32f106117,Bifrost (BFC),"$80,121,940",1,
5,6,0x753fbc5800a8C8e3Fb6DC6415810d627A387Dfc9,Badger (BADGER),"$55,767,387",263,
6,7,0x1F7216fdB338247512Ec99715587bb97BBf96eae,Badger Sett Badger (bBADGER),"$55,767,387",8,
7,8,0xcf726a06f3dcec8ef2b033336d138caa0eae5af2,Rari Governance Token (RGT),"$3,353,345",10,
8,9,0x602a3ad311e66b6f5e567a13016b712aba0625c6,Unit Protocol (DUCK),"$2,658,504",3,
9,10,0xad260f380c9a30b1d60e4548a75010ede630b665,BiFi (BiFi),"$2,495,916",2,
10,11,0xeaF26191ac1D35AE30Baa19a5ad5558DD8156Aef,Nord Token (NORD),"$1,249,305",1,
11,12,0x08f6fE8f4dC577CF81E40E03E561d29B8b33E19b,Digg (DIGG),"$1,122,943",-,
12,13,0x9611579c926294b0e29E5371A81a3e463650Be17,PieDAO Balanced Crypto Pie (BCP),"$547,227",1,
13,14,0x6a545f9c64d8f7b957d8d2e6410b52095a9e6c29,CyberFi Token (CFi),"$508,713",460,
14,15,0x8063115941e612021692f28748ab1ff56c23e4c6,Pepemon (PPBLZ),"$409,208",27,
15,16,0x627524d78B4fC840C887ffeC90563c7A42b671fD,Cryptokek.com (KEK),"$341,453",1131,
16,17,0x2f60c28fb2fdc90a2a5644442d0f6d8998101e76,zLOT (zLOT),"$63,471",1,
17,18,0xC055c698f3793577707B3e6979B089F50C314D3a,Holyheld (HH),"$25,081",-,
18,19,0x4272dd51961a5181ace0dc7eb6f9807311345559,Pepedex (PPDEX),"$20,945",24,
19,20,0xb44f26deb0060abb49c1750bdd35d93c9e80eae8,EARTH Token (EARTH),$0,-,
20,21,0x50eb82cc284e3d35936827023b048106aaecfc5f,Fusion (anyFSN),$0,238,
21,22,0x049d68029688eabf473097a2fc38ef61633a3c7a,Frapped USDT (fUSDT),$0,28082,
22,23,0xddcb3ffd12750b45d32e084887fdf1aabab34239,Anyswap (ANY),$0,1559,
