,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x29b0Da86e484E1C0029B56e817912d778aC0EC69,yearn.finance (YFI),"$274,322,946",2246,
1,2,0x2a5062d22adcfaafbd5c541d4da82e4b450d4212,Keep3r (KP3R),"$38,892,995",227,
2,3,0x841fad6eae12c286d1fd18d1d525dffa75c7effe,SpookyToken (BOO),"$17,304,862",79473,
3,4,0x4cdf39285d7ca8eb3f090fda0c069ba5f4145b37,TSHARE (TSHARE),"$2,807,475",28086,
4,5,0xd2f38621c3c65300ecaba7020c05d1350f9c265c,Bison (BISON),"$10,140",6368,
5,6,0xc6E3f3083a15468350976369898381Eec5cfE10f,IceBreak-R (ICEBRK),$0,3271,
6,7,0x3d8f1accee8e263f837138829b6c4517473d0688,JetSwap Fantom Token (fWINGS),$0,5624,
7,8,0x91fa20244Fb509e8289CA630E5db3E9166233FDc,Governance OHM (gOHM),$0,2099,
8,9,0x3eaE16259168F6ac04eFDd555a03304B6B53eB89,SyncDAO Governance (SDG),$0,32,
9,10,0xf705a58359243182e61cacf7f655ab40e5fc3090,Governance Metavault (gMVD),$0,6,
10,11,0x507633a6076dc92b2587acee01349c21e5f3b985,Frog Nation DAO (FRG),$0,367,
11,12,0xfB4D42BEd5618fb1a377DDB64EB56B92a6d117f2,NOKU v2 (NOKU),$0,43,
12,13,0xd948efcc99be419ca9bdace89b2bec31edf13adb,Trip Token Degen Haus (TRIP),$0,279,
13,14,0x248cb87dda803028dfead98101c9465a2fbda0d4,Charm Token (CHARM),$0,2693,
14,15,0x57e1b84dc3fee985eb05a3e0648588aafdb23e2c,HellHound (HELD),$0,1091,
15,16,0xA064e15e284D5D288281cc24d94DD8ed39d42AA4,Governance TurtleCoin (gTRTL),$0,171,
