,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xf31778d591c558140398f46feca42a6a2dbffe90,hoge.finance (HOGE),"$11,445,232",33,
1,2,0x6f373cD69c329B1DA2e00b861Ad950e59454aa18,Doge Yellow Coin (DOGEY),$0,1,
2,3,0x42ae8468a1fddb965d420bd71368a87ec3a2b4b8,Metti Inu (Metti),$0,3808,
3,4,0x070eb1a48725622de867a7e3d1dd4f0108966ed1,Poopsicle (POOP),$0,1469,
4,5,0xe47d957f83f8887063150aaf7187411351643392,ChillPill (CHILL),$0,1060,
5,6,0xdd5f7e9af286c2eb9e0886eba481da5da533265a,Octus TIGER (octTIGER),$0,1,
6,7,0xBeFbED384F7638B51f0C7C46982B7376B7d63111,Doge Floki Coin (DOFI),$0,1,
7,8,0x0422b63182798ae9876cae3cabd225d96b284d14,Defido Coin (BASE),$0,10,
8,9,0x9ba3e4f84a34df4e08c112e1a0ff148b81655615,Shiba (Shiba),$0,9402,
9,10,0x06a87F6aFEc4a739c367bEF69eEfE383D27106bd,Doobie Love (DOOBIE),$0,4,
10,11,0x0452dd4d9b5b0be57b9e98b825051833f20271ac,Scoobi-Doge (SCooBi),$0,5,
