,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x3E01B7E242D5AF8064cB9A8F9468aC0f8683617c,Orbs (ORBS),"$97,808,172",451,
1,2,0xDfed31E640b7280F76f046a97179E5E369D209b5,OmniWhirl (WHIRL),"$37,275",20,
2,3,0xbf77e7b4ccc92bbaff26dd08a6a00609d05ff459,Yoshi.exchange (anyYOSHI),$0,2,
3,4,0xeb581140a7f1d6266a56f726a58de4c93a6d26a8,Liquid Driver (anyLQDR),$0,2,
4,5,0x05f024C6F5a94990d32191D6f36211E3Ee33504e,MiniVerse Dollar (anyMvDOLLAR),$0,-,
5,6,0xb83bb1a7c2d5d93525417acea9453df0c8bc6a76,Timechain Swap Token (anyTCS),$0,-,
6,7,0xfd14d755a3a3358aec08d0979ecf369b4a387039,Geist.Finance Protocol Token (anyGEIST),$0,-,
7,8,0xf7b38053a4885c99279c4955cb843797e04455f8,DEUS (anyDEUS),$0,1,
8,9,0x413fbfdce9b5afb65b6147fbbc970148b79e706a,dYEL Index Token (anydYel),$0,-,
9,10,0x525b43A49bE2Ed530e3516C22bd7ECbcF1586AD4,UNI (anyUNI),$0,-,
10,11,0xe26ae3d881f3d5def58d795f611753804e7a6b26,SpiritSwap Token (anySPIRIT),$0,2,
11,12,0xD2c244D5c3b530b9310C34962bF9B48c08dC0BcB,RadioShack Token (anyRADIO),$0,1,
12,13,0xd7b78f43ab667ff671f7025ffd2216b72332acbb,Kanpeki (anyKAE),$0,4,
13,14,0x0cd61b1bf6f8f2b6ba03cc8bcc57c941b7cc47a4,vDEUS (anyvDEUS),$0,1,
14,15,0x4E8543032da7ba1ee010C4964f11cEDD7374b7D0,Mor Stablecoin (anyMOR),$0,-,
15,16,0x609D6eA495E00c982Df8f76fDbAA14cD8F922d16,Modefi (anyMOD),$0,1,
16,17,0xc5c71cd0b734dae8c6eba9d79c3db693d112dda1,Charge (anyCharge),$0,8,
17,18,0x9ad4266000f068e20b2f4e574b2b47cabb448717,LIF3 (anyLIF3),$0,1,
18,19,0xc167f62e93775acadeb3d2b0940bce560171fdf3,Ripae (anyPAE),$0,1,
19,20,0xa1388e73c51b37383b1ab9dce8317ef5a0349cc5,BIG Token (anyBIG),$0,-,
20,21,0x0E1b539Eaf71d5D025f8ce90cA2256b4Cf3e94B1,Moo Curve g3CRV (anymooCurveG3CRV),$0,-,
21,22,0xbcf339df10d78f2b44aa760ead0f715a7a7d7269,SpookyToken (anyBOO),$0,-,
22,23,0x2127b96A05f9bF9095913d1e8b7bdB203a683A9f,Shack Token (anySHACK),$0,1,
23,24,0x373e768f79c820aa441540d254dca6d045c6d25b,Mainstream For The Underground (anyMFTU),$0,-,
24,25,0xdfb5a6b5136186f4ffcf3fe055b48f27793cdbd2,Random (anyRNDM),$0,-,
25,26,0x81382e9693dE2aFc33F69B70a6C12CA9B3a73F47,FantomStarter (anyFS),$0,2,
26,27,0x3d8e0bb811c45845687baa32b6e092238c919ed9,LSHARE (anyLSHARE),$0,-,
27,28,0x8f0224e841b78bf380649b6b19503e2bfc76efc7,Hertz Token (anyHTZ),$0,-,
28,29,0x2f50405FFe9b8AA109836D18F217929f33A177bb,DefiLaunch Token (anyfDLAUNCH),$0,-,
29,30,0x011734f6Ed20E8D011d85Cf7894814B897420acf,Moo Boo USDC-MAI (anymooBooUSDC-MAI),$0,-,
30,31,0x6362496bef53458b20548a35a2101214ee2be3e0,Fantom (anyFTM),$0,3575,
31,32,0xeD3516AA436B630b50960A3D19bA7a2e46D0E368,Build Token (anyBUILD),$0,1,
32,33,0xF75565B89BA076b8fc7B9708d14855FD3dA89e97,5table Token (any5TABLE),$0,4,
33,34,0x2f4d6f72ab9be667b09ff4da6efd4bef94ec556d,TSHARE (anyTSHARE),$0,-,
34,35,0x4b649A521DE7CfEBEbCA88e82AbB3e39FB42CC90,PSHARE (anyPSHARE),$0,16,
35,36,0xfb288d60d3b66f9c3e231a9a39ed3f158a4269aa,Wrapped sSPA (anywsSPA),$0,-,
36,37,0xd652776de7ad802be5ec7bebfafda37600222b48,Dai Stablecoin (anyDAI),$0,1073,
37,38,0xcea59DCE6A6d73a24e6d6944CFaBc330814c098A,MAGIK (anyMAGIK),$0,-,
38,39,0x05e481b19129b560e921e487adb281e70bdba463,START Vesting (VEST),$0,1,
39,40,0x8564bA78F88B744FcC6F9407B9AF503Ad35adAFC,Hector (anyHEC),$0,-,
40,41,0x05F2972cd67705E7f2DcBfFD0Daa3F939B61020B,SGEM (anySGEM),$0,-,
41,42,0x84B67E43474a403Cde9aA181b02Ba07399a54573,Qi Dao Protocol (anyQI),$0,1,
42,43,0xaa384df07ab828d62d5e1f88d2899a9545402c5b,FKSLURPDEV (anySLURP),$0,-,
43,44,0xfF7B22053219eDf569499A3794829FB71D6F8821,TOR (anyTOR),$0,-,
44,45,0x7a6c1d5de483688d5dcd8c3cf33cfa2eaad6e000,Debt_Consolidation (anyDCT),$0,-,
45,46,0x247b5bcc806f86969e0ee5446d411283b218f645,Degen Finance (anyDEGEN),$0,-,
46,47,0x2406dce4da5ab125a18295f4fb9fd36a0f7879a2,Bitcoin (anyBTC),$0,10,
47,48,0xe7F04E0FBdE4b16FEb4a67747133F251E4DBcCd7,DSHARE (anyDSHARE),$0,-,
48,49,0x95bf7e307bc1ab0ba38ae10fc27084bc36fcd605,USDC (anyUSDC),$0,2449,
49,50,0xfc5C0e5d0BA6386fbb7d921E5073FD04082a5b49,MSHARE (anyMSHARE),$0,-,
50,51,0x9a1331A6f638cfbDFb263fb7fE4718EABba27e2B,GBOND (anyGBOND),$0,-,
51,52,0xf751575ED3390f6C02B4358f9E165e7B44877032,Aave (anyAAVE),$0,1,
52,53,0x8c77057c3343b7dcc97ca21da274730396162a98,Supernova Token (anySNT),$0,-,
53,54,0x76FBa02e148cab052f86dc1d8f4b10e64EfC7046,pSHARE (anypSHARE),$0,2,
54,55,0xeafbcc0e7e3453ecc997707be816ddc3b68d5a02,OneRing (anyRING),$0,2,
55,56,0xB3a7F462033C26c254360d4589157e5C3ceee284,IronBank (anyIB),$0,1,
56,57,0x944a05c5acc46c9777aca7d8dd92b048b1b6d3e0,MMToken (anyMM),$0,2,
57,58,0x84051Efb5e0c61AC1863B5de72Cd5bC3221870E4,Hundred Finance (anyHND),$0,3,-
58,59,0x9AeA86C37598CDBE6b0F8Db95AC3cae62A3259bf,Treeb (anyTREEB),$0,1,
59,60,0x5157629E486b36f5862d163C119c4E86506cA15e,Static (anyStatic),$0,1,
60,61,0x2244FaAB5a2A633Cb7f6e3D35E7dB8ec0136d3e2,GEM (anyGEM),$0,2,
61,62,0xbdba76fa2659c33ffcc2b0bc134c3a2c8a3aa94d,Frax (anyFRAX),$0,40,
62,63,0x2f3bca2631fff538b8a55207f6c2081457e229f7,Oath Token (anyOATH),$0,2,
63,64,0x40df1ae6074c35047bff66675488aa2f9f6384f3,MATIC (MATIC),$0,3009,
64,65,0xbdc8fd437c489ca3c6da3b5a336d11532a532303,Ethereum (anyETH),$0,196,
65,66,0x5dbe7bc9df169f4df905690f68c94d1c272b3876,ULE (anyULE),$0,3,
66,67,0xe5130D3DbfaC6Ae7d73a24D719762df74d8E4c27,Alchemix USD (alUSD),$0,15,
67,68,0x64ee4f41a15d6c431ab6607d4e95462169d50f6c,xDollar Interverse Money (anyXIM),$0,-,
68,69,0xb0fdcdd7e920a036331abe9ffc7313322c0abba0,Tarot (anyTAROT),$0,2,
69,70,0x915120fD4c52F104A359318A0c525EDaa44a7c10,Pebble (anyPBL),$0,-,
70,71,0x410a7bf502414b2f0caad204de5782077ac6478f,Frax Share (anyFXS),$0,12,
71,72,0x5774b2fc3e91af89f89141eacf76545e74265982,SoulPower (anySOUL),$0,2,
72,73,0x19193f450086d0442157b852081976d41657ad56,Marlin POND (anyPOND),$0,2,
73,74,0x2823d10da533d9ee873fed7b16f4a962b2b7f181,Frapped USDT (anyUSDT),$0,227,
74,75,0xbe019533519fe5b5b5ca57be2ad563e15e623dcf,TOMB (anyTOMB),$0,11,
75,76,0x84cebca6bd17fe11f7864f7003a1a30f2852b1dc,L3USD (anyL3USD),$0,1,
76,77,0x6474239b1a83cEB3789CD8dDb2218e6f5C6840Dd,Fear NFTs [via ChainPort.io] (anyFEAR),$0,1,
77,78,0x02a2b736f9150d36c0919f3acee8ba2a92fbbb40,agEUR (agEUR),$0,78,
78,79,0x2ef4a574b72e1f555185afa8a09c6d1a8ac4025c,BeethovenxToken (anyBEETS),$0,1,
79,80,0xbb8b2f05a88108f7e9227b954358110c20e97e26,DEI (anyDEI),$0,1,
80,81,0xA2f9A3323e3664B9684Fbc9fb64861DC493085df,Serenity V2 (anySERENE),$0,-,
81,82,0x99bb54f7a11eb8af1d486fe644ebed304f52f85a,Wraith Protocol (anyWRAITH),$0,1,
82,83,0x986a4ea3679afe15b5963a6ec3437be859279bc1,Atmosphere CCG (anyATMSSFT),$0,1,
83,84,0x9b17baadf0f21f03e35249e0e59723f34994f806,Iron Finance ICE Token (anyICE),$0,5,
