,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x46E7628E8b4350b2716ab470eE0bA1fa9e76c6C5,Band (BAND),"$216,712,520",2858,
1,2,0x1D1764F04DE29da6b90ffBef372D1A45596C4855,MIMO Parallel Governance Token (MIMO),"$20,337,586",149,
2,3,0xeF4B763385838FfFc708000f884026B8c0434275,XEN Crypto (fmXEN),"$10,126,498",9060,
3,4,0xf24bcf4d1e507740041c9cfd2dddb29585adce1e,BeethovenxToken (BEETS),"$7,818,829",19568,
4,5,0x68Aa691a8819B07988B18923F712F3f4C8d36346,Qi Dao Protocol (QI),"$6,855,043",2703,
5,6,0xd8321aa83fb0a4ecd6348d4577431310a6e0814d,Geist.Finance Protocol Token (GEIST),"$6,466,873",7205,
6,7,0x511a986E427FFa281ACfCf07AAd70d03040DbEc0,88mph.app (MPH),"$2,980,138",116,
7,8,0x13082681E8CE9bd0aF505912d306403592490Fc7,PAR Stablecoin (PAR),"$2,414,814",133,
8,9,0x462Fa81050f0fF732D59df121BFd9b8Bab072018,Shack Token (SHACK),"$2,298,258",18,
9,10,0xEDf5e2Ac09002094Cc51B597CebE58C70182ADC5,MakiSwap (MAKI),"$1,038,342",164,
10,11,0x444444443b0fcb2733b93f23c910580fba52fffa,XY Token (XY),"$998,787",14,
11,12,0xe2fb177009ff39f52c0134e8007fa0e4baacbd07,SoulPower (SOUL),"$359,257",2274,
12,13,0x92868a5255c628da08f550a858a802f5351c5223,Cross-Chain Bridge Token (BRIDGE),"$89,935",88,
13,14,0x6671e20b83ba463f270c8c75dae57e3cc246cb2b,Luxor (LUX),"$75,867",231,
14,15,0x38aca5484b8603373acc6961ecd57a6a594510a3,Geist WBTC (gWBTC),$0,528,
15,16,0x593ab53baffaf1e821845cf7080428366f030a9c,CoffinToken (COFFIN),$0,833,
16,17,0x274b7eb297615ce21a1cd5b920f867389a367a8a,Dark Opera (DARKO),$0,460,
17,18,0x940f41f0ec9ba1a34cf001cc03347ac092f5f6b5,Geist fUSDT (gfUSDT),$0,8907,
18,19,0x2c26617034c840c9412cd67ae0fc68a6755d00bf,Zest Synthetic Protocol (ZSP),$0,86,
19,20,0xe578c856933d8e1082740bf7661e379aa2a30b26,Geist USDC (gUSDC),$0,8772,
20,21,0x08d70A47D3f28BbF755ae050a783844b40ae5761,KELVIN (KELVIN),$0,83,
21,22,0x05848b832e872d9edd84ac5718d58f21fd9c9649,SteakToken (STEAK),$0,1054,
22,23,0x5B3C1F260E09e653290f24F75abC5e466fD42310,Assent Protocol Token (ASNT),$0,817,
23,24,0x1eac591b4c741e6dcac1eb90f538e64be5328649,Fantom Node Capital (FNC),$0,30,
24,25,0x07e6332dd090d287d3489245038daf987955dcfb,Geist DAI (gDAI),$0,11334,
25,26,0xc165d941481e68696f43ee6e99bfb2b23e0e3114,0xDAO (OXD),$0,7266,
26,27,0xc5a9848b9d145965d821aaec8fa32aaee026492d,OXD (OXD),$0,3478,
27,28,0x25c130b2624cf12a4ea30143ef50c5d68cefa22f,Geist ETH (gETH),$0,13901,
28,29,0x131c7afb4E5f5c94A27611f7210dfEc2215E85Ae,Power (POWER),$0,7039,
29,30,0x6a1a8368d607c7a808f7bba4f7aed1d9ebde147a,Enchantment (ENCHANT),$0,155,
30,31,0x39b3bd37208cbade74d0fcbdbb12d606295b430a,Geist FTM (gFTM),$0,13877,
31,32,0x8183c18887ac4386ce09dbdf5df7c398dacb2b5a,Secure (SCR),$0,322,
32,33,0xfb66e49e303a186a4c57414ceeed651a7a78161a,Orkan (ORKAN),$0,886,
