,Address,Name Tag,Balance,Txn Count
0,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,Fund: 0x0F4...Bbe,1.48121085 Ether,189951
1,0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,Fund: 0x115...3cD,"94,954.60140255 Ether",174
2,0x2e675eeae4747c248bfddbafaa3a8a2fdddaa44b,Fund: 0x2e6...44b,0.05300829 Ether,20
3,0x3ba21b6477f48273f41d241aa3722ffb9e07e247,Fund: 0x3BA...247,1.290426 Ether,3058
4,0x4deb3edd991cfd2fcdaa6dcfe5f1743f6e7d16a6,Fund: 0x4de...6A6,0.64757112 Ether,1459
5,0x82ac5170a837f6554d518c71c0590723437e6b64,Fund: 0x82a...b64,0.32119781 Ether,811
6,0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83,Fund: 0x84D...B83,7.16831082 Ether,6084
7,0x9799b475dec92bd99bbdd943013325c36157f383,Fund: 0x979...383,6.066647 Ether,128324
8,0xaeb7855a713b4d8354f659c15a25cda11f466c28,Fund: 0xAeb...C28,0.05677574 Ether,5
9,0xe5d0ef77aed07c302634dc370537126a2cd26590,Fund: 0xe5D...590,8.80667597 Ether,1254
10,0xfa9b5f7fdc8ab34aaf3099889475d47febf830d7,Fund: 0xfa9...0d7,0.13627936 Ether,8
11,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3,Three Arrows Capital,2.15611162 Ether,7717
12,0xf30026fe8a2c0d01b70b1949ceaf2e09efd8b4a5,Three Arrows Capital 2,0.98134317 Ether,359
