,Address,Name Tag,Balance,Txn Count
0,0x5fb29eea20b764b8908fd7477a91314397cd3b9d,Gnosis Safe: Create And Add Modules 1.1.0,0 Ether,1
1,0xf61a721642b0c0c8b334ba3763ba1326f53798c0,Gnosis Safe: Create And Add Modules 1.1.1,0 Ether,1
2,0x293ebbb6983cf50bdc3e0e4c363ab3e8bfc0f2d3,Gnosis Safe: Create Call 1.1.0,0 Ether,1
3,0x8538fcbccba7f5303d2c679fa5d7a629a8c9bf4a,Gnosis Safe: Create Call 1.1.1,0 Ether,4
4,0x40a930851bd2e590bd5a5c981b436de25742e980,Gnosis Safe: Default Callback Handler 1.1.0,0 Ether,1
5,0xd5d82b6addc9027b22dca772aa68d5d74cdbdf44,Gnosis Safe: Default Callback Handler 1.1.1,0 Ether,1
6,0xd20db445a971598688e5c02bd577e21fd3577f04,Gnosis Safe: Deployer 2,0 Ether,24
7,0x1aa7451dd11b8cb16ac089ed7fe05efa00100a6a,Gnosis Safe: Deployer 3,0.03646727 Ether,32
8,0xae32496491b53841efb51829d6f886387708f99b,Gnosis Safe: Mastercopy 1.1.0,0 Ether,3
9,0x34cfac646f301356faa8b21e94227e3583fe3f5f,Gnosis Safe: Mastercopy 1.1.1,10 wei,19
10,0xb522a9f781924ed250a11c54105e51840b138add,Gnosis Safe: Multi Send 1.1.0,0 Ether,1
11,0x8d29be29923b68abfdd21e541b9374737b49cdad,Gnosis Safe: Multi Send 1.1.1,0 Ether,3
12,0x12302fe9c02ff50939baaaaf415fc226c078613c,Gnosis Safe: Proxy Factory 1.0.0,0 Ether,1269
13,0x50e55af101c777ba7a1d560a774a82ef002ced9f,Gnosis Safe: Proxy Factory 1.1.0,0 Ether,2
14,0x76e2cfc1f5fa8f6a5b3fc4c8f4788f0116861f9b,Gnosis Safe: Proxy Factory 1.1.1,0 Ether,13011
15,0x5afe3855358e112b5647b952709e6165e1c1eeee,Gnosis Safe: SAFE Token,0 Ether,4
