,Address,Name Tag,Balance,Txn Count
0,0x305933e09871d4043b5036e09af794facb3f6170,Hop Protocol: DAI Bonder,1.94549558 Ether,3615
1,0x3d4cc8a61c7528fd86c55cfe061a78dcba48edd1,Hop Protocol: DAI Bridge,0.1 Ether,7255
2,0x710bda329b2a6224e4b44833de30f38e7f81d564,Hop Protocol: ETH Bonder,8.55127711 Ether,98058
3,0xb8901acb165ed027e32754e0ffe830802919727f,Hop Protocol: Ethereum Bridge,"12,479.46735885 Ether",294797
4,0xd8781ca9163e9f132a4d8392332e64115688013a,Hop Protocol: Matic Bonder,6.76991282 Ether,1591
5,0x22b1cbb8d98a01a3b71d034bb899775a76eb1cc2,Hop Protocol: MATIC Bridge,0 Ether,7165
6,0xa6a688f107851131f0e1dce493ebbebfaf99203e,Hop Protocol: USDC Bonder,44.1985372 Ether,28055
7,0x3666f603cc164936c1b87e207f36beba4ac5f18a,Hop Protocol: USDC Bridge,0 Ether,40726
8,0x15ec4512516d980090050fe101de21832c8edfee,Hop Protocol: USDT Bonder,11.30850042 Ether,2856
9,0x3e4a3a4796d16c0cd582c382691998f7c06420b6,Hop Protocol: USDT Bridge,0 Ether,9365
10,0x2a6303e6b99d451df3566068ebb110708335658f,Hop Protocol: WBTC Bonder,0.96479904 Ether,1602
11,0xb98454270065a31d71bf635f6f7ee6a518dfb849,Hop Protocol: WBTC Bridge,0 Ether,20
12,0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,Hop: HOP Token,0 Ether,41824
