,Address,Name Tag,Balance,Txn Count
0,0x92dbd8e0a46edd62aa42d1f7902d0e496bddc15a,Azbit,0.04450884 Ether,4854
1,0x3d1d8a1d418220fd53c18744d44c182c46f47468,Bitkub: Hot Wallet 2,7.19531106 Ether,29259
2,0x59e0cda5922efba00a57794faf09bf6252d64126,Bitkub: Hot Wallet 3,7.62486733 Ether,15734
3,0x1579b5f6582c7a04f5ffeec683c13008c4b0a520,Bitkub: Hot Wallet 4,6.48295189 Ether,16784
4,0xe9b1a2164368c00fc93e0e749d9b3cafa1bc6ee2,Bitsler.com: ETH,14.95923959 Ether,122063
5,0x8758559975f35dd7d6f05fd59d3948eb43802d4a,Bitsler.com: USDT,1.40831722 Ether,12934
6,0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Coinex,1.25483279 Ether,739738
7,0x33ddd548fe3a082d753e5fe721a26e1ab43e3598,Coinex 2,"1,754.87745223 Ether",153029
8,0x8a6a17f1a3da0f407a67bf8e076ed7f678d85f29,Portto: Hot Wallet,1.43621061 Ether,15648
9,0x2522eb1976d9515cdd97c3003c1f2790fbf83b10,XWallet 1,4.95007569 Ether,17054
