,Address,Name Tag,Balance,Txn Count
0,0xc74d886ebaa5674e21a1cb0be3997bddce6ad525,Idle.finance: Converter,0 Ether,122
1,0x73b4f354fd8d37fdb7cf13390d366e959e1e2bdf,Idle.finance: DyDx,0 Ether,2
2,0xa409a39df0191943ac4263d26bd67ef6d2584d13,Idle.finance: DyDx 2,0 Ether,2
3,0x461ffb88fd7c29b327ab05f3ca2b07d7a3350f7e,Idle.finance: DyDx 3,0 Ether,2
4,0x0ec3008da9641bf80c0c82b37e05f59c58c6fcd7,Idle.finance: DyDx 4,0 Ether,2
5,0x1846bdfdb6a0f5c473dec610144513bd071999fb,Idle.finance: idleDAISafe Token,0 Ether,141
6,0x3fe7940616e5bc47b0775a0dccf6237893353bb4,Idle.finance: idleDAIYield Token,0 Ether,2397
7,0xf52cdcd458bf455aed77751743180ec4a595fd3f,Idle.finance: idleSUSDYield Token,0 Ether,719
8,0xc278041fdd8249fe4c1aad1193876857eea3d68c,Idle.finance: idleTUSDYield Token,0 Ether,86
9,0xcddb1bceb7a1979c6caa0229820707429dd3ec6c,Idle.finance: idleUSDCSafe Token,0 Ether,55
10,0x5274891bec421b39d23760c04a6755ecb444797c,Idle.finance: idleUSDCYield Token,0 Ether,3278
11,0x42740698959761baf1b06baa51efbd88cb1d862b,Idle.finance: idleUSDTSafe Token,0 Ether,47
12,0xf34842d05a1c888ca02769a633df37177415c2f8,Idle.finance: idleUSDTYield Token,0 Ether,2048
13,0x8c81121b15197fa0eeaee1dc75533419dcfd3151,Idle.finance: idleWBTCYield Token,0 Ether,124
14,0x7c4414aa6b0c6cb1bc7e5bfb7433138426ac637a,Idle.finance: Proxy Minter,0 Ether,565
15,0xb299bcdf056d17bd1a46185eca8bce458b00dc4a,Idle.finance: yxDAI Token,0 Ether,1
16,0xd2f45883627f26ec34825486ca4c25235a0da0c3,Idle.finance: yxUSDC Token,0 Ether,1
