,Address,Name Tag,Balance,Txn Count
0,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,Aave: Lending Pool Core V1,"4,414.65260285 Ether",14
1,0x7de3e919d1d7e5f1b1b27bdb3575b65c5874a5f6,Celsius Network: Wallet,109.09390736 Ether,27699
2,0x75db8b92937f8f86213e523788ab9f066efde3fe,Celsius Network: Wallet 2,1 Ether,44629
3,0xb26314635252b4ee8b454423e5299a092dea8a4a,Celsius Network: Wallet 4,5.23652183 Ether,125315
4,0x3fda67f7583380e67ef93072294a7fac882fd7e7,Compound,0 Ether,32179
5,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,Lendf.Me,0 Ether,9407
6,0x00ee047a66d5cff27587a61559138c26b62f7ceb,Nexo 1,4.54076106 Ether,414
7,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,Nexo 2,209.17048076 Ether,1169272
8,0x65b0bf8ee4947edd2a500d74e50a3d757dc79de0,Nexo: WBTC Merchant Deposit Address,207.44463942 Ether,1923
9,0x802275979b020f0ec871c5ec1db6e412b72ff20b,Nuo Network: Reserve Escrow,0 Ether,16
10,0x260ee8f2b0c167e0cd6119b2df923fd061dc1093,YouHodler,"4,698.24715453 Ether",186106
