,Address,Name Tag,Balance,Txn Count
0,0x39755357759ce0d7f32dc8dc45414cca409ae24e,Eth2Dai: Old Contract,0 Ether,1059337
1,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,Maker Token,0 Ether,610459
2,0x5ef30b9986345249bc32d8928b7ee64de9435e39,Maker: CDP Manager,0 Ether,271
3,0x448a5065aebb8e423f0896e6c5d525c040f59af3,Maker: Contract 1,0 Ether,100681
4,0xbda109309f9fafa6dd6a9cb9f1df4085b27ee8ef,Maker: Contract 2,0 Ether,3676
5,0x9b0f70df76165442ca6092939132bbaea77f2d7a,Maker: Contract 3,0 Ether,8
6,0x9b0ccf7c8994e19f39b2b4cf708e0a7df65fa8a3,Maker: Contract 4,0 Ether,1
7,0xf2c5369cffb8ea6284452b0326e326dbfdcb867c,Maker: Contract 5,0 Ether,7
8,0x315cbb88168396d12e1a255f9cb935408fe80710,Maker: Contract 6,0 Ether,1
9,0x79f6d0f646706e1261acf0b93dcb864f357d4680,Maker: Contract 7,0 Ether,1
10,0x8e2a84d6ade1e7fffee039a35ef5f19f13057152,Maker: Contract 8,0 Ether,412
11,0x69076e44a9c70a67d5b79d95795aba299083c275,Maker: Contract 9,0 Ether,148
12,0x6b175474e89094c44da98b954eedeac495271d0f,Maker: Dai Stablecoin,0 Ether,4619072
13,0x4f26ffbe5f04ed43630fdc30a87638d53d0b0876,Maker: Deployer 1,2.3321437 Ether,639
14,0xdb33dfd3d61308c33c63209845dad3e6bfb2c674,Maker: Deployer 2,0.00434508 Ether,706
15,0x00daa9a2d88bed5a29a6ca93e0b7d860cd1d403f,Maker: Deployer 3,0.2340492 Ether,9791
16,0xddb108893104de4e1c6d0e47c42237db4e617acc,Maker: Deployer 4,0.00130624 Ether,1668
17,0xda0fab05039809e63c5d068c897c3e602fa97457,Maker: Deployer 5,0 Ether,195
18,0xa26e15c895efc0616177b7c1e7270a4c7d51c997,Maker: DS Proxy Factory,0 Ether,51
19,0x373238337bfe1146fb49989fc222523f83081ddb,Maker: DSR Manager,0 Ether,7
20,0x36a724bd100c39f0ea4d3a20f7097ee01a8ff573,Maker: Get CDPS,0 Ether,1
21,0x0a3f6849f78076aefadf113f5bed87720274ddc0,Maker: Governance Contract,0 Ether,1927
22,0x78f2c2af65126834c51822f56be0d7469d7a523e,Maker: MCD Cat,0 Ether,3716
23,0xbaa65281c2fa2baacb2cb550ba051525a480d3f4,Maker: MCD Deploy,0 Ether,15
24,0xab14d3ce3f733cacb76ec2abe7d2fcb00c99f3d5,Maker: MCD End,0 Ether,0
25,0x0581a0abe32aae9b5f0f68defab77c6759100085,Maker: MCD ESM,0 Ether,2
26,0xdfe0fb1be2a52cdbf8fb962d5701d7fd0902db9f,Maker: MCD Flap,0 Ether,16
27,0xaa745404d55f88c108a28c86abe7b5a1e7817c07,Maker: MCD Flip BAT A,0 Ether,2033
28,0xd8a04f5412223f513dc55f839574430f5ec15531,Maker: MCD Flip ETH A,0 Ether,16751
29,0x5432b2f3c0dff95aa191c45e5cbd539e2820ae72,Maker: MCD Flip SAI,0 Ether,0
30,0xbe00fe8dfd9c079f1e5f5ad7ae9a3ad2c571fcac,Maker: MCD Flop,0 Ether,0
31,0x4f5f0933158569c026d617337614d00ee6589b6e,Maker: MCD Gov Actions,0 Ether,1
32,0x3d0b1912b66114d4096f48a8cee3a56c231772ca,Maker: MCD Join BAT A,0 Ether,148
33,0x9759a6ac90977b93b58547b4a71c78317f391a28,Maker: MCD Join DAI,0 Ether,4459
