,Address,Name Tag,Balance,Txn Count
0,0xeb4c5ab9b36437f969888be99af42fc9087005a5,AMB Flashbot Helper,0 Ether,1827
1,0x9799b475dec92bd99bbdd943013325c36157f383,Fund: 0x979...383,6.066647 Ether,128324
2,0x000000000000084e91743124a982076c59f10084,MEV Bot: 0x000...084,0 Ether,250543
3,0x0000007c68390193776e8b44df3b698d311070b9,MEV Bot: 0x000...0B9,0 Ether,4292
4,0x00000000000123685885532dcb685c442dc83126,MEV Bot: 0x000...126,1 wei,4775
5,0x0000000000d41c96294ccdac8612bdfe29c641af,MEV Bot: 0x000...1af,0 Ether,59188
6,0x000000000dfde7deaf24138722987c9a6991e2d4,MEV Bot: 0x000...2D4,34.50709261 Ether,300841
7,0x00000000f6e788341c1acb3c2d49fa9263b8a2f7,MEV Bot: 0x000...2F7,0 Ether,316
8,0x0000000000710a9c1f6db5f504be77ffb3b583ec,MEV Bot: 0x000...3ec,560 wei,2821
9,0x000000000025d4386f7fb58984cbe110aee3a4c4,MEV Bot: 0x000...4c4,115.11042279 Ether,153119
10,0x0000000096b674bb0ea9c74c28be782bb48724de,MEV Bot: 0x000...4de,0 Ether,134
11,0x000000000000f0bc41c73af48f022f8c27b5350e,MEV Bot: 0x000...50e,0 Ether,421
12,0x00000000b7ca7e12dcc72290d1fe47b2ef14c607,MEV Bot: 0x000...607,0 Ether,66231
13,0x00000000726422a6fecb4759b44d47e48cf746aa,MEV Bot: 0x000...6aa,0 Ether,23086
14,0x000000005736775feb0c8568e7dee77222a26880,MEV Bot: 0x000...880,0 Ether,108651
15,0x00000000c2cf7648c169b25ef1c217864bfa38cc,MEV Bot: 0x000...8cC,0 Ether,163276
16,0x0000000000d9455cc7eb92d06e00582a982f68fe,MEV Bot: 0x000...8fe,0.0219776 Ether,17364
17,0x000000000035b5e5ad9019092c665357240f594e,MEV Bot: 0x000...94e,40.36993997 Ether,220842
18,0x0000000099cb7fc48a935bceb9f05bbae54e8987,MEV Bot: 0x000...987,20.80749301 Ether,66611
19,0x00000000003b3cc22af3ae1eac0440bcee416b40,MEV Bot: 0x000...B40,0 Ether,271332
20,0x0000000000005117dd3a72e64a705198753fdd54,MEV Bot: 0x000...d54,0 Ether,197686
21,0x000000a60073b3ab5258ec72f46c002ad912ed76,MEV Bot: 0x000...d76,0 Ether,3001
22,0x00000000032962b51589768828ad878876299e14,MEV Bot: 0x000...e14,3.05163928 Ether,8987
23,0x00000000008c4fb1c916e0c88fd4cc402d935e7d,MEV Bot: 0x000...e7D,0 Ether,50231
