,Address,Name Tag,Balance,Txn Count
0,0x5c08b51ddbe8ba76e07be79975906c39aef2893a,,0 Ether,3
1,0x3d7f0933ac403773d219cf0519de8082946dc10f,,0 Ether,11
2,0xf99d58e463a2e07e5692127302c20a191861b4d6,AnySwap: ANY Token,0 Ether,14935
3,0x51600b0cff6bbf79e7767158c41fd15e968ec404,Multichain: anyBTC Token,0 Ether,243
4,0xc10ef9f491c9b59f936957026020c321651ac078,Multichain: anyCall V6,0 Ether,5
5,0x739ca6d71365a08f584c8fc4e1029045fa8abc4b,Multichain: anyDAI Token,0 Ether,42
6,0x0615dbba33fe61a31c7ed131bda6655ed76748b1,Multichain: anyETH Token,0 Ether,5
7,0x979aca85ba37c675e78322ed5d97fa980b9bdf00,Multichain: anyFSN Token,0 Ether,657
8,0x0abcfbfa8e3fda8b7fba18721caf7d5cf55cf5f5,Multichain: anyLTC Token,0 Ether,98
9,0x54f5a04417e29ff5d7141a6d33cb286f50d5d50e,Multichain: Anyswap Create2,0 Ether,11
10,0x7ea2be2df7ba6e54b1a9c70676f668455e329d29,Multichain: anyUSDC Token,0 Ether,153
11,0x22648c12acd87912ea1710357b1302c6a4154ebc,Multichain: anyUSDT Token,0 Ether,181
12,0xfc7cc7c7e7985316d23104b9689c511134f59bc8,Multichain: Astar Bridge,1.01702176 Ether,149
13,0x13b432914a996b0a48695df9b2d701eda45ff264,Multichain: BNB Bridge,245.72351998 Ether,27295
14,0x4464fc279180045b1f57beacfa0d82e9cd4235cd,Multichain: Deployer 1,0.23944468 Ether,1941
15,0x49addc76569402cf893c015ac69a177aaf4e822b,Multichain: Deployer 2,1.01311788 Ether,120
16,0x8132d337977f8d145a7b9cfac393df123c0f0e43,Multichain: Deployer 3,0.40141464 Ether,52
17,0xc564ee9f21ed8a2d8e7e76c085740d5e4c5fafbe,Multichain: Fantom Bridge,8.21442629 Ether,116443
18,0x87bcb3038988ca2a89605ffa8f237fb78df1c3ae,Multichain: Fuse Bridge,0.96168418 Ether,72
19,0x46290b0c3a234e3d538050d8f34421797532a827,Multichain: Fusion Bridge,14.63261047 Ether,543
20,0xd779967f8b511c5edf39115341b310022900efed,Multichain: Huobi Bridge,22.27999568 Ether,1464
21,0x923e0a17f49fb03d936f2af2d59d379c615f5447,Multichain: KCC Bridge,1.86910828 Ether,203
22,0xec4486a90371c9b66f499ff3936f29f0d5af8b7e,Multichain: Moonbeam Bridge,"2,538.09584925 Ether",5996
23,0x10c6b61dbf44a083aec3780acf769c77be747e23,Multichain: Moonriver Bridge,"11,648.03475765 Ether",30395
24,0xe4cf417081a0ab3f964b44d904bc2b534351a9a7,Multichain: Oasis Network Bridge,3.58672421 Ether,199
25,0x533e3c0e6b48010873b947bddc4721b1bdff9648,Multichain: Old BSC Bridge,2.09494625 Ether,55877
26,0xe95fd76cf16008c12ff3b3a937cb16cd9cc20284,Multichain: Router V3,0 Ether,44523
27,0x6b7a87899490ece95443e979ca9485cbe7e71522,Multichain: Router V4,0 Ether,155713
28,0x765277eebeca2e31912c9946eae1021199b39c61,Multichain: Router V4 2,0 Ether,46917
29,0xba8da9dcf11b50b03fd5284f164ef5cdef910705,Multichain: Router V6,0 Ether,34348
30,0x4e67df0f232c3bc985f8a63326d80ce3d9a40400,Multichain: Shiden Network Bridge,26.07866982 Ether,1443
31,0x8cc49fe67a4bd7a15674c4ffd4e969d94304bbbf,Multichain: Syscoin Bridge,117.45255244 Ether,628
32,0x57ed6bd35a6ce815079855cd0b21331d1d5d0a0e,Multichain: Telos Bridge,139.06177665 Ether,1310
33,0xcdd83050f045ab31b884f0dc49581bc7b3e0b84c,Multichain: Velas Bridge,1.08480785 Ether,75
34,0xb153fb3d196a8eb25522705560ac152eeec57901,Multichain: Wrapped Ether,0 Ether,208
