,Address,Name Tag,Balance,Txn Count
0,0xafda317cb15967c2fd379885de227ca236e59cd3,Opium.Team: Core,0 Ether,144
1,0x5ebda6ff471a9d523c1f6d7520179dded99753e1,Opium.Team: Deployer,0.00003899 Ether,1437
2,0xe1f05686606088c2f6e3456c1dd1e4c39fc817e3,Opium.Team: Fixed Rate Compound,0 Ether,15
3,0x56c54b408c44b12f6c9219c9c73fcda4e783fc20,Opium.Team: Lib Position,0 Ether,1
4,0x6f4b04634a5b334cbcce569fa6b5ad597a7a70ea,Opium.Team: Match,0 Ether,328
5,0xecc45d06fd4c23f9958a74f254507016b1dfc329,Opium.Team: Match Pool,0 Ether,1
6,0xb69890912e40a7849fca058bb118cfe7d70932c4,Opium.Team: Oracle Aggregator,0 Ether,150
7,0xc955f3c0d5a87710996d13b1f9aa3a77552d7a7e,Opium.Team: Registry,0 Ether,2
8,0x30dc4e9e26f24acefa8067e71e1cd4363a05001e,Opium.Team: Swaprate Match,0 Ether,55
9,0x3a943c50bcde3e357916ce6e109626213fd36105,Opium.Team: Synthetic Aggregator,0 Ether,1
10,0x8bd75f96efa089aecf6ac4cd0b671e2428f4b2af,Opium.Team: Token Spender,0 Ether,15
