,Address,Name Tag,Balance,Txn Count
0,0x4a56a3ef7bf8dfa2d427ced3765e4d546fa941f6,,0.00937151 Ether,7
1,0x075da589886ba445d7c7e81c472059de7ae65250,,0.07021973 Ether,0
2,0xdead1cb30b3ca13cd67d1d6f4e2790d12484fdd8,,0.06573208 Ether,0
3,0x3c05b1239b223c969540fefc0270227a2b00e047,,0.55523543 Ether,104
4,0x7a6468f8161ef39d7639c67dfa5637ba1b7ba74b,,0.02001524 Ether,270
5,0x79e2b9c1f6c9ed1375c93aaf139e6c4537f48523,,0.111234 Ether,106
6,genesis,0xBitcoin: Deployer,0 Ether,0
7,0x4365f8e70cf38c6ca67de41448508f2da8825500,Aave: Deployer,0.08862575 Ether,287
8,0x7a1285a7381a3099bfe6706549859316e6f90e6a,Aave: Deployer 1,0.06995346 Ether,8
9,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,Across Protocol: Deployer,0.31086314 Ether,767
10,0x7856f2a12a7a18b4a115d295f548434a9b078fa1,Aelin: Deployer,0.02450216 Ether,106
11,0x13c716188c38ce27b9b2b672a59543cf1170eabe,Alchemix Finance: Deployer,0.47269226 Ether,23
12,0xe3f641ad659249a020e2af63c3f9abd6cffb668b,Alta Finance: Deployer,0.00991707 Ether,17
13,0xfda462548ce04282f4b6d6619823a7c64fdc0185,Angle Protocol: Deployer,0.16780821 Ether,270
14,0x7efdc11929225f1756479006149b0bd7a2b89c1e,Apetimism: Deployer,0.00352022 Ether,457
15,0x4fbe899d37fb7514adf2f41b0630e018ec275a0c,Balancer: Deployer,0.22607387 Ether,1145
16,0x7f3b192ab3220940d66236792f3ebdb0e4e74138,Biconomy: Deployer,0.24223142 Ether,48
17,0x3e579180cf01f0e2abf6ff4d566b7891fbf9b868,BitBTC: Deployer,0.19562894 Ether,127
18,0x55986cc9eb57e29875a80a7f70b9abcef063cfaf,BitcoinBR: Deployer,0.00069595 Ether,214
19,0x39f0bd56c1439a22ee90b4972c16b7868d161981,BOB: Deployer,0.17929457 Ether,24
20,0xf7c1daf7443d7307df13c81f5f0328d4c7803e7b,BoringDAO: Deployer,2.14020199 Ether,110
21,0x1e7b390149abb3b891e0a7027e111188032d4540,BUILD: Deployer,0.13811731 Ether,71
22,0x615b5313a927571343f9355225e555cf7688d5e1,Cartesi: Deployer,0.00000056 Ether,5
23,0xade09131c6f43fe22c2cbabb759636c43cfc181e,Centre: Deployer,0.21488868 Ether,403
24,0x7492ce19d83b3a0bac1bebc9706ce0df4add105f,Curve DAO: Deployer,0.4009397 Ether,8
25,0x86665ef1660418ad0992c96929e02f97bcbf4698,Decentralized USD: Deployer,0.19521828 Ether,3
26,0x3976d5b90cfa0a0cc4d62983455ff6a6909f0f18,Dentacoin: Deployer,0.00325914 Ether,62
27,0xde6d6f23aabbdc9469c8907ece7c379f98e4cb75,dForce: Deployer,0.34288323 Ether,451
28,0x3a326de86fbc731fc3e0823da5a46a23be65c836,dHEDGE: Deployer,0.00029637 Ether,3
