,Address,Name Tag,Balance,Txn Count
0,0x95a6a3f44a70172e7d50a9e28c85dfd712756b8c,Synthetix: Address Resolver,0 Ether,33
1,0x308ad16ef90fe7cacb85b784a603cb6e71b1a41a,Synthetix: Collateral ETH,"3,214.55647019 Ether",9730
2,0x15e7d4972a3e477878a5867a47617122be2d1ff0,Synthetix: Collateral Manager,0 Ether,3
3,0xba10526cd8742acc73aedef5f7dbb2477bf86922,Synthetix: Collateral Manager State,0 Ether,2
4,0xebce9728e2fddc26c9f4b00df5180bdc5e184953,Synthetix: Collateral Short,0 Ether,4880
5,0xd21969a86ce5c41aab2d492a0f802aa3e015cd9a,Synthetix: Collateral Util,0 Ether,1
6,0x54581a23f62d147ac76d454f0b3ef77f9d766058,Synthetix: Dapp Maintenance,0 Ether,6
7,0x17628a557d1fc88d1c35989dcbac3f3e275e2d2b,Synthetix: Debt Cache,0 Ether,3482
8,0x2a23bc0ea97a89abd91214e8e4d20f02fe14743f,Synthetix: Delegate Approvals,0 Ether,641
9,0x02f7fb66b55e6ca476d126d96f14c5732eeb4363,Synthetix: Delegate Approvals Eternal Storage,0 Ether,2
10,0xcdb7d0a946223255d39a6e29b54f08f3291cc118,Synthetix: Escrow Checker,0 Ether,1
11,0x76d2de36936005a0182a1bb61da501a8a044d477,Synthetix: Eternal Storage Liquidations,0 Ether,2
12,0xc8e91c926e04be1cb94e51c5379d14774d51ae6c,Synthetix: Ether Collateral,0 Ether,1
13,0xc0c66470e766ae2026e6695966c56c90741811aa,Synthetix: Ether Collateral sUSD,0 Ether,1
14,0xc3ee42cabd773a608fa9ec951982c94bd6f33d59,Synthetix: Ether Wrapper,0 Ether,1
15,0x7322e8f6cb6c6a7b4e6620c486777fcb9ea052a4,Synthetix: Exchange Circuit Breaker,0 Ether,2
16,0x1b9d6cd65ddc981410cb93af91b097667e0bc7ee,Synthetix: Exchange Rates,0 Ether,4
17,0x7ef87c14f50cffe2e73d2c87916c3128c56593a8,Synthetix: Exchange State,0 Ether,2
18,0x059681217e9186e007864aa16893b65a0589718b,Synthetix: Exchanger,0 Ether,2
19,0xd3739a5f06747e148e716dcb7147b9ba15b70fcc,Synthetix: Fee Pool,0 Ether,20
20,0x41140bf6498a36f2e44efd49f21dae3bbb7367c8,Synthetix: Fee Pool Eternal Storage,0 Ether,2
21,0x6e0d26cffc3a63d763f1546f749bf62ebc7d72d8,Synthetix: Fee Pool State,0 Ether,2
22,0x47649022380d182da8010ae5d257fea4227b21ff,Synthetix: Flexible Storage,0 Ether,1
23,0xc704c9aa89d1ca60f67b3075d05fbb92b3b00b3b,Synthetix: Future Market Manager,0 Ether,4
24,0xee8804d8ad10b0c3ad1bd57ac3737242ad24bb95,Synthetix: Futures Market BTC,0 Ether,35989
25,0xc51aedbec3acd26650a7e85b6909e8aec4d0f19e,Synthetix: Futures Market Data,0 Ether,1
26,0xf86048dff23cf130107dfb4e6386f574231a5c65,Synthetix: Futures Market ETH,0 Ether,231542
27,0x1228c7d8bbc5bc53db181bd7b1fce765aa83bf8a,Synthetix: Futures Market LINK,0 Ether,14679
28,0xae55f163337a2a46733aa66da9f35299f9a46e9e,Synthetix: Futures Market Settings,0 Ether,4
29,0xadad43be81e2206f6d1af4299ca2a029e16af7ab,Synthetix: Issuer,0 Ether,4
30,0x14e6f8e6da00a32c069b11b64e48ea1fef2361d4,Synthetix: Liquidations,0 Ether,133
31,0x0b3a73ee0740b3130e40b2a6b5aaf59e7e3ef74c,Synthetix: Math,0 Ether,1
32,0x8518f879a2b8138405e947a48326f55ff9d5f3ad,Synthetix: Mintable Synthetix,0 Ether,128
33,0xa408d8e01c8e084b67559226c5b55d6f0b7074e2,Synthetix: One Net Aggregator Debt Ratio,0 Ether,2
34,0xe152a2dbce62e6c0bd387ffd1bb8086f44c5fd04,Synthetix: One Net Aggregator Issued Synths,0 Ether,2
35,0x6d4a64c57612841c2c6745db2a4e4db34f002d20,Synthetix: Owner Relay On Optimism,0 Ether,13
36,0x4a16a42407aa491564643e1dfc1fd50af29794ef,Synthetix: Proxy Fee Pool,0 Ether,264203
37,0x1cb059b7e74fd21665968c908806143e744d5f30,Synthetix: Read Proxy Address Resolver,0 Ether,2
38,0x47ee58801c1ac44e54ff2651ae50525c5cfc66d0,Synthetix: Reward Escrow V2,0 Ether,8450
39,0x5d9187630e99dbce4bcab8733b76757f7f44aa2e,Synthetix: Rewards Distribution,0 Ether,2
40,0x00b8d5a5e1ac97cb4341c4bc4367443c8776e8d9,Synthetix: sAAVE Token,0 Ether,18
