,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x2e3d870790dc77a83dd1d18184acc7439a53f475,Frax (FRAX),"$1,044,210,755",2003,
1,2,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,Synthetix Network Token (SNX),"$792,782,570",53317,
2,3,0x67ccea5bb16181e7b4109c9c2143c24a1c2205be,Frax Share (FXS),"$551,811,253",514,
3,4,0xfe8b128ba8c78aabc59d4c64cee7ff28e9379921,Balancer (BAL),"$270,686,452",-,
4,5,0x6806411765af15bddd26f8f544a34cc40cb9838b,Frax Ether (frxETH),"$222,287,470",191,
5,6,0x484c2d6e3cdd945a8b2df735e079178c1036578c,Staked Frax Ether (sfrxETH),"$140,423,796",51,
6,7,0x296f55f8fb28e498b858d0bcda06d955b2cb3f97,StargateToken (STG),"$103,925,120",-,
7,8,0xb153fb3d196a8eb25522705560ac152eeec57901,Magic Internet Money (MIM),"$85,636,365",-,
8,9,0x9e1028f5f1d5ede59748ffcee5532509976840e0,Perpetual (PERP),"$58,348,786",-,
9,10,0x4e720dd3ac5cfe1e1fbde4935f386bb1c66f4642,beefy.finance (BIFI),"$37,465,839",875,
10,11,0x217d47011b23bb961eb6d93ca9945b7501a5bb11,Thales DAO Token (THALES),"$24,858,809",5331,
11,12,0xaf9fe3b5ccdae78188b1f8b9a49da7ae9510f151,dHEDGE DAO Token (DHT),"$7,892,940",-,
12,13,0x7fb688ccf682d58f86d7e38e03f9d22e7705448b,Rai Reflex Index (RAI),"$7,410,978",-,
13,14,0x1db2466d9f5e10d7090e7152b68d62703a2245f0,Sonne (SONNE),"$6,344,827",-,
14,15,0xee9801669c6138e84bd50deb500827b776777d28,O3 Swap Token (O3),"$2,301,083",76,
15,16,0x1da650c3b2daa8aa9ff6f661d4156ce24d08a062,Dentacoin (DCN),"$1,573,745",4259,
16,17,0x0c5b4c92c948691EEBf185C17eeB9c230DC019E9,PickleToken (PICKLE),"$1,482,830",382,
17,18,0xb12c13e66ade1f72f71834f2fc5082db8c091358,ROOBEE (ROOBEE),"$1,201,021",42,
18,19,0x00a35fd824c717879bf370e70ac6868b95870dfb,IronBank (IB),"$264,550",682,
19,20,0x48a5322c3021d5ed5ce4293112141045d12c7efc,WePiggy WBTC (pWBTC),$0,-,
20,21,0xc12b9d620bfcb48be3e0ccbf0ea80c717333b46f,WePiggy DAI (pDAI),$0,-,
21,22,0x8158b34ff8a36dd9e4519d62c52913c24ad5554b,WePiggy USDT (pUSDT),$0,-,
22,23,0x811cd5cb4cc43f44600cfa5ee3f37a402c82aec2,WePiggy USDC (pUSDC),$0,-,
23,24,0x8e1e582879cb8bac6283368e8ede458b63f499a5,WePiggy ETH (pETH),$0,-,
24,25,0x9eA7a3f50044EEBFCeA7aCb08069E4Fd238Ba1fD,Wrapped YieldTopia (wYIELD),$0,-,
25,26,0xd6a78766514cdfc1a1fa188a7782b52313133705,WePiggy OP (pOP),$0,-,
26,27,0x17533a1bde957979e3977ebbfbc31e6deeb25c7d,Iron Bank Wrapped Ether (iWETH),$0,-,
27,28,0x1d073cf59ae0c169cbc58b6fdd518822ae89173a,Iron Bank USD Coin (iUSDC),$0,-,
28,29,0x874c01c2d1767efa01fa54b2ac16be96fad5a742,Iron Bank Tether USD (iUSDT),$0,-,
29,30,0x049e04bee77cffb055f733a138a2f204d3750283,Iron Bank Dai Stablecoin (iDAI),$0,-,
30,31,0xcdb9b4db65c913ab000b40204248c8a53185d14d,Iron Bank Wrapped BTC (iWBTC),$0,-,
31,32,0x4645e0952678e9566fb529d9313f5730e4e1c412,Iron Bank Optimism (iOP),$0,-,
32,33,0xe724ffa5d30782499086682c8362cb3673bf69ae,Iron Bank Synthetix Network Token (iSNX),$0,-,
33,34,0x04f0fd3cd03b17a3e5921c0170ca6dd3952841ca,Iron Bank Synth sUSD (iSUSD),$0,-,
34,35,0x5029c236320b8f15ef0a657054b84d90bfbeded3,BitANT (BitANT),$0,-,
35,36,0xb69c8cbcd90a39d8d3d3ccf0a3e968511c3856a0,Stargate Ether Vault (SGETH),$0,-,
36,37,0xc98b98d17435aa00830c87ea02474c5007e1f272,BitBTC (BitBTC),$0,-,
