,Address,Name Tag,Balance,Txn Count
0,0xbbbd1bbb4f9b936c3604906d7592a644071de884,Allbridge: Bridge,21.1801 MATIC,49093
1,0xf78765bd14b4e8527d9e4e5c5a5c11a44ad12f47,Biconomy: Hyphen Bridge,2.7487358 MATIC,50433
2,0x88dcdc47d2f83a99cf0000fdf667a468bb958a78,Celer Network: cBridge,0.0492704 MATIC,439581
3,0xa251c4691c1ffd7d9b128874c023427513d8ac5c,Celer Network: cBridge 2.0,0 MATIC,14579
4,0xdef78a28c78a461598d948bc0c689ce88f812ad8,Cerby: Bridge Fees Wallet,0.00000068 MATIC,392
5,0xef038429e3baaf784e1de93075070df2a43d4278,Cerby: Cross-Chain Bridge,0 MATIC,412
6,0x43de2d77bf8027e25dbd179b491e8d64f38398aa,deBridgeGate,"22,006.41 MATIC",24415
7,0x29494c1673903e608352020cf8f545af70111ad4,DeFi Basket: AaveV2 Deposit Bridge,0 MATIC,1
8,0x4789499ed6d3c9e9b874e7e02ab8139779a51704,DeFi Basket: Autofarm Deposit Bridge,0 MATIC,1
9,0x89db516b50819593f058040f781bff9880ca81a8,DeFi Basket: Quickswap Liquidity Bridge,0 MATIC,1
10,0xfa299c3f1ee9dea789b1d94243ab7aeea8bd7c77,DeFi Basket: Quickswap Swap Bridge,0 MATIC,1
11,0x9ba04edb13e129c19823a084c7e9988fa5e20647,DeFi Basket: WMatic Wrap Bridge,0 MATIC,1
12,0x840ea78f667b73853f4baece4a5ebe212c4039c1,Evodefi: Bridge,139.098 MATIC,149313
13,0xdf774a4f3ea5095535f5b8f5b9149caf90ff75bd,Gains Network: Bridge,0 MATIC,3800
14,0xa33f7069f075a54481868e4c0b8d26925a218362,Gains Network: Locking Bridge,0 MATIC,389
15,0xc315239cfb05f1e130e7e28e603cea4c014c57f0,Hop Protocol: Ethereum Bridge,11.1401 MATIC,391918
16,0x25d8039bb044dc227f741a9e381ca4ceae2e6ae8,Hop Protocol: USDC Bridge,0 MATIC,93078
17,0x82a079de7d2a8b59bc932df079ef5aa31b01aeb6,iSwap: Polygon Bridge,0 MATIC,7028
18,0x3c2269811836af69497e5f486a85d7316753cf62,LayerZero: Polygon Endpoint,0 MATIC,55
19,0x99783b38ec79ff29234748b42c82dc27a434a096,Less Network: Bridge,0 MATIC,44
20,0xac0cb30cfb91dd2cbb7c12fbfc069b3f2332ad16,MacaronSwap: Bridge,0 MATIC,1152
21,0x05b70fb5477a93be33822bfb31fdaf2c171970df,Mayan: Swap Bridge,0 MATIC,699
22,0xc10ef9f491c9b59f936957026020c321651ac078,Multichain: anyCall V6,90.00766428 MATIC,1575
23,0x25864a712c80d33ba1ad7c23cffa18b46f2fc00c,Multichain: Fantom Bridge,"682,326.4714353 MATIC",24218
24,0x4f3aff3a747fcade12598081e80c6605a8be192f,Multichain: Router V4,0 MATIC,773945
25,0x6ff0609046a38d76bd40c5863b4d1a2dce687f73,Multichain: Router V4 2,0 MATIC,123236
26,0x72c290f3f13664b024ee611983aa2d5621ebe917,Multichain: Router V6,0 MATIC,1837
27,0x3a5846882c0d5f8b0fa4bb04dc90c013104d125d,Optics: ERC-20 Bridge,0 MATIC,2875
28,0xa489b8981ae5652c9dd6515848cb8dbecae5e1b0,Optics: ETH Helper,0 MATIC,926
29,0xec52a30e4bfe2d6b0ba1d0dbf78f265c0a119286,Rubic Exchange,40.88 MATIC,41613
30,0x8f5bbb2bb8c2ee94639e55d5f41de9b4839c1280,Synapse: Bridge,"6,973.751 MATIC",142883
31,0x1c6ae197ff4bf7ba96c66c5fd64cb22450af9cc8,Synapse: Bridge Zap 1,0 MATIC,95683
32,0x90bbd86a6fe93d3bc3ed6335935447e75fab7fcf,Wormhole: NFT Bridge,0 MATIC,2272
33,0x7a4b5a56256163f07b2c80a7ca55abe66c4ec4d7,Wormhole: Polygon Core Bridge,0 MATIC,18
34,0x5a58505a96d1dbf8df91cb21b54419fc36e93fde,Wormhole: Token Bridge,75.14011184 MATIC,188347
35,0x31efc4aeaa7c39e54a33fdc3c46ee2bd70ae0a09,xPollinate: Transaction Manager,0 MATIC,78933
36,0x6090de2ec76eb1dc3b5d632734415c93c44fd113,xPollinate: Transaction Manager 2,0 MATIC,748474
37,0x104b9b1c41c6764e88edf1207f498902d840fe2a,Zeroswap: Bridge,0 MATIC,720
38,0xbb256f544b8087596e8e6cdd7fe9726cc98cb400,ZigZag Exchange,88.41123556 MATIC,14786
