,Address,Name Tag,Balance,Txn Count
0,0x0000000000000000000000000000000000000001,Null: 0x000...001,958.0941565 MATIC,108
1,0x0000000000000000000000000000000000000002,Null: 0x000...002,0.001 MATIC,10
2,0x0000000000000000000000000000000000000003,Null: 0x000...003,0 MATIC,4
3,0x000000000000000000000000000000000000dead,Null: 0x000...dEaD,"19,920.11067536 MATIC",1035
4,0x0000000000000000000000000000000000000000,Null: 0x000…000,"65,189.90477651 MATIC",716494
5,0x1111111111111111111111111111111111111111,Null: 0x111...111,0.98913813 MATIC,32
6,0x3333333333333333333333333333333333333333,Null: 0x333...333,0.01 MATIC,341
7,0xdead000000000000000042069420694206942069,Null: 0xdea...069,0 MATIC,0
8,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,Null: 0xeee...eee,8.38968926 MATIC,8517
9,0xffffffffffffffffffffffffffffffffffffffff,Null: 0xfff...fff,0.25 MATIC,175
