,Address,Name Tag,Balance,Txn Count
0,0xcc649f54645f09751b3f3e7bef57abfd6a8885dc,,0 MATIC,8
1,0xc2544a32872a91f4a553b404c6950e89de901fdb,Frax Finance:Fraxswap Factory V1,0 MATIC,4
2,0x9bc2152fd37b196c0ff3c16f5533767c9a983971,Frax Finance:Fraxswap Router V1,0 MATIC,95890
3,0x7af43f23f33642c4ea8bf10211a26d5a028a555f,Gains Network: Callbacks 1,0 MATIC,6
4,0x1e87e8703883a46ccdec4c8868043abe40235bed,Gains Network: Callbacks 2,0 MATIC,1
5,0xd39a38bd2d2d552f3908ff698a5530aa397fb92d,Gains Network: Dev Fund,12.94169886 MATIC,534
6,0x8aaaff79c94debf411d4a4166c1aeab7a63ebeec,Gains Network: GFarm Aggregator V5,0 MATIC,130
7,0x821be1daa25d209ab952d72ccfbea1719e4eed99,Gains Network: GFarm Price Aggregator,0 MATIC,25
8,0x176586dec2b70df5b72a6efe158a87f210551798,Gains Network: GFarm Vault V5,0 MATIC,12382
9,0x5fb47355828c0902acbbe759cee1b8342c41178b,Gains Network: GNS Price Aggregator V6,0 MATIC,20
10,0xd8d177efc926a18ee455da6f5f6a6cfcee5f8f58,Gains Network: GNS Trading,0 MATIC,596623
11,0x170cc5a70d6f544e5456881b586eb58180998a37,Gains Network: GNS Trading Callbacks,0 MATIC,2
12,0xcf63914f5160e596bc574bf4fd52c13a8d270e28,Gains Network: GNS Trading Callbacks V6,0 MATIC,6
13,0x96059f17be7d2e59406be75e77e23c128141672e,Gains Network: Trading 1,0 MATIC,180543
14,0x37c11410b2c2a1cd4b3a0de2bd3a1808e0528ebe,Gains Network: Trading 2,0 MATIC,193316
15,0xf8a140db8b05bec52c7e86d0d40d72f8e54fe559,Gains Network: Trading V6,0 MATIC,2168613
16,0xfb694dbaa0f78a8b07be4a1a92ae12d2845138fb,Gains Network:GFarm Aggregator V4,0 MATIC,102
17,0x780bedfce47ad1c665c270616da09230e7036116,Gains Network:GFarm Pool V4,0 MATIC,2177
18,0x203f5c9567d533038d2da70cbc20e6e8b3f309f9,Gains Network:GFarm Pool V5,0 MATIC,760
19,0x835c1f54b79d9de40755999463960082b2afaf06,Gains Network:GFarm Trading V3,0 MATIC,36939
20,0xb28d7cea60db2da4d3afd19fa8b8f14a7487745e,Gains Network:GFarm Trading V4,0 MATIC,235833
21,0x03cd7506dd538bfd4d6c37ebcd090b65aed6b00c,Metavault: Old Order Book,0 MATIC,980
22,0x0f3137e09349449b62144f0918135de548fdfeee,PoolTogether: Receiver Timelock Trigger,0 MATIC,236
