,Address,Name Tag,Balance,Txn Count
0,0x5ede3f4e7203bf1f12d57af1810448e5db20f46c,CafeSwap: Factory,0 MATIC,2
1,0x9055682e58c74fc8ddbfc55ad2428ab1f96098fc,Cafeswap: Router,0 MATIC,234893
2,0xca2deac853225f5a4dfc809ae0b7c6e39104fce5,CafeSwap: Staking,0 MATIC,435457
3,0xa102072a4c07f06ec3b4900fdc4c7b80b6c57429,DFYN Network: Router,0 MATIC,1768715
4,0x2fa4334cfd7c56a0e7ca02bd81455205fcbdc5e9,DODO: Router,6.22974076 MATIC,173105
5,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31,Metamask: Swap Router,0 MATIC,7011130
6,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,QuickSwap: Router,0 MATIC,43254271
7,0xec52a30e4bfe2d6b0ba1d0dbf78f265c0a119286,Rubic Exchange,40.88 MATIC,41613
8,0x31efc4aeaa7c39e54a33fdc3c46ee2bd70ae0a09,xPollinate: Transaction Manager,0 MATIC,78933
9,0x6090de2ec76eb1dc3b5d632734415c93c44fd113,xPollinate: Transaction Manager 2,0 MATIC,748474
