,Address,Name Tag,Balance,Txn Count
0,0xc8e36f0a44fbeca89fdd5970439cbe62eb4b5d03,AdEx Network: Old ADX Token,0 MATIC,336
1,0x28cac3219cde0e7abe91c80033b9e470740afde0,AltaFin: Old raAFN Token,0 MATIC,1
2,0xca4d1ae53e08f4dc432c3a7ed92afeabcfe33439,AltaFin: Old rdAFN Token,0 MATIC,2
3,0xb46dd73ac86ed8706c0761e593858187023e71ef,Aurus.io: Old AWX Token,0 MATIC,0
4,0xaee0ffb690b37449b7f1c49b199e1e3ec6084490,Aurus: Old AWG Token,0 MATIC,1125
5,0x24ad14a4f0bb79a9dcf201514cb0e651c79db76b,Aurus: Old AWS Token,0 MATIC,0
6,0xa96d47c621a8316d4f9539e3b38180c7067e84ca,Aurus: Old AWS Token 2,0 MATIC,1306
7,0x56a0efefc9f1fbb54fbd25629ac2aa764f1b56f7,AurusDeFi: Old AWX Token,0 MATIC,2499
8,0xf3feedf3c9142abc5ab71efd70cd8f069d3409fa,BetVerse: Old BVT Token,0 MATIC,485
9,0xbd2173e33ae4f2fb482e139db4d5c2ef1f9aa181,BetVerse: Old BVT Token 2,0 MATIC,886
10,0xff88434e29d1e2333ad6baa08d358b436196da6b,BoringDAO: Old BOR Token,0 MATIC,708
11,0x5d146d8b1dacb1ebba5cb005ae1059da8a1fbf57,CAD Coin: Old CADC Token,0 MATIC,3919
12,0x19d300d25360f9b23aaf87b0ae5720482f20abb8,Cipher: Old CPR Token,0 MATIC,1
13,0xd92fbed627af1c9ac28ac92b9a802c83b32331a7,CityMonk: Old CIMO Token,0 MATIC,21
14,0x062b60bfe61ea679e843f44ee05a68bd3ba1e469,CrickDAO: Old CRIC Token,0 MATIC,7
15,0xbcba862fbd0fb77929b1889eb6aac70da34e02c8,D Frame Foundation: Old DFT Token,0 MATIC,69
16,0xa286a23b2247e0c2aadfc130194ad1e630948fbc,Dark Earth: Old MC Token,0 MATIC,15
17,0xde12c7959e1a72bbe8a5f7a1dc8f8eef9ab011b3,Deus Finance: Old DEI Token,0 MATIC,1197
18,0xc3b70dd22e92e5283e9e90ff3e816b507b3b0f18,DigitalFlyer: Old DFGT Token,0 MATIC,13
19,0x253f34dc019d41082ddc12d3a960cbc99e7380fd,Doaibu: Old DOA Token,0 MATIC,1330
20,0xffd3e1db8020b2e9f8706963be77db2fa3280106,Dongle Space: Old DGL Token,0 MATIC,14
21,0xecb51acf9967331b7f282f855079671fe22c56c3,Entice: Old NTIC Token,0 MATIC,12420
22,0x4ca5ec27655e99457d918aa9c16d06060cd29589,Epigeon: Old EPG Token,146.002 MATIC,28
23,0x0cd022dde27169b20895e0e2b2b8a33b25e63579,EverRise: Old RISE Token,0.75867844 MATIC,2132
24,0x01296da17460cc88fcdbfdf0196357d2f6e57472,F-NFT: Old FNFT Token,1.12990062 MATIC,88
25,0xae820d92772ab9d167421fac2b3db6729ab069e3,Fabwelt: Old FWLT Token,0 MATIC,39
26,0x5028d20d0886a18c7a412024e26caaa2a9a9f3a6,Final Fighters: Old FF Token,0 MATIC,105
27,0x5f7c22c66a9034a877eb6548ddcb24e3dfb694f0,Final Fighters: Old FF Token 2,0 MATIC,121
28,0x371b97c779e8c5197426215225de0eeac7dd13af,Flowerpatch: Old SEED Token,0 MATIC,2405163
29,0x80d55041e3954405664694899ff9f202c13c0e1c,Flowerpatch: Old SEED Token 2,0 MATIC,70481
30,0xd07728a2783253508b381386168ab94f1d492e3c,Forge Token: Old FOR Token,0 MATIC,1190
31,0x4c3769451027f502a8abfa94d3f8ed3625ed564b,Gitshock Finance: Old GTFX Token,0 MATIC,2
32,0x8cb96e95c714e0996e6d299f617f518d965e352e,GLOBALTRUSTFUND: Old GTF Token,0 MATIC,0
33,0xa69b35951c7b90080e9f3aef15ca918a0849829d,Gold Bar: Old GXB Token,0 MATIC,36
34,0xf9a75e8881af1be80ae80050616185f0b924a03e,Grexie: Old GREX Token,0 MATIC,221
35,0xb08ba4ad6bc291f4f1e79c4c7f9395141b8d5797,INTDESTCOIN: Old INTD Token,0 MATIC,21
36,0x838101ed50d66dfbc4fa2923b22e069431009b61,Layka DAO: Old LP Token,0 MATIC,219
37,0x4e9c734befa0c61ef6090a953ca880a3e3de1970,Lepasa: Old Lepasa Centaur Token,0 MATIC,0
38,0x053ee2b19f0d53d85156ab187f0c5807f4e6dacd,Lepasa: Old Lepasa Crypto Bull Token,0 MATIC,1
39,0xcce4bb895132dc7595311d59dc9aab700a7f929d,Lepasa: Old Lepasa Magicorn Token,0 MATIC,1
40,0x230fb676fbd70990e14671924d6521402d90958b,Liquid ICP: Old LICP Token,0 MATIC,1
41,0xfd46f44a5ad3227a7325b695b6ea1aa549862309,Lira: Old LIRA Token,0.02 MATIC,37
42,0xca7bf3c514d412ac12d10eff302301a81153f557,LunaFi: Old LFI Token,0 MATIC,574
43,0x8a1be7700c25e09cef0982435e92a22ef806014c,Mentora: Old MWP Token,0 MATIC,1
44,0xd449c874d17c429e5ab461e6963640dd15a43315,Metacoms: Old MEAC Token,0 MATIC,1
45,0x0448a732bf0f5babebe1514a2c2d5978773fe3b2,Metaverse Sagas: Old MVS Token,0 MATIC,11
46,0x0a36dc1cc379e5277c1ff88be736d6cccbb8dab7,Minerio: Old RIO Token,0 MATIC,7
47,0x8cf6e82919f69ae382def8f94e581a43ce1e70c1,Nori: Old NORI Token,0 MATIC,0
48,0x40817e1ab07fc872b7af6a959c4b7a8febf6c4ab,OpenOcean: Old OOE Token,0 MATIC,0
49,0xaae18267f451e11695bea7920f119f28390d3d77,OSIS: Old OSIS Token,0 MATIC,17
50,0x8303396ea8b5419e187950ce609ea1f610289912,OSIS: Old OSIS Token 2,0 MATIC,42
51,0x2ac24ae11334cf60f47dbf59e69be4bd928c838c,OSIS: Old OSIS Token 3,0 MATIC,74
52,0xa9f31589e0a8c0b12068329736ed6385a8f77b62,Paycer Protocol: Old PCR Token,0 MATIC,1
53,0x70ec1dbf992729f2cd0a2ae056599f23820522ef,Petto: Old PETTO Token,"6,060 MATIC",1029
54,0xfc5a11d0fe8b5ad23b8a643df5eae60b979ce1bf,PolyWhirl: Old WHIRL Token,0 MATIC,1770
55,0x00d9b589fc7518256bb504168f92116e8454ee15,Qawalla: Old QWLA Token,0 MATIC,96
56,0x831753dd7087cac61ab5644b308642cc1c33dc13,QuickSwap: Old QUICK Token,0 MATIC,392868
57,0xf21917bc081afea1ec687508c374264d9f721477,Realms of Ethernity: Old RETH Token,0 MATIC,9074
58,0xd6c23852b94fede6ab571e4b4cfdb745b49dc9eb,Ren: Old renBTC Token,0 MATIC,0
59,0xc299dfc5f65532da6df982f43935b3cf814081cd,SeaLightSwap: Old SEAS Token,0 MATIC,11
60,0x8d546026012bf75073d8a586f24a5d5ff75b9716,Sphere Finance: Old SPHERE Token,1 MATIC,63068
61,0x35db0dfb42dfe164a3e4d39f91459878d564fa5b,SPYRIT: Old SPYRIT Token,"2,332.52475215 MATIC",476
62,0x3cabd2d298b9172533ad47d3f692e8fe13673160,StreetCredit: Old SCRED Token,0 MATIC,29
63,0xdf9b4b57865b403e08c85568442f95c26b7896b0,Sunflower Farmers: Old SFF Token,0 MATIC,3704707
64,0x16594930d16f3970e1a4317c6016555cb2e7b7fc,TokenBot: TKB Token 1,0 MATIC,6
65,0x27387362a24b27129da9fb8e4b68a170b72c9e74,Tres Leches: Old 3Leches Token,0 MATIC,7
66,0x84363f235865cd0e1f3fea6d601e75aac80cbbd7,VORZ: Old VORZ Token,0 MATIC,1426
67,0xf02d2fb78944f04ae3bcbf9ae05c5cdb84909324,Vude: Old VUDE Token,0 MATIC,2
68,0x69f8cf649960d27969e593b488ce0dd49f46cee7,White Pigeon: Old WP Token,0 MATIC,57
69,0x063a1b6cea11a9349e5e76d6672b423682454942,Xotik: Old $XOTIK Token,0 MATIC,234
70,0x530759199116b9c261211d95686fd46a5f9b3175,XR Coin: Old XR Token,0 MATIC,2
71,0x765bba5e38e76bafd42c58f37c42038d3b04243a,ZED: Old ZED Token,0 MATIC,0
72,0xc35de09873d366eee607a975903b49ab8de7b90c,ZelaaPayAE: Old ZPAE Token,0 MATIC,1303
