,Address,Name Tag,Balance,Txn Count
0,0xa3bd5c569c097cedcf1cd878c8e25695a3db6926,Polyquity: Active Pool,"102,322.38074846 MATIC",6
1,0x4c1454d083127257335da0990f71c56fa4a8f1d6,Polyquity: Borrower Operations,0 MATIC,22690
2,0x037cd3ba0a938164b958aecd44c7ad61ffc49db3,Polyquity: Coll Surplus Pool,"157,134.46376244 MATIC",3
3,0xa979d0bdabeab79e21f28cdb679ff175fab42112,Polyquity: Community Issuance,0 MATIC,3
4,0x96fadd64d7752e8fceb982240a0c82479f7627b1,Polyquity: Default Pool,8 wei,2
5,0xa3aa1e2079123923c92136530c4ec0a56e2ad677,Polyquity: Gas Pool,0 MATIC,1
6,0x951f6e3680e2aa0c9b18c258cc7d4862c84c7242,Polyquity: Hint Helpers,0 MATIC,2
7,0xe55943b7ef657fff2f684d4ce90ed26cd765f198,Polyquity: LockIn Half Life,0 MATIC,2
8,0xa54abc5beea1ad83db5f4fd2b4c6fd6af7674fe3,Polyquity: LQTY(PoS) Pool,0 MATIC,6152
9,0x71c58a551e17c69b3d8673f418da50fe43237bcd,Polyquity: Multi Trove Getter,0 MATIC,1
10,0xf89e6a4dccd475729988728f57668da1b18eff94,Polyquity: Multisig Address For Liquidity,0 MATIC,12
11,0x8d63b25e0728e5b9c1d90b6a5f924f5771517947,Polyquity: Multisig Address For PUSD Reward,0 MATIC,13
12,0xe431f5b1fabacf2558f27395c47e30467c780bd2,Polyquity: Multisig Address For Top Defi,0 MATIC,9
13,0xd266c77d7ab0648eafdb5b45c313ac2c14b00b31,Polyquity: Price Feed,0 MATIC,8
14,0x9af3b7dc29d3c4b1a5731408b6a9656fa7ac3b72,Polyquity: PUSD Token,0 MATIC,9802
15,0xcb881b62a97cb733d01c59eb8326b239e283e6a4,Polyquity: PUSD Unipool,0 MATIC,8458
16,0xf2f4326e96ccc834216a7f95b96bd51239880048,Polyquity: PYQ Staking,"2,530.26232334 MATIC",89476
17,0x5a3064cbdccf428ae907796cf6ad5a664cd7f3d8,Polyquity: PYQ Token,0 MATIC,9980
18,0x2b8e5367628df1481be945b685adf0968f1965e7,Polyquity: PYQ Unipool,0 MATIC,70272
19,0xb50c8d564b0f9076226ad9b0031e280a23fd64b5,Polyquity: Sorted Troves,0 MATIC,2
20,0x445098d74b6eb4f3bcf20865989b777ee405a48c,Polyquity: Stability Pool,"50,541.70413873 MATIC",48300
21,0xc30d6bc42911aa21a63e51c7121b33b3e65cc3c4,Polyquity: SushiSwap-LP USDC/PUSD,0 MATIC,3448
22,0xd3924ad8f881514eff89503be9027b877e9e2bd0,Polyquity: SushiSwap-lp USDC/PYQ,0 MATIC,4852
23,0xa2a065dbcbae680df2e6bfb7e5e41f1f1710e63b,Polyquity: Trove Manager,0 MATIC,113585
24,0x58170c01f3794ca28c706fabd7b9b139285f78db,Polyquity: X Half Life,0 MATIC,25
